id	CAS	smiles	status	exp
193	54593-83-8	O(CC)P(OCC)(OC(C(Cl)(Cl)Cl)Cl)=S	Training	0
194	55-38-9	O(c1ccc(c(c1)C)SC)P(OC)(OC)=S	Training	1
195	55219-65-3	OC(C(Oc1ccc(cc1)Cl)n2ncnc2)C(C)(C)C	Training	0
196	55283-68-6	O=[N+]([O-])c1cc(cc(c1N(CC(=C)C)CC)[N+](=O)[O-])C(F)(F)F	Training	0
197	55335-06-3	O=C(O)COc1nc(c(cc1Cl)Cl)Cl	Training	0
198	556-61-6	C(=NC)=S	Training	0
199	5598-13-0	n1c(OP(OC)(OC)=S)c(cc(c1Cl)Cl)Cl	Test	1
200	5598-15-2	O=P(Oc1nc(c(cc1Cl)Cl)Cl)(OCC)OCC	Training	0
201	56-38-2	O=[N+]([O-])c1ccc(OP(OCC)(OCC)=S)cc1	Training	0
202	56-72-4	O=C2Oc1cc(OP(OCC)(OCC)=S)ccc1C(=C2Cl)C	Training	0
204	57837-19-1	O=C(OC)C(N(C(=O)COC)c1c(cccc1C)C)C	Training	0
205	57966-95-7	N#CC(=NOC)C(=O)NC(=O)NCC	Training	0
207	584-79-2	O=C(OC1C(=C(C(=O)C1)CC=C)C)C2C(C=C(C)C)C2(C)(C)	Training	0
208	5902-51-2	O=C1NC(=C(C(=O)N1C(C)(C)C)Cl)C	Training	0
209	59669-26-0	O=C(ON=C(C)SC)N(C)SN(C(=O)ON=C(C)SC)C	Test	0
210	60-51-5	O=C(NC)CSP(OC)(OC)=S	Test	0
211	60168-88-9	OC(c1cncnc1)(c2ccc(cc2)Cl)c3ccccc3Cl	Training	0
212	60207-90-1	n1cnn(c1)CC2(OCC(O2)CCC)c3ccc(cc3Cl)Cl	Test	0
213	6153-64-6	O=C(N)C=3C(=O)C(N(C)C)C4C(O)C2C(=C(O)c1c(O)cccc1C2(O)(C))C(=O)C4(O)(C=3(O))	Test	1
214	62-73-7	O=P(OC=C(Cl)Cl)(OC)OC	Test	0
215	62924-70-3	O=[N+]([O-])c1cc(cc(c1N(Cc2c(F)cccc2Cl)CC)[N+](=O)[O-])C(F)(F)F	Training	0
216	63-25-2	O=C(Oc1cccc2ccccc12)NC	Test	0
217	6385-62-2	c1cc[n+]3c(c1)c2cccc[n+]2CC3	Training	0
218	66215-27-8	n1c(nc(nc1N)NC2CC2)N	Test	0
219	66230-04-4	N#CC(OC(=O)C(c1ccc(cc1)Cl)C(C)C)c3cccc(Oc2ccccc2)c3	Training	0
220	66332-96-5	O=C(Nc1cccc(OC(C)C)c1)c2ccccc2C(F)(F)F	Training	0
221	66441-23-4	O=C(OCC)C(Oc3ccc(Oc1nc2ccc(cc2(o1))Cl)cc3)C	Training	0
222	6734-80-1	N(C(=S)S)C	Training	0
223	67747-09-5	O=C(n1cncc1)N(CCOc2c(cc(cc2Cl)Cl)Cl)CCC	Training	0
224	68157-60-8	O=C(Nc1ccccc1)Nc2ccnc(c2)Cl	Test	0
225	68359-37-5	N#CC(OC(=O)C1C(C=C(Cl)Cl)C1(C)(C))c3ccc(F)c(Oc2ccccc2)c3	Test	0
226	68694-11-1	FC(F)(F)c2cc(ccc2(N=C(n1cncc1)COCCC))Cl	Test	1
227	6923-22-4	O=C(C=C(OP(=O)(OC)OC)C)NC	Test	0
228	69327-76-0	O=C2N(c1ccccc1)CSC(=NC(C)(C)C)N2C(C)C	Test	0
229	69377-81-7	O=C(O)COc1nc(F)c(c(N)c1Cl)Cl	Test	0
230	69806-50-4	O=C(OCCCC)C(Oc2ccc(Oc1ncc(cc1)C(F)(F)F)cc2)C	Training	0
231	709-98-8	O=C(Nc1ccc(c(c1)Cl)Cl)CC	Training	0
232	71751-41-2	O=C5OC2CC(OC1(OC(C(C=C1)C)C(C)CC)C2)CC=C(C)C(OC4OC(C)C(OC3OC(C)C(O)C(OC)C3)C(OC)C4)C(C=CC=C6COC7C(O)C(=CC5C67(O))C)C	Training	0
233	72-43-5	O(c1ccc(cc1)C(c2ccc(OC)cc2)C(Cl)(Cl)Cl)C	Training	0
234	72490-01-8	O=C(OCC)NCCOc2ccc(Oc1ccccc1)cc2	Training	0
235	7287-19-6	n1c(nc(nc1NC(C)C)SC)NC(C)C	Training	0
236	74051-80-2	O=C1C(=C(O)CC(C1)CC(C)SCC)C(=NOCC)CCC	Training	0
237	741-58-2	O=S(=O)(NCCSP(OC(C)C)(OC(C)C)=S)c1ccccc1	Training	0
238	74115-24-5	n1nc(nnc1c2ccccc2Cl)c3ccccc3Cl	Test	0
240	759-94-4	O=C(N(CCC)CCC)SCC	Training	0
242	76578-14-8	O=C(OCC)C(Oc3ccc(Oc1nc2ccc(cc2(nc1))Cl)cc3)C	Test	0
243	76738-62-0	OC(C(n1ncnc1)Cc2ccc(cc2)Cl)C(C)(C)C	Training	0
244	7696-12-0	O=C(OCN1C(=O)C2=C(C1(=O))CCCC2)C3C(C=C(C)C)C3(C)(C)	Training	0
245	77501-63-4	O=C(OC(C(=O)OCC)C)c2cc(Oc1ccc(cc1Cl)C(F)(F)F)ccc2[N+](=O)[O-]	Training	0
