Id	CAS	SMILES	Set	Log SF
182	555-84-0	O=C2NCCN2(N=Cc1oc(cc1)[N+](=O)[O-])	Training	0.26
183	193-39-5	c1ccc2c(c1)c3ccc4ccc5cccc6cc2c3c4c56	Training	-0.14
184	76180-96-6	n1cccc3c1ccc2c3(nc(N)n2C)	Training	0.15
185	78-59-1	O=C1C=C(C)CC(C)(C)C1	Test	-3.02
186	303-34-4	O=C(OC2CCN1CC=C(COC(=O)C(O)(C(OC)C)C(O)(C)C)C12)C(=CC)C	Training	0.89
187	68006-83-7	n1c(N)c(cc3c1[nH]c2ccccc23)C	Test	0.08
188	3223-07-2	O=C(O)C(N)Cc1ccc(cc1)N(CCCl)CCCl	Training	2.11
189	99-59-2	O=[N+]([O-])c1ccc(OC)c(N)c1	Training	-1.31
190	60-34-4	NNC	Test	0.48
191	66-27-3	O=S(=O)(OC)C	Training	-1
192	1634-04-4	O(C)C(C)(C)C	Training	-2.74
193	129-15-7	O=C2c3ccccc3(C(=O)c1c2(ccc(c1[N+](=O)[O-])C))	Test	0.63
194	99-55-8	O=[N+]([O-])c1ccc(c(N)c1)C	Test	-2.05
195	82-28-0	O=C1c3ccccc3(C(=O)c2c(N)c(ccc12)C)	Training	-0.82
196	56-49-5	c1ccc5c(c1)ccc3c5(cc2ccc(c4c2c3CC4)C)	Training	1.34
197	3697-24-3	c1ccc2c(c1)ccc3c4ccccc4(cc(c23)C)	Training	1.08
198	838-88-0	Nc1ccc(cc1C)Cc2ccc(N)c(c2)C	Test	-0.04
199	75-09-2	C(Cl)Cl	Test	-2.7
200	101-14-4	Nc1ccc(cc1Cl)Cc2ccc(N)c(c2)Cl	Training	-1
201	101-61-1	c1cc(ccc1N(C)C)Cc2ccc(cc2)N(C)C	Training	-1.34
202	101-77-9	Nc1ccc(cc1)Cc2ccc(N)cc2	Test	0.2
203	90-12-0	c1ccc2c(c1)cccc2C	Test	-1.54
204	70-25-7	O=NN(C(=N[N+](=O)[O-])N)C	Test	0.92
205	56-04-2	O=C1C=C(NC(N1)=S)C	Training	-0.4
206	90-94-8	O=C(c1ccc(cc1)N(C)C)c2ccc(cc2)N(C)C	Training	-0.07
207	2385-85-5	C13(C4(C2(C5(C(C1(C2(Cl)Cl)Cl)(C3(C(C45Cl)(Cl)Cl)Cl)Cl)Cl)Cl)Cl)Cl	Training	1.26
208	50-07-7	O=C(OCC4C=1C(=O)C(N)=C(C(=O)C=1N3CC2NC2C34(OC))C)N	Training	3.91
209	315-22-0	O=C1OC3CCN2CC=C(COC(=O)C(O)(C)C(O)(C)C1C)C23	Training	1
210	91-59-8	Nc1ccc2ccccc2(c1)	Training	0.26
211	602-87-9	O=[N+]([O-])c3ccc2c1c3(cccc1CC2)	Training	-0.89
