35	35	14	2	0
0.23184	0.04226	-0.12013	0.35222	0.69296	0.46852	0.33748	0.42610	-0.36118	8.11589	-0.17835	0.01951	0.16812	0.83188	32	32	32	32	32
0.06909	-0.22804	0.70425	0.02231	0.58428	0.08635	0.20690	0.04314	-0.36118	6.78544	-0.17835	-0.35209	0.40432	0.59568	32	32	32	32	32
-0.07539	-0.45147	1.45403	-0.26271	0.49337	-0.18942	0.10116	-0.45231	-0.36118	6.31067	-0.17835	-0.39445	0.66931	0.33069	65	32	32	32	32
0.17798	-0.44029	1.45854	0.74287	0.49891	-0.18460	0.38685	-0.21955	-0.36118	6.19760	-0.17696	-0.39570	0.47557	0.52443	66	32	32	32	32
0.32652	0.77559	1.18984	1.10426	0.69330	0.06962	0.69949	0.08058	-0.36118	4.74908	-0.13319	-0.39585	0.27104	0.72896	32	32	32	32	32
0.68247	3.50215	1.20152	2.27054	1.00257	0.52168	1.47389	0.26549	-0.36118	1.56599	0.26809	-0.39564	0.14625	0.85375	32	32	32	32	32
0.94420	5.28054	1.15220	2.86530	1.15319	0.75877	1.75980	0.30588	-0.36118	-0.07993	0.58569	-0.38690	0.09927	0.90073	66	32	32	32	32
1.00507	5.70180	0.68935	2.88845	1.15275	0.88983	1.94832	0.41042	-0.36118	-0.13899	2.01775	-0.34602	0.08414	0.91586	66	32	32	32	32
1.01254	6.32723	0.46393	2.99628	1.18355	0.92669	2.94836	0.59350	-0.36118	-0.13914	0.48634	-0.04747	0.10912	0.89088	66	32	32	32	32
0.98938	7.13005	-0.03407	3.08125	1.19614	1.05473	3.91188	0.70674	-0.36118	-0.13914	0.14508	1.51941	0.19134	0.80866	32	32	32	32	32
0.81554	7.77335	-0.29992	3.05728	1.12175	1.07707	3.81737	0.71381	-0.36118	-0.13914	-0.11149	4.27173	0.10873	0.89127	66	32	32	32	32
-0.12699	-0.55189	-1.00892	-0.95791	-0.99128	-1.00670	-0.69519	-0.69093	2.54633	-0.13914	-0.17835	1.90109	0.99999	0.00001	32	32	32	32	32
-0.11764	-0.54697	-0.99999	-0.97433	-0.96980	-0.96932	-0.68765	-0.70317	2.54633	-0.13914	-0.17835	1.90109	0.99760	0.00240	32	32	32	32	32
-0.06610	-0.51139	-0.87068	-1.13708	-0.74430	-0.58942	-0.61762	-0.92523	2.54663	-0.13914	-0.17835	1.90133	0.94685	0.05315	32	32	32	32	32
0.12966	-0.39616	-0.55344	-1.23463	-0.47614	-0.34905	-0.42729	-0.99706	2.58390	-0.13914	-0.17835	1.93077	0.88367	0.11633	65	32	32	32	32
0.13453	-0.44755	-0.42313	-1.34264	-0.49445	-0.18453	-0.51395	-0.86726	3.00167	-0.13914	-0.17835	2.26082	0.76757	0.23243	32	32	32	32	32
0.17112	-0.45522	-0.04180	-1.43896	-0.60800	-0.40595	-0.57362	-0.47797	4.04115	-0.13914	-0.17835	3.08203	0.77534	0.22466	32	32	32	32	32
0.13408	-0.48020	0.11009	-1.46531	-0.64932	-0.45571	-0.58315	-0.15580	4.02592	-0.13914	-0.17835	3.06999	0.78090	0.21910	32	32	32	32	32
0.08952	-0.49315	0.24638	-1.47054	-0.71682	-0.58991	-0.60014	0.36646	3.80645	-0.13914	-0.17835	2.89661	0.86249	0.13751	32	32	32	32	32
