ID	CAS	SMILES	STATUS	EXP CLASS
119	-	CN(C)CCO[C@H](c1ccc(Cl)cc1)c2ccccn2	Training	0
120	-	CCOC(C(=O)N(C)CCN(C)CCc1ccccc1)(c2ccccc2)c3ccccc3	Training	0
121	-	CCN(CC)CCN1C(=O)C(=Nc2ccccc12)Cc3ccc(OC)cc3	Training	0
122	-	COc1ccccc1OCCNC[C@H](O)COc2cccc3[nH]c4ccccc4c23	Training	0
125	-	CCN(CC)CCC(=O)N1c2ccccc2Sc3ccc(Cl)cc13	Training	0
126	-	Cc1ccccc1CN2CCN(CCO[C@H](c3ccccc3)c4ccccc4Cl)CC2	Training	0
127	-	CCN(CC)CCCN1c2ccccc2Sc3ccc(Cl)cc13	Training	0
129	-	CN(C)CC\C=C\1/c2ccccc2Sc3ccc(Cl)cc13	Training	0
130	-	COc1cc(\C=C\C(=O)N2CCN(C[C@@H](O)COc3ccc(C(=O)C)c4OCCOc34)CC2)cc(OC)c1OC	Training	0
131	-	C(\C=C\c1ccccc1)N2CCN(CC2)C(c3ccccc3)c4ccccc4	Training	0
132	-	O=C(CCn1c(CN2CCN(C\C=C\c3ccccc3)CC2)nc4ccccc14)c5ccccc5	Training	0
133	-	Fc1ccc(cc1)C(=O)CCCN2CCN(CC2)c3cc4ccccc4cn3	Training	0
134	-	CN1CCC[C@@H]1CCO[C@](C)(c2ccccc2)c3ccc(Cl)cc3	Training	0
135	-	Clc1ccc(Cn2c(CN3CCCC3)nc4ccccc24)cc1	Training	0
136	-	Clc1ccc(cc1)[C@@H](N2CCN(C\C=C\c3ccccc3)CC2)c4ccccc4	Training	0
137	-	CN(C)CCCN1c2ccccc2CCc3ccc(Cl)cc13	Training	0
138	-	OCCN1CCN(CC\C=C\2/c3ccccc3Sc4ccc(Cl)cc24)CC1	Test	0
139	-	Clc1ccc(cc1)[C@H](OCCN2CCCCC2)c3ccccc3	Training	0
140	-	Fc1ccc(cc1)C(CCCN2CCC(CC2)N3C(=O)Nc4cc(Cl)ccc34)c5ccc(F)cc5	Training	0
141	-	CN1CCC(=C2c3ccccc3Oc4ccc(Cl)cc24)CC1	Test	0
142	-	CN1CCN(CC1)C2=Nc3ccccc3Sc4ccc(Cl)cc24	Test	0
143	-	CNC(=O)CCN1CCN(CC\C=C/2\c3ccccc3Sc4ccc(Cl)cc24)CC1	Training	0
145	-	CC(=O)O[C@H]1[C@@H](O)[C@H]2C(C)(C)CC[C@H](O)[C@]2(C)[C@]3(O)C(=O)C[C@@](C)(O[C@@]13C)C=C	Training	0
146	-	CCOP(=S)(OCC)Oc1ccc2C(=C(Cl)C(=O)Oc2c1)C	Test	0
147	-	COc1ccc(C[C@H]2NC(=O)\C=C\C[C@H](OC(=O)[C@H](CC(C)C)OC(=O)[C@H](C)CNC2=O)[C@H](C)[C@H]3O[C@@H]3c4ccccc4)cc1Cl	Training	0
148	-	CN(C)CCC=C1c2ccccc2C=Cc3ccccc13	Test	0
149	-	CC[C@@H](C)[C@@H]1N(C)C(=O)[C@H]([C@@H](C)CC)N(C)C(=O)[C@H](CC(=O)OC(C)(C)C)N(C)C(=O)[C@@H](NC(=O)[C@H](C(C)C)N(C)C(=O)[C@@H]2CCCCN2C(=O)[C@@H](C)OC(=O)[C@H](Cc3ccc(O)cc3)NC(=O)[C@H](C(C)C)N(C)C(=O)CNC1=O)C(C)C	Training	0
150	-	CC[C@@H](C)[C@@H]1N(C)C(=O)[C@H]([C@@H](C)CC)N(C)C(=O)[C@H](CC(=O)OC(C)(C)C)N(C)C(=O)[C@@H](NC(=O)[C@H](C(C)C)N(C)C(=O)[C@@H]2CCCCN2C(=O)[C@@H](C)OC(=O)[C@H](Cc3ccc(OC(C)(C)C)cc3)NC(=O)[C@H](C(C)C)N(C)C(=O)CNC1=O)C(C)C	Training	0
151	-	CC[C@@H](C)[C@@H]1N(C)C(=O)[C@H]([C@@H](C)CC)N(C)C(=O)[C@H](CC(=O)OC(C)(C)C)N(C)C(=O)[C@@H](NC(=O)[C@H](C(C)C)N(C)C(=O)[C@@H]2CCCCN2C(=O)[C@H](C)OC(=O)[C@H](Cc3ccc(OC)cc3)NC(=O)[C@H](C(C)C)N(C)C(=O)CNC1=O)C(C)C	Test	0
152	-	CC[C@@H](C)[C@@H]1N(C)C(=O)[C@H]([C@@H](C)CC)N(C)C(=O)[C@H](CC(=O)OCCC(C)(C)C)N(C)C(=O)[C@@H](NC(=O)[C@H](C(C)C)N(C)C(=O)[C@@H]2CCCCN2C(=O)[C@H](C)OC(=O)[C@H](Cc3ccc(OC)cc3)NC(=O)[C@H](C(C)C)N(C)C(=O)CNC1=O)C(C)C	Training	0
153	-	CC[C@@H](C)[C@@H]1N(C)C(=O)[C@H]([C@@H](C)CC)N(C)C(=O)[C@H](CC(=O)NC(C)(C)C)N(C)C(=O)[C@@H](NC(=O)[C@H](C(C)C)N(C)C(=O)[C@@H]2CCCCN2C(=O)[C@H](C)OC(=O)[C@H](Cc3ccc(OC)cc3)NC(=O)[C@H](C(C)C)N(C)C(=O)CNC1=O)C(C)C	Training	0
154	-	CC[C@@H](C)[C@@H]1N(C)C(=O)[C@H]([C@@H](C)CC)N(C)C(=O)[C@H](CC(=O)NCC(C)(C)C)N(C)C(=O)[C@@H](NC(=O)[C@H](C(C)C)N(C)C(=O)[C@@H]2CCCCN2C(=O)[C@H](C)OC(=O)[C@H](Cc3ccc(OC)cc3)NC(=O)[C@H](C(C)C)N(C)C(=O)CNC1=O)C(C)C	Training	0
155	-	CC[C@@H](C)[C@@H]1N(C)C(=O)[C@H]([C@@H](C)CC)N(C)C(=O)[C@H](CC(=O)N[C@H](COC(C)(C)C)C(C)C)N(C)C(=O)[C@@H](NC(=O)[C@H](C(C)C)N(C)C(=O)[C@@H]2CCCCN2C(=O)[C@H](C)OC(=O)[C@H](Cc3ccc(OC)cc3)NC(=O)[C@H](C(C)C)N(C)C(=O)CNC1=O)C(C)C	Training	0
156	-	CC[C@@H](C)[C@@H]1N(C)C(=O)[C@H]([C@@H](C)CC)N(C)C(=O)[C@H](CC(=O)OC(C)(C)C)N(C)C(=O)[C@@H](NC(=O)[C@H](C(C)C)N(C)C(=O)[C@@H]2CCCCN2C(=O)[C@H](C)NC(=O)[C@H](Cc3ccc(OC)cc3)NC(=O)[C@H](C(C)C)N(C)C(=O)CNC1=O)C(C)C	Test	0
157	-	CC[C@@H](C)[C@@H]1N(C)C(=O)[C@H]([C@@H](C)CC)N(C)C(=O)[C@H](CC(=O)OC)N(C)C(=O)[C@@H](NC(=O)[C@H](C(C)C)N(C)C(=O)[C@@H]2CCCCN2C(=O)[C@@H](C)OC(=O)[C@H](Cc3ccc(OC)cc3)NC(=O)[C@H](C(C)C)N(C)C(=O)CNC1=O)C(C)C	Training	0
158	-	CC[C@@H](C)[C@@H]1N(C)C(=O)[C@H]([C@@H](C)CC)N(C)C(=O)[C@H](CC(=O)OCCC(C)C)N(C)C(=O)[C@@H](NC(=O)[C@H](C(C)C)N(C)C(=O)[C@@H]2CCCCN2C(=O)[C@@H](C)OC(=O)[C@H](Cc3ccc(OC)cc3)NC(=O)[C@H](C(C)C)N(C)C(=O)CNC1=O)C(C)C	Training	0
