ID	CAS	SMILES	STATUS	EXP_VALUE
172	N.A.	CC(C)CC(NC(=O)CNC(=O)C(Cc1ccc(O)cc1)NC(=O)C(CO)NC(=O)C(Cc1c[nH]c2ccccc12)NC(=O)C(Cc1c[nH]cn1)NC(=O)C1CCC(=O)N1)C(=O)NC(CCCN=C(N)N)C(=O)N1CCCC1C(=O)NCC(N)=O	TRAINING	0
173	N.A.	CC(C)CC1C(=O)N2CCCC2C2(O)OC(NC(=O)C3=CC4c5cccc6[nH]c(Br)c(c56)CC4N(C)C3)(C(C)C)C(=O)N12	TRAINING	1
174	N.A.	CC(C)CN(CC(O)C(Cc1ccccc1)NC(=O)OC1CCOC1)S(=O)(=O)c1ccc(N)cc1	TRAINING	1
175	N.A.	CC(C)CN(CC(O)C(Cc1ccccc1)NC(=O)OC1COC2OCCC12)[S+](=O)([O-])c1ccc(N)cc1	TRAINING	1
176	N.A.	CC(C)CN(CC(O[PH](=O)(=O)O)C(Cc1ccccc1)NC(=O)OC1CCOC1)S(=O)(=O)c1ccc(N)cc1	TRAINING	1
177	N.A.	CC(C)COC(=O)c1ccc(N)cc1	TRAINING	0
178	N.A.	CC(C)Cc1ccc(CC(=O)O)cc1	TRAINING	1
179	N.A.	CC(C)Cn1cnc2c(=N)[nH]c3ccccc3c21	TRAINING	0
180	N.A.	CC(C)N(CCC(C(N)=O)(c1ccccc1)c1ccccn1)C(C)C	TRAINING	1
181	N.A.	CC(C)N1CCC(N(C(=O)Cc2ccccc2)c2ccc(Cl)cc2)CC1	TRAINING	0
182	N.A.	CC(C)N1CCN(c2ccc(OCC3COC(Cn4cncn4)(c4ccc(Cl)cc4Cl)O3)cc2)CC1	TRAINING	0
183	N.A.	CC(C)N=c1cc2n(-c3ccc(Cl)cc3)c3ccccc3[nH]c-2cc1=Nc1ccc(Cl)cc1	TRAINING	1
184	N.A.	CC(C)NC(C)Cc1ccc(I)cc1	TRAINING	0
185	N.A.	CC(C)NCCCC1(C(N)=O)c2ccccc2-c2ccccc21	TRAINING	0
186	N.A.	CC(C)NNC(=O)c1ccncc1	TRAINING	1
187	N.A.	CC(C)O	TRAINING	0
188	N.A.	CC(C)OP(=O)(F)OC(C)C	TRAINING	0
189	N.A.	CC(C)[N+](=O)[O-]	TRAINING	1
190	N.A.	CC(C)[N+]1(C)C2CCC1CC(OC(=O)C(CO)c1ccccc1)C2	TRAINING	0
191	N.A.	CC(C)c1cc2c(cc1S(=O)(=O)O)C1(C)CCCC(C)(C(=O)O)C1CC2	TRAINING	0
192	N.A.	CC(C)c1ccc2oc3[nH]c(=N)c(C(=O)O)cc3c(=O)c2c1	TRAINING	0
193	N.A.	CC(C)c1cccc(C(C)C)c1NC(=O)CN(CC(=O)O)CC(=O)O	TRAINING	0
194	N.A.	CC(C1=C(CCN(C)C)Cc2ccccc21)c1ccccn1	TRAINING	0
195	N.A.	CC(C=CC=C(C)C=CC1=C(C)C(=O)CCC1(C)C)=CC=CC=C(C)C=CC=C(C)C=CC1=C(C)C(=O)CCC1(C)C	TRAINING	0
196	N.A.	CC(C=CC=C(C)C=CC1=C(C)CC(O)CC1(C)C)=CC=CC=C(C)C=CC=C(C)C=CC1C(C)=CC(O)CC1(C)C	TRAINING	0
197	N.A.	CC(C=CC=C(C)C=CC1=C(C)CCCC1(C)C)=CC=CC=C(C)C=CC=C(C)C=CC1=C(C)CCCC1(C)C	TRAINING	1
198	N.A.	CC(CC1c2ccccc2CCc2ccccc21)CN(C)C	TRAINING	1
199	N.A.	CC(CCC(=O)NCCS(=O)(=O)O)C1CCC2C3CCC4CC(O)CCC4(C)C3CCC12C	TRAINING	1
200	N.A.	CC(CCC(=O)O)C1CCC2C3C(O)CC4CC(O)CCC4(C)C3CC(O)C12C	TRAINING	1
201	N.A.	CC(CCC(=O)O)C1CCC2C3CCC4CC(O)CCC4(C)C3CC(O)C12C	TRAINING	0
202	N.A.	CC(CCc1ccccc1)NC(C)C(O)c1ccc(O)cc1	TRAINING	0
203	N.A.	CC(CCc1ccccc1)NCC(O)c1ccc(O)c(C(N)=O)c1	TRAINING	1
204	N.A.	CC(CN(C)C)C(C)(O)Cc1ccc(Cl)cc1	TRAINING	0
205	N.A.	CC(CN1CC(=O)NC(=O)C1)N1CC(=O)NC(=O)C1	TRAINING	0
206	N.A.	CC(CNC1CCCCC1)OC(=O)c1ccccc1	TRAINING	0
207	N.A.	CC(COc1ccccc1)NN	TRAINING	1
208	N.A.	CC(CS)C(=O)N1CCCC1C(=O)O	TRAINING	1
209	N.A.	CC(CSC(=O)c1ccccc1)C(=O)N1CC(Sc2ccccc2)CC1C(=O)O	TRAINING	0
210	N.A.	CC(C[N+](C)(C)C)OC(=N)[O-]	TRAINING	0
211	N.A.	CC(Cc1ccc(O)cc1)NCC(O)c1cc(O)cc(O)c1	TRAINING	1
212	N.A.	CC(Cc1cccc(C(F)(F)F)c1)NCCOC(=O)c1ccccc1	TRAINING	0
213	N.A.	CC(Cc1ccccc1)(NC(=O)CN)c1ccccc1	TRAINING	1
214	N.A.	CC(Cc1ccccc1)NCCC(c1ccccc1)c1ccccc1	TRAINING	1
215	N.A.	CC(Cl)(Cl)Cl	TRAINING	1
216	N.A.	CC(Cl)CCl	TRAINING	1
