Id	CAS	SMILES	Set	Log SF
209	57117-31-4	o2c1cc(c(cc1c3cc(c(c(c23)Cl)Cl)Cl)Cl)Cl	Training	4.60
210	65510-44-3	c1cc(cc(c1c2cc(c(c(c2)Cl)Cl)Cl)Cl)Cl	Test	0.60
211	31508-00-6	c1cc(c(cc1c2cc(c(cc2Cl)Cl)Cl)Cl)Cl	Training	0.60
212	32598-14-4	c1cc(c(cc1c2ccc(c(c2Cl)Cl)Cl)Cl)Cl	Training	0.60
213	74472-37-0	c1cc(ccc1c2cc(c(c(c2Cl)Cl)Cl)Cl)Cl	Training	0.60
214	57465-28-8	c1cc(c(cc1c2cc(c(c(c2)Cl)Cl)Cl)Cl)Cl	Training	4.12
215	40321-76-4	O1c3cc(c(cc3(Oc2c1cc(c(c2Cl)Cl)Cl))Cl)Cl	Test	5.12
216	87-86-5	Oc1c(c(c(c(c1Cl)Cl)Cl)Cl)Cl	Training	-1.75
217	62-44-2	O=C(Nc1ccc(OCC)cc1)C	Training	-2.66
218	94-78-0	N(=Nc1ccc(nc1(N))N)c2ccccc2	Training	-0.77
219	3546-10-9	O=C(OC4CC3=CCC1C(CCC2(C)(C(CCC12)C(C)CCCC(C)C))C3(C)CC4)Cc5ccc(cc5)N(CCCl)CCCl	Test	2.18
220	50-06-6	O=C2NC(=O)C(c1ccccc1)(C(=O)N2)CC	Training	-0.34
221	59-96-1	O(c1ccccc1)CC(N(Cc2ccccc2)CCCl)C	Test	0.49
222	59536-65-1	c1cc(c(c(c1c2cc(c(c(c2)Br)Br)Br)Br)Br)Br	Training	1.48
223	3564-09-8	O=C2C(=NNc1cc(c(cc1C)C)C)c3ccc(cc3(C=C2S(=O)(=O)O))S(=O)(=O)O	Test	-1.79
224	3761-53-3	O=C2C(=NNc1ccc(cc1C)C)c3cc(ccc3(C=C2S(=O)(=O)O))S(=O)(=O)O	Training	-2.34
225	671-16-9	O=C(NC(C)C)c1ccc(cc1)CNNC	Training	1.15
226	1120-71-4	O=S1(=O)(OCCC1)	Training	0.38
227	57-57-8	O=C1OCC1	Training	1.15
228	75-56-9	O1CC1C	Training	-1.89
229	51-52-5	O=C1C=C(NC(N1)=S)CCC	Test	0.01
230	26148-68-5	n1c(N)ccc3c1[nH]c2ccccc23	Training	-0.40
231	50-55-5	O=C(OC3CC4CN2CCc1c5ccc(OC)cc5([nH]c1C2CC4(C(C(=O)OC)C3(OC))))c6cc(OC)c(OC)c(OC)c6	Training	1.04
232	94-59-7	O1c2ccc(cc2(OC1))CC=C	Training	-0.66
233	10048-13-2	O=C1c5c(O)cccc5(Oc3c1c(OC)cc2OC4OC=CC4(c23))	Test	1.54
234	18883-66-4	O=NN(C(=O)NC1C(O)OC(CO)C(O)C1(O))C	Test	2.04
235	96-09-3	O1CC1c2ccccc2	Training	-0.79
