id	CAS	SMILES	status	Exp -log10(mg/L)	LOO Prediction
281	022104-62-7	O=C(C(C)CN(C)C)C	Training	-0.9270	-2.6536805297
282	005407-04-5	ClCCCN(C)C	Training	-2.0080	-1.8106673028
283	000057-09-0	CCCCCCCCCCCCCCCCN(Br)(C)(C)C	Training	0.5552	0.2096556162
284	000141-43-5	OCCN	Training	-2.9771	-2.3432300909
285	000078-96-6	OC(CN)C	Training	-3.3964	-2.4115840941
286	000110-73-6	OCCNCC	Training	-0.7276	-3.5995842358
287	000111-42-2	OCCNCCO	Training	-4.6696	-2.8860902669
288	000102-81-8	OCCN(CCCC)CCCC	Training	-1.4597	-2.4839903705
289	000100-37-8	OCCN(CC)CC	Training	-3.2477	-999
290	000096-80-0	OCCN(C(C)C)C(C)C	Training	-2.3000	-2.3878584838
291	000102-71-6	OCCN(CCO)CCO	Training	-4.0696	-3.4773222482
292	000622-40-2	O(CCN(C1)CCO)C1	Training	-3.4333	-3.9374170564
293	000107-15-3	NCCN	Training	-2.3408	-2.8634809222
294	000109-76-2	NCCCN	Training	-3.0778	-2.5954146242
295	000078-90-0	NCC(N)C	Training	-2.9998	-2.6122196034
296	000124-09-4	NCCCCCCN	Training	-1.8488	-1.5141600758
297	000109-07-9	N(CCNC1C)C1	Training	-3.3487	-3.2833322652
298	000109-01-3	N(CCNC1)(C1)C	Training	-3.3597	-3.4166835357
299	000140-31-8	N(CCNC1)(C1)CCN	Training	-3.3384	-3.1744567178
300	000103-76-4	OCCN(CCNC1)C1	Training	-3.8046	-2.7123320971
301	004067-16-7	N(CCNCCNCCNCCN)CCN	Training	-2.3203	-3.1983923071
302	003030-47-5	N(CCN(C)C)(CCN(C)C)C	Training	-2.0390	-3.348905763
303	007209-38-3	N(CCN(C1)CCCN)(C1)CCCN	Training	-3.4897	-2.7556101902
304	000280-57-9	C(CN(C1)C2)N(C1)C2	Training	-3.2362	-3.1218592431
305	000100-97-0	N13CN2CN(CN(C1)C2)C3	Training	-4.6961	-4.696
306	000076-06-2	[O-][N+](=O)C(Cl)(Cl)Cl	Training	2.0002	-999
307	000075-05-8	C(#N)C	Training	-0.0109	-1.6696856803
308	000107-12-0	C(#N)CC	Training	-3.1800	-0.699317898
309	002243-27-8	N#CCCCCCCCC	Training	-0.7064	-0.8632524227
310	002437-25-4	N#CCCCCCCCCCCC	Training	0.2203	0.4393275642
311	000107-14-2	N#CCCl	Training	-0.1295	-999
312	000545-06-2	C(#N)C(Cl)(Cl)Cl	Training	1.1427	-0.7485427915
313	000109-75-1	N#CCC=C	Training	-2.2584	-1.0659776963
314	000109-77-3	C(#N)CC(#N)	Training	0.2521	-999
315	000111-69-3	C(#N)CCCCC(#N)	Training	-3.2839	-1.363790765
316	000629-40-3	N#CCCCCCCC#N	Training	-2.7326	-999
317	000107-13-1	C(#N)C=C	Training	-0.7068	-0.3053144819
318	001855-63-6	C1(C#N)=CCCCC1	Training	-1.6113	-1.866503978
319	000406-86-0	N#CC=CC(F)(F)F	Training	0.6994	-0.4762137761
320	000920-37-6	N#CC(=C)Cl	Training	1.0761	-0.6486586743
321	001118-61-2	N#CC=C(N)C	Training	-1.2294	-999
322	000764-42-1	N#CC=CC#N	Training	0.4437	-0.2060623554
323	000068-12-2	O=CN(C)C	Training	-4.0231	-2.2734599996
324	000761-65-9	O=CN(CCCC)CCCC	Training	-1.9462	-1.6860793889
325	000683-72-7	O=C(N)C(Cl)Cl	Training	-2.3790	-2.3815
326	000947-04-6	O=C(NCCCCCCCCCC1)C1	Training	-1.7380	-0.9600793414
327	000093-83-4	O=C(N(CCO)CCO)CCCCCCCC=CCCCCCCCC	Training	-0.1737	-0.1226037331
328	016669-59-3	O=C(NCOCC(C)C)C=C	Training	-1.7762	-0.9918851738
329	000868-63-3	O=C(NC(O)C(O)NC(=O)C=C)C=C	Training	-2.0402	-2.4688328992
330	000110-26-9	O=C(NCNC(=O)C=C)C=C	Training	-2.3790	-2.2367834898
331	000060-34-4	N(N)C	Training	0.4220	-1.7484653345
332	000057-14-7	N(N)(C)C	Training	-0.8948	-1.2812813715
333	000497-18-7	O=C(NN)NN	Training	-1.7154	-999
334	000079-19-6	NC(=S)NN	Training	-1.3218	-999
335	000106-91-2	O=C(OCC(O1)C1)C(=C)C	Training	-0.4455	-1.4679024476
336	000286-62-4	O(C1CCC2)C1CCC2	Training	-2.2987	-2.070379271
337	000106-87-6	O(C1C(CC(O2)C2C3)C3)C1	Training	-1.1742	-1.4449144069
338	002425-79-8	O(C1COCCCCOCC(O2)C2)C1	Training	-1.1119	-1.5473770766
339	000075-91-2	O(O)C(C)(C)C	Training	-1.9706	-3.6411056077
340	000107-29-9	N(O)=CC	Training	-1.8787	-2.9924020643
341	000096-29-7	N(O)=C(CC)C	Training	-2.9241	-2.7186792581
342	000100-64-1	N(O)=C(CCCC1)C1	Training	-2.3158	-2.5163703405
343	000051-79-6	O=C(OCC)N	Training	-3.7182	-2.9638197369
344	031502-57-5	C1CCC(CC1)NC(=O)OCCCl	Training	-1.5471	-1.5424
345	003206-31-3	CCOC(=O)N(C(=O)OCC)C(=O)OCC	Training	-1.1223	-1.1224
