id	CAS	SMILES	status	Exp -log10(mg/L)	LOO Prediction
916	000090-30-2	N(c(c(c(ccc1)cc2)c1)c2)c(cccc3)c3	Training	0.1560	-0.5627259905
917	000066-76-2	O=C1Oc2ccccc2C(O)=C1CC3=C(O)c4ccccc4OC3=O	Training	-0.7078	-0.7074
918	000092-06-8	c(c(cccc1)c1)(cccc2c(cccc3)c3)c2	Training	-0.4901	0.1842086661
919	000084-15-1	c(c(c(cccc1)c1)ccc2)(c(cccc3)c3)c2	Training	0.9221	-0.2435143386
920	002479-46-1	Nc2ccc(cc2)Oc3cc(ccc3)Oc1ccc(cc1)N	Training	-0.2777	-0.6855228548
921	003558-69-8	c1ccc(cc1)c2cccc(n2)c3ccccc3	Training	0.6779	-999
922	000084-62-8	O=C(Oc(cccc1)c1)c(c(ccc2)C(=O)Oc(cccc3)c3)c2	Training	0.4982	-0.2092719545
923	051630-58-1	CC(C)C(C(=O)OC(C#N)c2cccc(Oc1ccccc1)c2)c3ccc(Cl)cc3	Training	2.2940	-999
924	070124-77-5	CC(C)C(C(=O)OC(C#N)c2cccc(Oc1ccccc1)c2)c3ccc(OC(F)F)cc3	Training	3.7225	1.8360224323
925	000843-55-0	Oc(ccc(c1)C(CCC(c(ccc(O)c2)c2)C3)C3)c1	Training	-0.2537	-0.392151784
926	052645-53-1	CC1(C)C(C=C(Cl)Cl)C1C(=O)OCc3cccc(Oc2ccccc2)c3	Training	1.7967	2.2768626585
927	010453-86-8	CC(C)=CC3C(C(=O)OCc2coc(Cc1ccccc1)c2)C3(C)C	Training	2.2122	-999
928	000569-64-2	CN(C)c1ccc(cc1)C(=C2C=CC(C=C2)=N(Cl)(C)C)c3ccccc3	Training	0.8552	-0.5743777953
929	000115-86-6	O=P(Oc(cccc1)c1)(Oc(cccc2)c2)Oc(cccc3)c3	Training	-0.0256	0.0300921709
930	001330-78-5	O=P(Oc1ccccc1C)(Oc2ccccc2C)Oc3ccccc3C	Training	0.0770	-0.5449447271
931	025155-23-1	O=P(Oc1(c(C)cc(C)cc1))(Oc2(cc(C)cc(C)c2))Oc3(c(C)c(C)ccc3)	Training	-1.2290	-0.1336904569
932	000791-28-6	O=P(c(cccc1)c1)(c(cccc2)c2)c(cccc3)c3	Training	-1.7309	-1.7288
933	000132-64-9	o(c(c(c1cccc2)ccc3)c3)c12	Training	-0.2658	-0.7588068459
934	001484-13-5	N(c(c(c1cccc2)ccc3)c3)(c12)C=C	Training	2.4949	-0.9604828516
935	000132-65-0	s(c(c(c1cccc2)ccc3)c3)c12	Training	-0.1453	-0.1183227706
936	000514-10-3	O=C(O)C(C(C(C(C(=C1)C=C(C2)C(C)C)C2)(CC3)C)C1)(C3)C	Training	-0.3746	0.074058127
937	000471-77-2	C(C(CC1)=C(C)C)=C(CCC2C(C3)(C(=O)O)C)C1C2(CC3)C	Training	-0.2306	-0.1467900439
938	005835-26-7	CC3(CCC1C(=CCC2C1(C)CCCC2(C)C(=O)(O))C3)C=C	Training	0.0624	-0.2181400443
939	001740-19-8	O=C(O)C(C(C(c(c(cc(c1)C(C)C)C2)c1)(CC3)C)C2)(C3)C	Training	-0.3198	-0.1985393716
940	000083-79-4	COc5cc4OCC3Oc2c1CC(Oc1ccc2C(=O)C3c4cc5OC)C(C)=C	Training	2.3483	2.4053
941	000060-41-3	O=C1(CC2OCC=C3CN4CCC56C4CC3C2C5N1C7=CC=CC=C67)	Training	0.3164	0.0161
942	000597-64-8	CC[Sn](CC)(CC)CC	Training	1.9604	1.9319
943	001461-25-2	CCCC[Sn](CCCC)(CCCC)CCCC	Training	1.3470	1.3477
944	000123-46-6	NNC(=O)CN(C)(C)(C)	Training	-4.1475	-3.2744249535
945	069723-94-0	C1C(=CC=C[N+]=1CC2C=CC=CC=2)S(=O)(=O)[O-]	Training	-3.3811	-1.4031942974
946	000683-10-3	O=C(O)CN(CCCCCCCCCCCC)(C)C	Training	-0.0443	-1.0253541246
948	39145-47-6	O=[N+]([O-])c2ccccc2(Oc1ccc(cc1)Cl)	Training	-0.2825	-0.0553897714
949	31502-57-5	O=C(OCCCl)NC1CCCCC1	Training	-1.5424	-1.5471
950	58-08-2	O=C2c1c(ncn1C)N(C(=O)N2C)C	Training	-2.1782	-2.1785
951	59-97-2	N1=C(NCC1)Cc2ccccc2	Training	-2.4587	-1.6168135509
952	60-13-9	NC(C)Cc1ccccc1	Training	-1.0221	-1.4477861295
953	60-41-3	O=C2N6c1ccccc1C57(CCN4CC3=CCOC(C2)C(C3CC45)C67)	Training	0.0161	0.3164
954	65-30-5	n1cccc(c1)C2N(C)CCC2	Training	-0.6733	-1.9478043151
955	66-76-2	O=C1Oc4ccccc4(C(O)=C1CC=2C(=O)Oc3ccccc3(C=2(O)))	Training	-0.7074	-0.7078
956	67-68-5	O=S(C)C	Training	-4.5298	-4.5306
957	71-73-8	O=C1NC(NC(=O)C1(CC)C(C)CCC)=S	Training	-1.3791	-2.0097034141
958	83-79-4	O=C3c5ccc1OC(C(=C)C)Cc1c5(OC4COc2cc(OC)c(OC)cc2C34)	Training	2.4053	2.3483
959	86-50-0	O=C1c2ccccc2(N=NN1CSP(OC)(OC)=S)	Training	1.1981	1.1941
960	100-97-0	N12(CN3CN(C1)CN(C2)C3)	Training	-4.6960	-4.6961
961	121-75-5	O=C(OCC)CC(C(=O)OCC)SP(OC)(OC)=S	Training	-1.1479	-1.1476
962	128-44-9	O=C1NS(=O)(=O)c2ccccc12	Training	-4.2126	-1.5905650291
963	333-41-5	n1c(OP(OCC)(OCC)=S)cc(nc1C(C)C)C	Training	-0.9694	-0.969
964	597-64-8	CC[Sn](CC)(CC)CC	Training	1.9319	1.9604
965	683-72-7	O=C(N)C(Cl)Cl	Training	-2.3815	-2.379
966	791-28-6	O=P(c1ccccc1)(c2ccccc2)c3ccccc3	Training	-1.7288	-1.7309
967	1461-25-2	CCCC[Sn](CCCC)(CCCC)CCCC	Training	1.3477	1.347
968	1484-26-0	O(c1cccc(N)c1)Cc2ccccc2	Training	-0.9596	-0.5593856521
969	2034-22-2	n1c([nH]c(c1Br)Br)Br	Training	-0.9009	-0.8439
970	2921-88-2	n1c(OP(OCC)(OCC)=S)c(cc(c1Cl)Cl)Cl	Training	0.2976	0.2969
971	3206-31-3	O=C(OCC)N(C(=O)OCC)C(=O)OCC	Training	-1.1224	-1.1223
972	6921-29-5	C#CCN(CC#C)CC#C	Training	-2.4700	-2.4681
973	6948-86-3	O(CC)C(OCC)CN(C)CC(OCC)OCC	Training	-2.8018	-2.8002
