ID	CAS	SMILES	Status	logLOEL
110	80-07-9	O=S(=O)(c1ccc(cc1)Cl)c2ccc(cc2)Cl	Training	0.364
111	608-93-5	c1c(c(c(c(c1Cl)Cl)Cl)Cl)Cl	Training	0.405
112	67-72-1	C(C(Cl)(Cl)Cl)(Cl)(Cl)Cl	Training	1.672
113	132-98-9	O=C(O)C3N2C(=O)C(NC(=O)COc1ccccc1)C2SC3(C)(C)	Training	2.875
114	50-33-9	O=C3N(c1ccccc1)N(c2ccccc2)C(=O)C3CCCC	Training	1.699
115	597-25-1	O=P(OC)(OC)N1CCOCC1	Training	2.301
116	756-79-6	O=P(OC)(OC)C	Training	2.398
117	117-08-8	O=C1OC(=O)c2c1c(c(c(c2Cl)Cl)Cl)Cl	Training	1.973
118	125-33-7	O=C2NCNC(=O)C2(c1ccccc1)CC	Training	1.364
119	57-66-9	O=C(O)c1ccc(cc1)S(=O)(=O)N(CCC)CCC	Training	1.699
120	58-33-3	c1ccc3c(c1)N(c2ccccc2S3)CC(N(C)C)C	Training	1.045
121	78-87-5	CC(CCl)Cl	Training	2.699
122	24382-04-5	O=CCC=O	Training	1.778
123	108-46-3	Oc1cccc(O)c1	Training	1.505
124	23246-96-0	O=C1OC3CCN2CC=C(COC(=O)C(O)(C(=C)CC1(=CC))CO)C23	Training	-1.000
125	121-19-7	O=[N+]([O-])c1cc(ccc1(O))[As](=O)(O)O	Training	0.585
126	599-79-1	O=C(O)C3=CC(=NNc1ccc(cc1)S(=O)(=O)Nc2ncccc2)C=CC3(=O)	Training	1.924
127	108-30-5	O=C1OC(=O)CC1	Training	2.000
128	614-45-9	O=C(OOC(C)(C)C)c1ccccc1	Training	1.477
129	14371-10-9	O=CC=Cc1ccccc1	Training	2.498
130	39765-80-5	C2(=C(C3(C1C(C(C(C1Cl)Cl)Cl)C2(C3(Cl)Cl)Cl)Cl)Cl)Cl	Training	-0.415
131	396-01-0	n1c(nc(N)c2nc(c(nc12)N)c3ccccc3)N	Training	1.364
132	91-64-5	O=C1Oc2ccccc2(C=C1)	Training	1.279
133	5392-40-5	O=CC=C(C)CCC=C(C)C	Training	2.477
134	149-30-4	c1ccc2c(c1)NC(=S)S2	Training	2.274
135	513-86-0	O=C(C)C(O)C	Training	3.109
136	67-64-1	O=C(C)C	Training	2.699
137	71-36-3	OCCCC	Training	2.699
138	5793-94-2	O=C(O)C(OC(=O)C(OC(=O)CCCCCCCCCCCCCCCCC)C)C	Training	4.045
139	111-90-0	OCCOCCOCC	Training	3.398
140	141-78-6	O=C(OCC)C	Training	3.556
141	60-29-7	O(CC)CC	Training	3.301
142	614-33-5	O=C(OCC(OC(=O)c1ccccc1)COC(=O)c2ccccc2)c3ccccc3	Training	3.410
143	505-57-7	O=CC=CCCC	Training	2.410
144	94-26-8	O=C(OCCCC)c1ccc(O)cc1	Training	3.740
145	5471-51-2	O=C(C)CCc1ccc(O)cc1	Training	2.380
146	87-20-7	O=C(OCCC(C)C)c1ccccc1(O)	Training	1.672
147	534-73-6	OCC(O)C(O)C(O)C(O)COC1OC(CO)C(O)C(O)C1(O)	Training	3.948
148	503-74-2	O=C(O)CC(C)C	Training	3.634
149	67-56-1	OC	Training	3.398
150	38502-29-3	OC(Cc1ccccc1)CC(C)C	Training	1.602
151	108-39-4	Oc1cccc(c1)C	Training	2.176
152	93-92-5	O=C(OC(c1ccccc1)C)C	Training	2.176
153	122-99-6	OCCOc1ccccc1	Training	2.602
154	698-87-3	OC(C)Cc1ccccc1	Training	1.602
155	24634-61-5	O=C(O)C=CC=CC	Training	3.647
156	59-02-9	Oc2c(c(c1OC(C)(CCc1c2C)CCCC(C)CCCC(C)CCCC(C)C)C)C	Training	3.492
157	75-50-3	N(C)(C)C	Training	2.427
158	142-19-8	O=C(OCC=C)CCCCCC	Training	2.196
159	431-03-8	O=C(C(=O)C)C	Training	2.732
160	55-38-9	O(c1ccc(c(c1)C)SC)P(OC)(OC)=S	Training	1.505
161	125-12-2	O=C(OC1CC2CCC1(C)C2(C)(C))C	Training	1.954
162	78-59-1	O=C1C=C(C)CC(C)(C)C1	Training	3.000
163	110-43-0	O=C(C)CCCCC	Training	2.000
164	110-89-4	N1CCCCC1	Training	2.140
165	110-86-1	n1ccccc1	Training	1.000
166	546-80-5	O=C1CC2(CC2(C1C))(C(C)C)	Training	1.000
167	94-81-5	O=C(O)CCCOc1ccc(cc1C)Cl	Training	1.602
168	2475-45-8	O=C1c3c(N)ccc(N)c3(C(=O)c2c(N)ccc(N)c12)	Training	2.111
169	6373-74-6	O=[N+]([O-])c3ccc(Nc2ccc(Nc1ccccc1)c(c2)S(=O)(=O)O)c(c3)[N+](=O)[O-]	Training	3.176
170	2832-40-8	O=C2C=CC(=CC2(=NNc1ccc(cc1)NC(=O)C))C	Training	2.699
171	842-07-9	O=C3C=Cc1ccccc1C3(=NNc2ccccc2)	Training	2.000
172	139-33-3	O=CCN(CC(=O)O)CCN(CC=O)CC(=O)O	Training	3.699
173	2784-94-3	O=[N+]([O-])c1cc(ccc1(NC))N(CCO)CCO	Training	2.796
174	33229-34-4	O=[N+]([O-])c1cc(ccc1(NCCO))N(CCO)CCO	Training	2.792
