id	CAS	SMILES	Status	Exp value [log(uM)]
102	330-55-2	OC(=Nc1ccc(c(c1)Cl)Cl)N(OC)C	Training	1.553
103	121-75-5	O=C(OCC)CC(C(=O)OCC)SP(OC)(OC)=S	Training	1.371
104	28434-00-6	O=C(OC1C(=C(C(=O)C1)CC=C)C)C2C(C=C(C)C)C2(C)(C)	Training	0.023
105	104206-82-8	O=C(c1ccc(cc1[N+](=O)[O-])S(=O)(=O)C)C2C(=O)CCCC2(=O)	Training	1.673
106	6734-80-1	N(C(=S)S)C	Test	1.335
107	950-37-8	O=C1N(N=C(OC)S1)CSP(OC)(OC)=S	Training	1.662
108	16752-77-5	O=C(ON=C(C)SC)NC	Training	1.617
109	72-43-5	O(c1ccc(cc1)C(c2ccc(OC)cc2)C(Cl)(Cl)Cl)C	Training	0.421
110	556-61-6	C(=NC)=S	Training	0.472
111	6317-18-6	N#CSCSC#N	Training	0.592
112	51218-45-2	O=C(N(c1c(cccc1CC)C)C(C)COC)CCl	Training	1.528
113	7786-34-7	O=C(OC)C=C(OP(=O)(OC)OC)C	Training	1.747
114	113-48-4	O=C2N(C(=O)C3C1C=CC(C1)C23)CC(CC)CCCC	Training	0.941
115	88671-89-0	N#CC(c1ccc(cc1)Cl)(Cn2ncnc2)CCCC	Training	1.6
116	300-76-5	O=P(OC)(OC)OC(C(Cl)(Cl)Br)Br	Test	1.063
117	50-65-7	O=C(Nc1ccc(cc1Cl)[N+](=O)[O-])c2cc(ccc2(O))Cl	Test	-0.005
118	116714-46-6	O=C(NC(=O)c1c(F)cccc1(F))Nc2ccc(OC(F)(F)C(F)OC(F)(F)F)c(c2)Cl	Training	1.901
119	19044-88-3	O=[N+]([O-])c1cc(cc(c1N(CCC)CCC)[N+](=O)[O-])S(=O)(=O)N	Training	1.067
120	19666-30-9	O=C1OC(=NN1c2cc(OC(C)C)c(cc2Cl)Cl)C(C)(C)C	Training	0.709
121	42874-03-3	O=[N+]([O-])c2ccc(Oc1ccc(cc1Cl)C(F)(F)F)cc2(OCC)	Test	1.079
122	76738-62-0	OC(C(n1ncnc1)Cc2ccc(cc2)Cl)C(C)(C)C	Training	1.429
