No	CAS	SMILES	Set	EXP (Log L/Kg)	yc_weighted (pred pesata)
239	120-36-5	O=C(O)C(Oc1ccc(cc1Cl)Cl)C	Training	2.23	1.822
240	120-47-8	O=C(OCC)c1ccc(O)cc1	Training	2.21	2.123
241	120-82-1	c1cc(c(cc1Cl)Cl)Cl	Training	3.1	3.379
242	120-83-2	Oc1ccc(cc1Cl)Cl	Training	2.81	2.949
243	121-69-7	c1ccc(cc1)N(C)C	Training	2.26	1.695
244	121-75-5	O=C(OCC)CC(C(=O)OCC)SP(OC)(OC)=S	Training	2.36	2.528
245	121-81-3	O=C(N)c1cc(cc(c1)[N+](=O)[O-])[N+](=O)[O-]	Training	2.31	1.811
246	122-14-5	O=[N+]([O-])c1ccc(OP(OC)(OC)=S)cc1C	Training	2.63	2.987
247	122-28-1	O=C(Nc1cccc(c1)[N+](=O)[O-])C	Training	1.94	1.778
248	122-34-9	n1c(nc(nc1NCC)Cl)NCC	Training	2.1	2.36
249	122-39-4	c1ccc(cc1)Nc2ccccc2	Training	2.78	3.31
250	122-42-9	O=C(OC(C)C)Nc1ccccc1	Training	1.83	1.905
251	122-66-7	c1ccc(cc1)NNc2ccccc2	Training	2.98	2.99
252	123-33-1	O=C1C=CC(=O)NN1	Training	0.45	1.26
253	123-66-0	O=C(OCC)CCCCC	Training	2.06	1.981
254	123-91-1	O1CCOCC1	Training	1.23	0.943
255	124-48-1	C(Cl)(Br)Br	Training	1.92	2.008
256	126-75-0	O=P(OCC)(OCC)SCCSCC	Training	1.85	2.325
257	127-18-4	C(=C(Cl)Cl)(Cl)Cl	Training	2.4	1.72
258	127-20-8	O=C(O)C(C)(Cl)Cl	Training	0	0.319
259	128-66-5	O=C3c1ccccc1c4ccc5C(=O)c2ccccc2c6ccc3c4c56	Training	4.28	5.03
260	129-00-0	c1cc2ccc3cccc4ccc(c1)c2c34	Training	4.9	5.01
261	131-11-3	O=C(OC)c1ccccc1(C(=O)OC)	Training	1.6	1.751
262	132-64-9	o2c1ccccc1c3ccccc23	Training	3.91	3.694
263	132-65-0	c1ccc3c(c1)c2ccccc2s3	Training	4.05	4.264
264	132-67-2	O=C(O)c3ccccc3(C(=O)Nc2cccc1ccccc12)	Training	3.34	3.402
265	133-06-2	O=C1N(C(=O)C2CC=CCC12)SC(Cl)(Cl)Cl	Training	2.3	2.956
266	133-07-3	O=C1c2ccccc2(C(=O)N1SC(Cl)(Cl)Cl)	Training	3.27	2.604
267	133-90-4	O=C(O)c1cc(cc(N)c1Cl)Cl	Training	1.48	1.862
268	134-32-7	Nc1cccc2ccccc12	Training	3.51	3.138
269	136-60-7	O=C(OCCCC)c1ccccc1	Training	2.1	1.66
270	137-26-8	C(N(C)C)(=S)SSC(N(C)C)=S	Training	2.83	2.139
271	139-40-2	n1c(nc(nc1NC(C)C)Cl)NC(C)C	Training	2.4	2.366
272	139-65-1	Nc1ccc(cc1)Sc2ccc(N)cc2	Training	2.04	2.467
273	140-56-7	O=S(=O)(O)N=Nc1ccc(cc1)N(C)C	Training	1.18	2.152
274	141-66-2	O=C(C=C(OP(=O)(OC)OC)C)N(C)C	Training	1.66	1.433
275	142-62-1	O=C(O)CCCCC	Training	1.46	1.493
276	143-08-8	OCCCCCCCCC	Training	1.89	2.344
277	143-50-0	O=C1C2(C3(C4(C1(C5(C2(C3(C(C45Cl)(Cl)Cl)Cl)Cl)Cl)Cl)Cl)Cl)Cl	Training	4.2	5.436
278	144-21-8	O=[As](O)(O)C	Training	2.78	3.63
279	145-73-3	O=C(O)C2C1OC(CC1)C2(C(=O)O)	Training	2.09	1.936
280	148-79-8	n1cscc1c2nc3ccccc3([nH]2)	Training	3.24	3.062
