Name	Standardized SMILES	SMILES (ionized)	Exp (logK)	Prediction	Set	AD evaluation	ALOGP	P_VSA_i_2	MLOGP	P_VSA_p_3	Eta_betaP	CATS2D_00_LL	C.	PCD	Ui	N.	totalcharge	CATS2D_00_PP	C.024	nCsp2	MLOGP2	GATS1i	SpMax2_Bh.p.	nBM	MATS5e	AMW	F01.C.N.	T.O..O.	J_D.Dt	SpMax_AEA.dm.
Clonazepam	O=C1C=NC(c2cc(ccc2(N1))[N+](=O)[O-])c3ccccc3Cl	[O-][N+](=O)C1=CC=C2NC(=O)C=NC(C3=CC=CC=C3Cl)C2=C1	0.753327667	0.84378502437	TS		2.933	95.471	2.575	134.62	18.5	10	46.9	2.814	3.459	9.4	0	0	7	14	6.628	1.011	3.785	16	-0.095	9.867	5	18	16.6033	3.788
Eletriptan	O=S(=O)(c1ccccc1)CCc2ccc3[nH]cc(c3(c2))CC4N(C)CCC4	C[NH+]1CCCC1CC1=CNC2=CC=C(CCS(=O)(=O)C3=CC=CC=C3)C=C12	0.753327667	1.05114178368	TS		2.878	119.036	-0.471	125.082	17	15	40.7	2.946	3.459	3.7	1	1	8	14	0.222	1.234	4.031	18	0.058	7.103	5	2	12.4868	5.246
Flupirtine	O=C(OCC)NC=2C=CC(=NCc1ccc(F)cc1)NC=2(N)	CCOC(=O)NC1=CC=C(NCC2=CC=C(F)C=C2)[NH+]=C1N	0.753327667	0.77866243731	TS		2.617	98.862	1.916	98.862	14	8	37.5	2.215	3	10	1	2	6	12	3.672	1.2	3.774	13	0.097	7.634	7	2	11.8505	3.655
Lorcainide	O=C(N(c1ccc(cc1)Cl)C2CCN(CC2)C(C)C)Cc3ccccc3	CC(C)[NH+]1CCC(CC1)N(C(=O)CC1=CC=CC=C1)C1=CC=C(Cl)C=C1	0.753327667	0.713269459863333	TS		2.796	128.899	0.567	168.048	14	16	40.7	1.585	3	3.7	1	1	9	13	0.321	1.381	3.826	13	0.004	6.888	6	0	11.551	3.811
Mirtazapine	n1cccc3c1N4CCN(C)CC4(c2ccccc2C3)	CN1CCN2C(C1)C1=CC=CC=C1CC1=C2N=CC=C1	0.753327667	0.90946183521	TS		3.095	95.038	3.115	95.038	12.5	10	43.6	2.517	2.807	7.7	0	0	6	11	9.7	1.416	3.693	12	-0.027	6.805	8	0	23.501	3.57
Sisomicin	OC1C(OCC(O)(C)C1(NC))OC3C(O)C(OC2OC(=CCC2(N))CN)C(N)CC3(N)	C[NH2+]C1C(O)C(OC2C([NH3+])CC([NH3+])C(OC3OC(C[NH3+])=CCC3[NH3+])C2O)OCC1(C)O	0.753327667	-0.13929650411	TS		-10.121	44.428	-21.426	44.428	1	4	26	0.26	1	6.8	5	5	0	2	459.066	1.518	3.704	1	-0.043	6.201	6	112	14.9278	3.727
Anidulafungin	O=C(NC1C(=O)NC(C(=O)N4CC(O)CC4(C(=O)NC(C(=O)NC(C(=O)N2CC(C)C(O)C2(C(=O)NC(O)C(O)C1))C(O)C)C(O)C(O)c3ccc(O)cc3))C(O)C)c5ccc(cc5)c6ccc(cc6)c7ccc(OCCCCC)cc7	CCCCCOC1=CC=C(C=C1)C1=CC=C(C=C1)C1=CC=C(C=C1)C(=O)NC1CC(O)C(O)NC(=O)C2C(O)C(C)CN2C(=O)C(NC(=O)C(NC(=O)C2CC(O)CN2C(=O)C(NC1=O)C(C)O)C(O)C(O)C1=CC=C(O)C=C1)C(C)O	0.720159303	0.89691011987	TS		0.257	265.687	-2.453	265.687	35.5	32	37.4	3.701	4.322	4.5	0	0	16	31	6.019	1.323	3.877	31	0.147	7.357	16	1481	24.8203	3.997
Desipramine	c1ccc3c(c1)N(c2ccccc2CC3)CCCNC	C[NH2+]CCCN1C2=CC=CC=C2CCC2=CC=CC=C12	0.720159303	0.84462437732	TS		2.621	107.906	-0.04	107.906	12.5	13	41.9	2.448	2.807	4.7	1	1	8	12	0.002	1.27	3.748	12	-0.064	6.219	5	0	19.0069	3.427
Disopyramide	O=C(N)C(c1ncccc1)(c2ccccc2)CCN(C(C)C)C(C)C	CC(C)[NH+](CCC(C(N)=O)(C1=CC=CC=C1)C1=NC=CC=C1)C(C)C	0.720159303	0.75580425171	TS		1.857	135.445	-1.211	135.445	13.5	15	38.2	1.703	3	5.5	1	2	8	12	1.466	1.352	3.711	13	0.056	6.192	6	0	12.5929	4.29
Fentanyl	O=C(N(c1ccccc1)C3CCN(CCc2ccccc2)CC3)CC	CCC(=O)N(C1CC[NH+](CCC2=CC=CC=C2)CC1)C1=CC=CC=C1	0.720159303	0.752316973403333	TS		2.278	130.69	0.084	130.69	14	16	40.7	1.782	3	3.7	1	1	10	13	0.007	1.383	3.838	13	-0.069	6.251	6	0	11.1502	3.786
Perindoprilat	O=C(O)C(NC(C(=O)N1C(C(=O)O)CC2CCCCC12)C)CCC	CCCC([NH2+]C(C)C(=O)N1C2CCCCC2CC1C([O-])=O)C([O-])=O	0.720159303	0.30005287672	TS		-0.454	53.526	-2.487	53.526	4.5	10	33.3	0.205	2	3.9	-1	1	0	3	6.186	1.584	3.659	3	-0.04	6.656	5	62	15.2028	3.981
Remoxipride	O=C(NCC1N(CC)CCC1)c2c(OC)ccc(c2(OC))Br	CC[NH+]1CCCC1CNC(=O)C1=C(OC)C=CC(Br)=C1OC	0.720159303	0.51992216063	TS		1.17	128.316	-1.479	128.316	8.5	7	34.8	1.256	2.322	4.3	1	1	2	7	2.188	1.567	3.768	7	0.09	8.094	5	12	13.1786	3.677
Azelastine	O=C2c1ccccc1C(=NN2C3CCN(C)CCC3)Cc4ccc(cc4)Cl	C[NH+]1CCCC(CC1)N1N=C(CC2=CC=C(Cl)C=C2)C2=CC=CC=C2C1=O	0.688629171	0.82672642673	TS		2.533	119.075	0.493	158.223	15	16	42.3	2.38	3.17	5.8	1	1	8	14	0.243	1.239	3.828	14	-0.073	7.364	6	0	15.3988	3.773
Betamipron	O=C(O)CCNC(=O)c1ccccc1	[O-]C(=O)CCNC(=O)C1=CC=CC=C1	0.688629171	0.3835386893	TS		0.065	66.626	1.331	66.626	9	7	41.7	1.286	2.585	4.2	-1	0	5	8	1.77	1.219	3.459	8	-0.301	8.009	2	14	10.0752	3.603
Bortezomib	O=C(NC(C(=O)NC(B(O)O)CC(C)C)Cc1ccccc1)c2nccnc2	CC(C)CC(NC(=O)C(CC1=CC=CC=C1)NC(=O)C1=NC=CN=C1)B(O)O	0.688629171	0.6547637621	TS		1.919	112.595	-0.448	112.595	15	11	35.8	1.642	3.17	7.5	0	0	5	12	0.201	1.403	3.703	14	0.154	7.251	8	33	12.9769	3.773
Butorphanol	Oc1ccc3c(c1)C45(CCN(CC2CCC2)C(C3)C5(O)(CCCC4))	OC1=CC=C2CC3[NH+](CC4CCC4)CCC4(CCCCC34O)C2=C1	0.688629171	0.67076912948	TS		2.261	61.822	-0.202	61.822	6.5	16	38.9	1.205	2	1.9	1	1	3	6	0.041	1.204	3.79	6	-0.032	6.084	3	6	19.0867	4.179
Nitrofurantoin	O=C2NC(O)=CN2(N=Cc1oc(cc1)[N+](=O)[O-])	[O-][N+](=O)C1=CC=C(O1)C=NN1CC(=O)NC1=O	0.688629171	0.15270188249	TS		0.319	49.555	0.096	49.555	11.5	2	34.8	1.859	3.087	17.4	0	0	2	7	0.009	1.418	3.519	10	-0.263	10.356	6	63	10.2219	3.845
Alprenolol	OC(COc1ccccc1CC=C)CNC(C)C	CC(C)[NH2+]CC(O)COC1=CC=CC=C1CC=C	0.658541347	0.48519720604	TS		1.409	98.46	-1.314	98.46	7.5	10	35.7	1.327	2.322	2.4	1	1	4	8	1.726	1.368	3.597	7	-0.021	5.962	2	3	12.824	3.169
Cefazolin	O=C(O)C4C(=CSc1nnc(C)s1)CSC3N4(C(=O)C3(NC(=O)Cn2nnnc2))	CC1=NN=C(SC=C2CSC3C(NC(=O)CN4C=NN=N4)C(=O)N3C2C([O-])=O)S1	0.658541347	0.44991435334	TS		-1.503	48.53	1.068	144.247	14	5	33.3	1.855	3.322	19	-1	0	0	8	1.141	1.063	3.761	14	0.034	10.799	10	33	12.2563	4.63
Diltiazem	O=C(OC3C(=O)N(c1ccccc1SC3(c2ccc(OC)cc2))CCN(C)C)C	COC1=CC=C(C=C1)C1SC2=CC=CC=C2N(CC[NH+](C)C)C(=O)C1OC(C)=O	0.658541347	0.80138183713	TS		1.64	141.155	-1.013	173.374	16.5	11	39.3	2.246	3.17	3.6	1	1	8	14	1.026	1.386	3.803	14	0.061	7.421	6	34	18.1317	4.667
Ethambutol	OCC(NCCNC(CO)CC)CC	CCC(CO)NCC[NH2+]C(CC)CO	-0.658541347	-0.89378880025	TS		-1.12	26.931	-3.314	26.931	0	4	25.6	0	0	5.1	1	1	0	0	10.982	1.861	3.537	0	-0.074	5.266	4	9	13	2.685
Alosetron	O=C3c2c1ccccc1n(c2CCN3Cc4nc[nH]c4C)C	CN1C2=C(C3=CC=CC=C13)C(=O)N(CC1=C(C)N=CN1)CC2	0.658541347	0.66877033438	TS		1.868	91.369	1.845	91.369	13.5	8	42.5	2.911	3.248	10	0	0	4	12	3.405	1.462	3.755	16	0.019	7.36	10	0	16.3133	3.79
Cefodizime	O=C(O)C4=C(CSc1nc(c(CC(=O)O)s1)C)CSC3N4(C(=O)C3(NC(=O)C(=NOC)C2=CSC(=N)N2))	CON=C(C(=O)NC1C2SCC(CSC3=NC(C)=C(CC([O-])=O)S3)=C(N2C1=O)C([O-])=O)C1=CSC(N)=N1	0.658541347	0.60096626085	TS		-0.436	70.602	0.566	197.596	18	7	36.4	1.9	3.585	10.9	-2	1	0	13	0.32	1.118	3.853	16	-0.019	10.595	11	198	13.6497	4.621
Bufuralol	OC(c2oc1c(cccc1CC)c2)CNC(C)(C)C	CCC1=C2OC(=CC2=CC=C1)C(O)C[NH2+]C(C)(C)C	0.629731418	0.62871713896	TS		2.095	93.89	-1.332	93.89	8	11	37.2	2.074	2.585	2.3	1	1	4	8	1.775	1.284	3.654	10	-0.045	6.103	2	3	13.3871	3.315
Ceforanide	O=C(O)C4=C(CSc1nnnn1CC(=O)O)CSC3N4(C(=O)C3(NC(=O)Cc2ccccc2CN))	[NH3+]CC1=CC=CC=C1CC(=O)NC1C2SCC(CSC3=NN=NN3CC([O-])=O)=C(N2C1=O)C([O-])=O	0.629731418	0.5751219669	TS		-2.498	82.296	-2.03	146.735	18	10	36.4	2.263	3.524	12.7	-1	1	4	13	4.122	1.075	3.86	16	0.115	9.429	9	125	14.1285	4.621
Diphenhydramine	O(CCN(C)C)C(c1ccccc1)c2ccccc2	C[NH+](C)CCOC(C1=CC=CC=C1)C1=CC=CC=C1	0.629731418	0.80447023669	TS		1.824	124.624	-0.422	124.624	12	12	41.5	1.891	2.807	2.4	1	1	10	12	0.178	1.325	3.753	12	-0.25	6.254	3	0	10.94	3.502
Acetylmethadol, L-	O=C(OC(CC)C(c1ccccc1)(c2ccccc2)CC(N(C)C)C)C	CCC(OC(C)=O)C(CC(C)[NH+](C)C)(C1=CC=CC=C1)C1=CC=CC=C1	0.602059991	0.79287671028	TS		3.178	156.662	0.829	156.662	13.5	18	39.7	1.672	3	1.7	1	1	10	13	0.687	1.348	3.753	13	0.047	6.113	3	2	12.9801	4.058
Citalopram	N#Cc1ccc3c(c1)COC3(c2ccc(F)cc2)CCCN(C)C	C[NH+](C)CCCC1(OCC2=CC(=CC=C12)C#N)C1=CC=C(F)C=C1	0.602059991	0.72740997255	TS		2.161	133.359	-0.384	133.359	15	13	43.5	2.243	3.17	4.3	1	1	7	12	0.147	1.093	3.78	13	0.028	7.075	4	0	13.5533	4.154
Doxepin	O3c1ccccc1C(=CCCN(C)C)c2ccccc2C3	C[NH+](C)CCC=C1C2=CC=CC=C2COC2=CC=CC=C12	0.602059991	0.776157883299999	TS		2.348	129.297	-0.156	129.297	14	14	44.2	2.793	3	2.3	1	1	8	14	0.024	1.22	3.743	13	-0.063	6.521	3	0	18.8009	3.328
Rifampin	O=C1N=C4C(O)=C5C(O)=C(C=2OC(OC=CC(OC)C(C)C(OC(=O)C)C(C)C(O)C(C)C(O)C(C=CC=C1C)C)(C(=O)C=2C5(=C(O)C4(=CNN3CCN(C)CC3)))C)C	COC1C=COC2(C)OC3=C(C2=O)C2=C(O)C(=CNN4CCN(C)CC4)C(=NC(=O)C(C)=CC=CC(C)C(O)C(C)C(O)C(C)C(OC(C)=O)C1C)C([O-])=C2C(O)=C3C	0.602059991	0.61528901407	TS		1.454	203.25	0.903	203.25	20.5	22	37.1	4.463	3.807	3.4	-1	0	0	20	0.815	1.393	3.819	16	0.098	7.087	8	552	33.5393	4.282
Triamcinolone Acetonide	O=C5C=CC3(C(=CCC2C4CC1OC(OC1(C(=O)CO)C4(C)(CC(O)C23(F)))(C)C)C5)(C)	CC1(C)OC2CC3C4CC=C5CC(=O)C=CC5(C)C4(F)C(O)CC3(C)C2(O1)C(=O)CO	0.602059991	0.51547444093	TS		0.669	87.32	1.911	87.32	5.5	16	38.7	0.889	2.322	0	0	0	0	6	3.652	1.093	3.826	4	-0.073	7.009	0	95	24.6497	4.474
Methadone	O=C(CC)C(c1ccccc1)(c2ccccc2)CC(N(C)C)C	CCC(=O)C(CC(C)[NH+](C)C)(C1=CC=CC=C1)C1=CC=CC=C1	0.575407797	0.6587084315	TS		2.759	145.779	0.419	145.779	13.5	17	41.2	1.769	3	2	1	1	10	13	0.176	1.275	3.753	13	0.101	6.088	3	0	12.1821	4.323
Cephalothin	O=C(O)C3C(=COC(=O)C)CSC2N3(C(=O)C2(NC(=O)Cc1cccs1))	CC(=O)OC=C1CSC2C(NC(=O)CC3=CC=CS3)C(=O)N2C1C([O-])=O	0.549671922	0.30067886734	TS		-0.325	78.254	1.046	141.752	11	7	39	1.128	3.087	4.9	-1	0	2	10	1.093	1.195	3.847	10	0.143	9.646	5	93	13.0194	4.623
Dihydroquinidine	OC(c2ccnc1ccc(OC)cc12)C3N4CCC(C3)C(C4)CC	CCC1C[NH+]2CCC1CC2C(O)C1=CC=NC2=CC=C(OC)C=C12	0.549671922	0.47994200535	TS		1.564	91.622	-1.409	91.622	10.5	12	39.2	2.319	2.7	3.9	1	1	4	9	1.986	1.343	3.872	11	0.08	6.421	5	6	14.4311	3.482
Methylprednisolone	O=C4C=CC2(C(=C(C)CC1C3CCC(O)(C(=O)CO)C3(C)(CC(O)C12))C4)(C)	CC1=C2CC(=O)C=CC2(C)C2C(O)CC3(C)C(CCC3(O)C(=O)CO)C2C1	0.524762889	0.49900470649	TS		1.219	74.739	1.747	74.739	5.5	17	38.6	0.916	2.322	0	0	0	0	6	3.051	1.106	3.817	4	-0.018	6.571	0	68	22.4028	4.305
Chlorthalidone	O=C2NC(O)(c1ccc(c(c1)S(=O)(=O)N)Cl)c3ccccc23	NS(=O)(=O)C1=CC(=CC=C1Cl)C1(O)NC(=O)C2=CC=CC=C12	0.500602351	0.71411539146	TS		1.506	85.646	1.638	130.603	16.5	11	42.4	2.532	3.322	6.1	0	1	7	13	2.681	1.003	3.905	15	-0.163	10.266	2	34	14.2022	4.694
Propoxyphene	O=C(OC(c1ccccc1)(Cc2ccccc2)C(C)CN(C)C)CC	CCC(=O)OC(CC1=CC=CC=C1)(C(C)C[NH+](C)C)C1=CC=CC=C1	0.500602351	0.70052341808	TS		3.15	149.943	0.614	149.943	13.5	17	40	1.703	3	1.8	1	1	10	13	0.377	1.342	3.799	13	-0.046	6.191	3	2	12.5237	4.048
Trovafloxacin	O=C(O)C1=CN(c2nc(c(F)cc2(C1(=O)))N3CC4C(N)C4(C3))c5ccc(F)cc5(F)	[NH3+]C1C2CN(CC12)C1=C(F)C=C2C(=O)C(=CN(C3=CC=C(F)C=C3F)C2=N1)C([O-])=O	0.500602351	0.58376451388	TS		0.505	104.159	-0.471	104.159	17.5	8	44.4	2.605	3.322	8.9	0	1	4	15	0.222	0.984	3.881	15	0.004	9.253	9	10	14.1835	3.797
Artesunate	O=C(O)CCC(=O)OC3OC1OC2(OOC14(C(CC2)C(C)CCC4(C3(C))))(C)	CC1CCC2C(C)C(OC(=O)CCC([O-])=O)OC3OC4(C)CCC1C23OO4	0.477121255	0.57658384824	TS		2.284	56.308	2.639	56.308	3	13	35.2	0.114	1.585	0	-1	0	0	2	6.965	1.436	3.547	2	0.012	7.101	0	154	19.8077	4.095
Cefamandole	O=C(O)C4C(=CSc1nnnn1C)CSC3N4(C(=O)C3(NC(=O)C(O)c2ccccc2))	CN1N=NN=C1SC=C1CSC2C(NC(=O)C(O)C3=CC=CC=C3)C(=O)N2C1C([O-])=O	0.477121255	0.56534414808	TS		-0.272	87.707	1.884	152.146	16	9	37.5	2.073	3.392	12.5	-1	0	5	12	3.549	1.065	3.836	15	-0.048	9.616	8	60	12.9093	4.631
Dapsone	O=S(=O)(c1ccc(N)cc1)c2ccc(N)cc2	NC1=CC=C(C=C1)S(=O)(=O)C1=CC=C(N)C=C1	0.477121255	0.673755011695	TS		1.439	84.425	2.061	90.471	16	8	41.4	2.167	3.17	6.9	0	2	8	12	4.249	0.889	3.762	14	-0.18	8.563	2	2	10.7984	5.351
Phenethicillin	O=C(O)C3N2C(=O)C(NC(=O)C(Oc1ccccc1)C)C2SC3(C)(C)	CC(OC1=CC=CC=C1)C(=O)NC1C2SC(C)(C)C(N2C1=O)C([O-])=O	0.477121255	0.38394909699	TS		1.026	95.224	1.573	127.444	11	9	38.6	1.044	2.807	4.5	-1	0	5	9	2.474	1.312	3.811	9	0.003	8.26	5	60	12.3013	4.952
Prednisolone	O=C1C=CC3(C(=C1)CCC2C4CCC(O)(C(=O)CO)C4(C)(CC(O)C23))(C)	CC12CC(O)C3C(CCC4=CC(=O)C=CC34C)C1CCC2(O)C(=O)CO	0.477121255	0.47214292707	TS		1.194	72.204	1.528	72.204	6	16	38.9	0.839	2.322	0	0	0	0	6	2.334	1.087	3.814	4	-0.032	6.676	0	68	21.9068	4.304
Tacrine	N=C1c3ccccc3(NC2=C1CCCC2)	NC1=C2C=CC=CC2=[NH+]C2=C1CCCC2	0.477121255	0.54782164598	TS		2.686	61.459	2.209	61.459	9.5	10	43.3	2.411	2.7	6.7	1	2	4	9	4.878	0.995	3.65	11	-0.322	6.643	3	0	18.2736	3.333
Epirubicin	O=C(CO)C2(O)(C=C3C(O)=C4C(O)=C5C=CC=C(OC)C5(=C(O)C4(=C(O)C3(=C(OC1OC(C)C(O)C(N)C1)C2))))	COC1=CC=CC2=C(O)C3=C(O)C4=CC(O)(CC(OC5CC([NH3+])C(O)C(C)O5)=C4C(O)=C3C([O-])=C12)C(=O)CO	0.477121255	0.625413658	TS		-1.65	97.642	-5.085	97.642	19.5	13	39.7	4.464	3.585	1.5	0	1	3	17	25.86	1.014	3.91	19	0.045	7.994	1	384	22.6208	4.212
Encainide	O=C(Nc1ccccc1CCC2N(C)CCCC2)c3ccc(OC)cc3	COC1=CC=C(C=C1)C(=O)NC1=CC=CC=C1CCC1CCCC[NH+]1C	0.454258372	0.7377807577	TS		2.835	128.944	-0.188	128.944	14.5	15	40	2.323	3	3.6	1	1	8	13	0.035	1.344	3.822	13	0.041	6.428	5	6	12.8319	3.579
Methohexital	O=C1NC(=O)C(C(=O)N1C)(CC=C)C(C#CCC)C	CCC#CC(C)C1(CC=C)C(=O)NC(=O)N(C)C1=O	0.431959096	0.50384624397	TS		2.314	104.105	1.397	104.105	7.5	10	37.8	0.729	2.807	5.4	0	0	0	5	1.951	1.516	3.497	5	-0.174	7.09	5	12	14.2431	4.415
Ondansetron	O=C3c2c1ccccc1n(c2CCC3Cn4ccnc4C)C	CN1C2=C(C3=CC=CC=C13)C(=O)C(CN1C=C[NH+]=C1C)CC2	0.431959096	0.68015740867	TS		2.531	98.517	2.058	98.517	12.5	10	42.9	2.911	3.248	7.1	1	1	4	12	4.237	1.388	3.796	16	-0.02	7.01	8	0	16.3133	3.806
Prednisone	O=C1C=CC4(C(=C1)CCC3C4(C(=O)CC2(C)(C3(CCC2(O)(C(=O)CO)))))(C)	CC12CC(=O)C3C(CCC4=CC(=O)C=CC34C)C1CCC2(O)C(=O)CO	0.431959096	0.41693095401	TS		1.011	77.338	1.442	77.338	7.5	16	40.4	0.903	2.585	0	0	0	0	7	2.079	1.074	3.813	5	-0.04	6.894	0	68	21.9068	4.321
Guanfacine	O=C(NC(=N)N)Cc1c(cccc1Cl)Cl	NC(=[NH2+])NC(=O)CC1=C(Cl)C=CC=C1Cl	0.410174465	0.20239984209	TS		0.317	47.754	2.296	126.051	9	7	36	1.389	2.585	12	1	2	3	8	5.272	1.102	3.383	8	0.074	9.885	4	0	11.6443	3.668
Alprazolam	n4nc1n(c3ccc(cc3(C(=NC1)c2ccccc2))Cl)c4C	CC1=NN=C2CN=C(C3=CC=CC=C3)C3=CC(Cl)=CC=C3N12	0.388860351	0.64965748572	TS		3.726	106.782	4.739	145.931	17.5	12	48.6	3.545	3.392	11.4	0	0	8	15	22.461	1.14	3.787	18	0.091	8.823	7	0	17.9556	3.469
Vorinostat	O=C(Nc1ccccc1)CCCCCCC(O)=NO	ON=C([O-])CCCCCCC(=O)NC1=CC=CC=C1	0.388860351	0.41959351159	TS		2.004	74.388	2.463	74.388	9.5	11	36.8	1.202	2.585	5.3	-1	0	5	8	6.065	1.259	3.653	8	-0.157	6.93	3	22	11.9718	3.762
Fenoximone	O=C2NC(C(=O)c1ccc(cc1)SC)=C(N2)C	CSC1=CC=C(C=C1)C(=O)C1=C(C)NC(=O)N1	0.367976785	0.24107530691	TS		1.281	73.58	1.827	105.799	11	7	41.4	1.552	2.807	6.9	0	0	4	10	3.336	1.088	3.633	9	-0.111	8.563	4	5	10.7157	4.327
Remifentanil	O=C(OC)CCN2CCC(C(=O)OC)(N(c1ccccc1)C(=O)CC)CC2	CCC(=O)N(C1=CC=CC=C1)C1(CC[NH+](CCC(=O)OC)CC1)C(=O)OC	0.367976785	0.27726416936	TS		0.105	116.272	-1.781	116.272	11	10	35.7	0.993	2.807	3.6	1	1	5	9	3.171	1.649	3.732	9	0.027	6.741	6	70	13.2744	4.232
Mepivacaine	O=C(Nc1c(cccc1C)C)C2N(C)CCCC2	C[NH+]1CCCCC1C(=O)NC1=C(C)C=CC=C1C	0.367976785	0.21302187372	TS		1.527	78.017	-1.3	78.017	8	10	36.6	1.206	2.322	4.9	1	1	3	7	1.689	1.47	3.743	7	-0.136	6.034	5	0	12.0147	3.781
Adinazolam	n1nc(n2c4ccc(cc4(C(=NCc12)c3ccccc3))Cl)CN(C)C	CN(C)CC1=NN=C2CN=C(C3=CC=CC=C3)C3=CC(Cl)=CC=C3N12	0.347487397	0.64040043484	TS		3.946	116.855	4.412	156.004	17.5	11	44.2	3.497	3.392	11.6	0	0	8	15	19.461	1.346	3.788	18	-0.106	8.183	10	0	18.1338	3.485
Cefixime	O=C(O)C2=C(C=C)CSC3C(=NC(=O)C(NOCC(=O)O)C1=CSC(=N)N1)C(=O)N23	NC1=NC(=CS1)C(NOCC([O-])=O)C(=O)N=C1C2SCC(C=C)=C(N2C1=O)C([O-])=O	0.347487397	0.46733454108	TS		-1.692	73.18	0.28	136.677	15	5	37.2	1.734	3.392	11.6	-2	1	0	12	0.078	1.187	3.82	12	-0.101	10.5	9	158	13.6052	4.653
Dexamethasone	O=C4C=CC2(C(=CCC1C3CC(C)C(O)(C(=O)CO)C3(C)(CC(O)C12(F)))C4)(C)	CC1CC2C3CC=C4CC(=O)C=CC4(C)C3(F)C(O)CC2(C)C1(O)C(=O)CO	0.327358934	0.42718399067	TS		1.22	78.495	1.855	78.495	5.5	16	38.6	0.909	2.322	0	0	0	0	6	3.439	1.018	3.822	4	-0.072	6.886	0	68	22.9912	4.396
Quinaprilat	O=C(O)C(NC(C(=O)N2Cc1ccccc1CC2(C(=O)O))C)CCc3ccccc3	CC([NH2+]C(CCC1=CC=CC=C1)C([O-])=O)C(=O)N1CC2=CC=CC=C2CC1C([O-])=O	0.327358934	0.47625414148	TS		0.47	131.512	-1.625	131.512	16.5	16	41.8	1.968	3.322	3.6	-1	1	9	15	2.64	1.257	3.866	15	0.003	7.445	5	62	14.535	3.954
Nevirapine	O=C2Nc1c(nccc1C)N(c3ncccc23)C4CC4	CC1=CC=NC2=C1NC(=O)C1=CC=CN=C1N2C1CC1	0.327358934	0.46497737956	TS		2.294	78.906	2.165	78.906	14.5	8	44.1	2.537	3	11.8	0	0	3	11	4.686	1.369	3.697	13	-0.196	7.833	9	0	18.4877	3.691
Amantadine	NC23(CC1CC(CC(C1)C2)C3)	[NH3+]C12CC3CC(CC(C3)C1)C2	0.307560863	-0.06952370912	TS		0.491	15.207	-1.182	15.207	0	9	34.5	0	0	3.4	1	1	0	0	1.396	1.128	3.188	0	-0.26	5.251	1	0	13.2043	3.459
Lidocaine	O=C(Nc1c(cccc1C)C)CN(CC)CC	CC[NH+](CC)CC(=O)NC1=C(C)C=CC=C1C	0.307560863	0.16161714422	TS		1.279	83.879	-1.164	83.879	8	9	35	1.26	2.322	5	1	1	3	7	1.354	1.572	3.6	7	-0.012	5.885	5	0	12.419	3.634
Chloramphenicol	O=C(NC(CO)C(O)c1ccc(cc1)[N+](=O)[O-])C(Cl)Cl	OCC(NC(=O)C(Cl)Cl)C(O)C1=CC=C(C=C1)[N+]([O-])=O	0.288065018	0.20190509452	TS		1.02	48.552	1.228	126.849	10.5	7	34.4	1.38	2.807	6.3	0	0	4	7	1.508	1.195	3.52	9	-0.066	10.098	3	68	12.9517	3.836
Sch34343	O=C(O)C2=C(SCCOC(=O)N)SC1N2(C(=O)C1(C(O)C))	CC(O)C1C2SC(SCCOC(N)=O)=C(N2C1=O)C([O-])=O	0.268845312	-0.01349045799	TS		-0.693	35.256	-0.434	99.695	6	4	32.4	0.609	2.322	5.9	-1	1	0	5	0.188	1.19	3.499	4	-0.079	9.806	4	102	12.9286	5.061
Granisetron	O=C(NC2CC1N(C)C(CCC1)C2)c3nn(c4ccccc34)C	CN1N=C(C(=O)NC2CC3CCCC(C2)[NH+]3C)C2=CC=CC=C12	0.268845312	0.15604919535	TS		0.841	79.549	-1.439	79.549	9.5	10	37.5	2.012	2.807	8.3	1	1	4	8	2.07	1.414	3.864	11	-0.054	6.531	8	0	13.8018	3.623
Phencyclidine	c1ccc(cc1)C3(N2CCCCC2)(CCCCC3)	C1CC[NH+](CC1)C1(CCCCC1)C1=CC=CC=C1	0.268845312	0.45869090879	TS		2.975	75.054	0.326	75.054	6	14	38.6	0.942	2	2.3	1	1	5	6	0.106	1.331	3.694	6	-0.081	5.555	3	0	11.0978	3.901
Chlormethiazole	n1csc(c1C)CCCl	CC1=C(CCCl)SC=N1	0.249877473	-0.06280587963	TS		1.493	25.545	1.296	95.971	4	4	35.3	0.956	1.807	5.9	0	0	0	3	1.679	1.187	3.223	5	0.343	9.51	2	0	8.1303	3.036
Indinavir	O=C(NC2c1ccccc1CC2(O))C(Cc3ccccc3)CC(O)CN5CCN(Cc4cnccc4)CC5(C(=O)NC(C)(C)C)	CC(C)(C)NC(=O)C1CN(CC2=CN=CC=C2)CCN1CC(O)CC(CC1=CC=CC=C1)C(=O)NC1C(O)CC2=CC=CC=C12	0.249877473	0.80779879161	TS		3.189	189.093	1.725	189.093	21	22	39.1	1.876	3.585	5.4	0	0	11	19	2.975	1.385	3.876	20	-0.02	6.673	12	45	13.7261	3.818
Mexiletine	O(c1c(cccc1C)C)CC(N)C	CC([NH3+])COC1=C(C)C=CC=C1C	0.249877473	-0.00383760196	TS		1.33	71.111	-1.46	71.111	6.5	8	35.5	1.233	2	3.2	1	1	3	6	2.132	1.25	3.485	6	-0.072	5.816	1	0	10.8363	3.251
