Name	Standardized SMILES	SMILES (ionized)	Exp (logK)	Prediction	Set	AD evaluation	ALOGP	P_VSA_i_2	MLOGP	P_VSA_p_3	Eta_betaP	CATS2D_00_LL	C.	PCD	Ui	N.	totalcharge	CATS2D_00_PP	C.024	nCsp2	MLOGP2	GATS1i	SpMax2_Bh.p.	nBM	MATS5e	AMW	F01.C.N.	T.O..O.	J_D.Dt	SpMax_AEA.dm.
Montelukast	O=C(O)CC1(CC1)CSC(c4cccc(C=Cc2nc3cc(ccc3(cc2))Cl)c4)CCc5ccccc5C(O)(C)C	CC(C)(O)C1=CC=CC=C1CCC(SCC1(CC([O-])=O)CC1)C1=CC=CC(C=CC2=CC=C3C=CC(Cl)=CC3=N2)=C1	2.698100546	2.44640324282	TS		7.581	203.798	5.658	275.166	25	30	46.1	4.957	3.858	1.3	-1	0	13	24	32.011	0.986	3.955	25	-0.113	7.7	2	26	13.1674	4.507
Hydroxystaurosporine, 7-	O=C1NC(O)c8c1c3c2ccccc2n6c3c5c8(c4ccccc4n5C7(OC6CC(NC)C7(OC))(C))	C[NH2+]C1CC2OC(C)(C1OC)N1C3=C(C=CC=C3)C3=C1C1=C(C4=CC=CC=C4N21)C1=C3C(O)NC1=O	2.656620819	2.31182740059	TS		2.249	136.393	-1.295	136.393	19.5	16	44.4	5.329	3.807	6.3	1	1	8	19	1.676	1.237	3.953	25	-0.072	7.676	10	38	32.7211	4.034
Micafungin	O=C(NC1C(=O)NC(C(=O)N4CC(O)CC4(C(=O)NC(C(=O)NC(C(=O)N2CC(C)C(O)C2(C(=O)NC(O)C(O)C1))C(O)CC(=O)N)C(O)C(O)c3ccc(O)c(OS(=O)(=O)O)c3))C(O)C)c5ccc(cc5)c6noc(c6)c7ccc(OCCCCC)cc7	CCCCCOC1=CC=C(C=C1)C1=CC(=NO1)C1=CC=C(C=C1)C(=O)NC1CC(O)C(O)NC(=O)C2C(O)C(C)CN2C(=O)C(NC(=O)C(NC(=O)C2CC(O)CN2C(=O)C(NC1=O)C(C)O)C(O)C(O)C1=CC=C(O)C(OS([O-])(=O)=O)=C1)C(O)CC(N)=O	2.637272136	1.89903092919	TS		-3.153	233.273	-4.204	242.241	38.5	26	35.2	3.736	4.492	5.7	-1	1	12	29	17.677	1.388	3.9	33	0.087	7.984	18	3085	26.3613	4.461
Nisoldipine	O=C(OC)C2=C(N=C(C)C(C(=O)OCC(C)C)C2(c1ccccc1[N+](=O)[O-]))C	COC(=O)C1=C(C)N=C(C)C(C1C1=CC=CC=C1[N+]([O-])=O)C(=O)OCC(C)C	2.521573904	2.1460167332	TS		2.873	117.705	2.767	117.705	15	13	38.5	2.233	3.322	3.8	0	0	4	11	7.658	1.316	3.702	12	-0.246	7.47	3	86	17.1183	4.023
Suramin	O=C(Nc1cccc(c1)C(=O)Nc2cc(ccc2C)C(=O)Nc3ccc(c4cc(cc(c34)S(=O)(=O)O)S(=O)(=O)O)S(=O)(=O)O)Nc5cccc(c5)C(=O)Nc6cc(ccc6C)C(=O)Nc7ccc(c8cc(cc(c78)S(=O)(=O)O)S(=O)(=O)O)S(=O)(=O)O	CC1=CC=C(C=C1NC(=O)C1=CC(NC(=O)NC2=CC=CC(=C2)C(=O)NC2=CC(=CC=C2C)C(=O)NC2=CC=C(C3=CC(=CC(=C23)S([O-])(=O)=O)S([O-])(=O)=O)S([O-])(=O)=O)=CC=C1)C(=O)NC1=CC=C(C2=CC(=CC(=C12)S([O-])(=O)=O)S([O-])(=O)=O)S([O-])(=O)=O	2.521573904	2.16673777809	TS		0.228	304.472	-0.841	348.053	72.5	34	42.5	10.134	5.358	5	-6	0	22	49	0.707	1.194	4.213	63	-0.076	10.761	12	4890	18.388	4.742
Aminocamptothecin, 9-	O=C2OCC=1C(=O)N4C(=CC=1C2(O)CC)c3nc5cccc(N)c5(cc3C4)	CCC1(O)C(=O)OCC2=C1C=C1N(CC3=C1N=C1C=CC=C(N)C1=C3)C2=O	2.521573904	1.6784855631	TS		0.999	99.879	1.662	99.879	16.5	11	45.5	3.31	3.392	6.8	0	1	4	15	2.764	1.119	3.843	15	-0.016	8.259	6	23	23.6918	4.302
Meloxicam	O=C(N=C1NC=C(C)S1)C3C(=O)c2ccccc2S(=O)(=O)N3(C)	CN1C(C(=O)N=C2NC=C(C)S2)=C([O-])C2=CC=CC=C2S1(=O)=O	2.521573904	1.99742092682	TS		0.533	83.382	1.166	121.409	14.5	7	40	2.501	3.322	8.6	-1	0	4	12	1.36	1.306	3.713	12	-0.03	10.012	6	26	14.962	4.755
Oxybutynin	O=C(OCC#CCN(CC)CC)C(O)(c1ccccc1)C2CCCCC2	CC[NH+](CC)CC#CCOC(=O)C(O)(C1CCCCC1)C1=CC=CC=C1	2.467041966	1.90997707403	TS		3.086	133.052	-0.424	133.052	9.5	16	37.9	1.346	2.807	1.7	1	1	5	7	0.179	1.371	3.71	8	-0.139	6.182	3	8	12.6178	4.316
Felodipine	O=C(OCC)C2=C(N=C(C)C(C(=O)OC)C2(c1cccc(c1Cl)Cl))C	CCOC(=O)C1=C(C)N=C(C)C(C1C1=CC=CC(Cl)=C1Cl)C(=O)OC	2.442131218	2.35132003862	TS		3.465	103.648	3.217	181.946	12	12	40.9	1.974	3	2.3	0	0	3	11	10.347	1.324	3.705	10	-0.261	8.734	2	28	15.9411	4.017
Clevidipine	O=C(OCOC(=O)CCC)C2=C(N=C(C)C(C(=O)OC)C2(c1cccc(c1Cl)Cl))C	CCCC(=O)OCOC(=O)C1=C(C)N=C(C)C(C1C1=CC=CC(Cl)=C1Cl)C(=O)OC	2.418562941	2.33964733169	TS		4.061	117.967	3.483	196.264	13.5	14	39.6	1.963	3.17	1.9	0	0	3	12	12.129	1.385	3.705	11	-0.274	8.61	2	82	17.1431	4.018
