No.	CAS	SMILES	Set	Exp KOA	Pred (weighted)
183	30746-58-8	O1c3ccccc3(Oc2c1c(c(c(c2Cl)Cl)Cl)Cl)	Training	9.7	8.2722
184	31508-00-6	c1cc(c(cc1c2cc(c(cc2Cl)Cl)Cl)Cl)Cl	Training	9.82	9.1264
185	31604-28-1	c2cc(c1c(cc(cc1Cl)Cl)c2Cl)Cl	Training	8.28	8.1787
186	32598-10-0	c1cc(c(cc1c2ccc(cc2Cl)Cl)Cl)Cl	Training	9.02	8.6554
187	32598-13-3	c1cc(c(cc1c2ccc(c(c2)Cl)Cl)Cl)Cl	Training	9.7	8.5917
188	32598-14-4	c1cc(c(cc1c2ccc(c(c2Cl)Cl)Cl)Cl)Cl	Training	10	9.5436
189	33284-53-6	c1ccc(cc1)c2cc(c(c(c2Cl)Cl)Cl)Cl	Training	8.74	8.9415
190	33857-28-2	O1c3ccc(cc3(Oc2cc(c(cc12)Cl)Cl))Cl	Training	9.14	8.8722
191	33979-03-2	c2c(cc(c(c1c(cc(cc1Cl)Cl)Cl)c2Cl)Cl)Cl	Training	8.99	10.0543
192	34883-43-7	c1ccc(c(c1)c2ccc(cc2)Cl)Cl	Training	7.4	7.3376
193	35065-27-1	c2c(c1cc(c(cc1Cl)Cl)Cl)c(cc(c2Cl)Cl)Cl	Training	9.73	9.9109
194	35065-28-2	c1cc(c(c(c1c2cc(c(cc2Cl)Cl)Cl)Cl)Cl)Cl	Training	9.8	9.3366
195	35065-29-3	c2c(c1cc(c(c(c1Cl)Cl)Cl)Cl)c(cc(c2Cl)Cl)Cl	Training	9.88	10.5087
196	35693-99-3	c1cc(c(cc1Cl)c2cc(ccc2Cl)Cl)Cl	Training	8.47	8.7549
197	35822-46-9	O1c3cc(c(c(c3(Oc2c1c(c(c(c2Cl)Cl)Cl)Cl))Cl)Cl)Cl	Training	11.42	10.1739
198	36563-47-0	O(c1ccccc1)c2ccccc2Br	Training	7.24	7.5049
