ID	CAS	MDL SMILES Structure	Status	Log BCF exp	LOO Knn Prediction
193	106-93-4	C(CBr)Br	Training	0.674	1.23141168
194	107-05-1	C=CCCl	Training	0.295	0.729399706
195	107-39-1	C=C(C)CC(C)(C)C	Training	2.829	3.2039435308
196	108-36-1	c1cc(cc(c1)Br)Br	Training	2.778	2.6752183149
197	108-42-9	Nc1cccc(c1)Cl	Training	0.31	0.9667402899
198	108-43-0	Oc1cccc(c1)Cl	Training	1.083	1.5065273108
199	108-45-2	Nc1cccc(N)c1	Training	0.799	0.8463815645
200	108-60-1	O(C(C)CCl)C(C)CCl	Training	0.962	0.3997307827
201	108-67-8	c1c(cc(cc1C)C)C	Training	2.426	2.5258732059
202	108-70-3	c1c(cc(cc1Cl)Cl)Cl	Training	3.306	3.0539079046
203	108-78-1	n1c(nc(nc1N)N)N	Training	0.08	0.0799630844
204	108-80-5	Oc1nc(O)nc(O)n1	Training	-0.651	0.0271420407
205	108-86-1	c1ccc(cc1)Br	Training	1.434	1.9834321173
206	108-87-2	CC1CCCCC1	Training	2.367	2.8602499986
207	108-90-7	c1ccc(cc1)Cl	Training	1.356	2.2239567466
208	108-95-2	Oc1ccccc1	Training	0.551	1.1136635915
209	109-09-1	n1ccccc1Cl	Training	0.779	0.4093500411
210	109-69-3	CCCCCl	Training	1.213	0.6254084984
211	110-00-9	o1cccc1	Training	0.345	0.7901288981
212	110-02-1	c1ccsc1	Training	0.631	0.345
213	110-30-5	O=C(NCCNC(=O)CCCCCCCCCCCCCCCCC)CCCCCCCCCCCCCCCCC	Training	0.319	1.7274126893
214	110-82-7	C1CCCCC1	Training	1.965	2.9814018172
215	110-85-0	N1CCNCC1	Training	0.228	0.0376421926
216	110-91-8	O1CCNCC1	Training	-0.021	0.070325413
217	110-98-5	OC(C)COCC(O)C	Training	0.446	-0.0265027704
218	111-40-0	NCCNCCN	Training	0.338	0.0523797741
219	111-41-1	OCCNCCN	Training	0.111	0.1758210792
220	111-44-4	O(CCCl)CCCl	Training	0.241	0.7187740803
221	111-84-2	CCCCCCCCC	Training	3.15	3.1587442557
222	111-94-4	N#CCCNCCC#N	Training	-0.331	0.1743429855
223	112-40-3	CCCCCCCCCCCC	Training	2.805	2.3769926504
224	112-41-4	C=CCCCCCCCCCC	Training	3.4	3.1720567796
225	115-28-6	O=C(O)C1C(C(=O)O)C2(C(=C(C1(C2(Cl)Cl)Cl)Cl)Cl)Cl	Training	-0.168	3.8517751781
226	115-32-2	OC(c1ccc(cc1)Cl)(c2ccc(cc2)Cl)C(Cl)(Cl)Cl	Training	3.767	3.7042175852
