Name	Standardized SMILES	SMILES (ionized)	Exp (square root of fraction unbound)	Prediction	Set	AD evaluation	ALOGP	P_VSA_i_2	MLOGP	P_VSA_p_3	Eta_betaP	CATS2D_00_LL	C.	PCD	Ui	CATS2D_01_LL	nCar	SpMin1_Bh.i.	Eta_betaP_A	SM12_AEA.ri.	N.	nN.	totalcharge	CATS2D_00_PP	SpMax2_Bh.m.	C.024
Saquinavir	O=C(N)CC(NC(=O)c1nc2ccccc2(cc1))C(=O)NC(Cc3ccccc3)C(O)CN4CC5CCCCC5(CC4(C(=O)NC(C)(C)C))	CC(C)(C)NC(=O)C1CC2CCCCC2C[NH+]1CC(O)C(CC1=CC=CC=C1)NC(=O)C(CC(N)=O)NC(=O)C1=CC=C2C=CC=CC2=N1	0.167332005	0.4323133163	TS		2.32	182.145	-2.052	182.145	22	25	38	2.276	3.755	20	15	2.011	0.449	3.465	6	1	1	2	3.941	11
Clomipramine	c1ccc3c(c1)N(c2cc(ccc2CC3)Cl)CCCN(C)C	C[NH+](C)CCCN1C2=CC=CC=C2CCC2=CC=C(Cl)C=C12	0.170293864	0.2761506075	TS		3.492	110.327	0.688	149.475	12.5	13	41.3	2.444	2.807	9	12	1.906	0.568	3.726	4.3	1	1	1	3.839	7
Amsacrine	O=S(=O)(Nc4ccc(N=C1c3ccccc3(Nc2ccccc12))c(OC)c4)C	COC1=CC(NS(C)(=O)=O)=CC=C1NC1=C2C=CC=CC2=[NH+]C2=CC=CC=C12	0.170293864	0.1432273151	TS		4.167	145.26	2.413	151.067	23.5	13	43.8	4.78	3.807	9	19	2.118	0.839	4.443	6.3	1	1	1	4.155	11
Desmethyldiazepam	O=C2C=NC(c1ccccc1)c3cc(ccc3(N2))Cl	ClC1=CC=C2NC(=O)C=NC(C3=CC=CC=C3)C2=C1	0.173205081	0.2774117494	TS		3.039	102.191	2.576	141.339	15.5	11	50	2.615	3.17	8	12	1.944	0.816	3.485	6.7	0	0	0	3.817	8
Epristeride	O=C(O)C4C=C3C=CC1C(CCC2(C)(C(C(=O)NC(C)(C)C)CCC12))C3(C)CC4	CC(C)(C)NC(=O)C1CCC2C3C=CC4=CC(CCC4(C)C3CCC12C)C([O-])=O	0.173205081	0.1829108587	TS		3.308	102.367	4.386	102.367	6	22	38.5	0.904	2.322	22	0	2.03	0.207	3.669	1.5	0	-1	0	3.822	0
Bumetanide	O=C(O)c2cc(NCCCC)c(Oc1ccccc1)c(c2)S(=O)(=O)N	CCCCNC1=C(OC2=CC=CC=C2)C(=CC(=C1)C([O-])=O)S(N)(=O)=O	0.176068169	0.2258004814	TS		2.282	107.028	1.763	112.836	17.5	11	38.6	2.406	3.322	8	12	1.983	0.7	3.879	4.5	0	-1	1	3.87	7
Isoxicam	O=C(N=C1C=C(ON1)C)C3C(=O)c2ccccc2S(=O)(=O)N3(C)	CN1C(=C(O)NC2=NOC(C)=C2)C(=O)C2=CC=CC=C2S1(=O)=O	0.187082869	0.3152880959	TS		1.688	85.006	0.824	90.814	16.5	7	38.9	2.649	3.392	4	9	2.027	0.717	3.81	8.3	0	0	0	3.861	5
Milrinone	N#CC2=CC(c1ccncc1)=C(NC2(=O))C	CC1=C(C=C(C#N)C(=O)N1)C1=CC=NC=C1	0.187082869	0.5907410481	TS		0.357	88.969	0.805	88.969	13.5	7	48	1.981	3.17	5	5	1.911	0.844	3.439	12	0	0	0	3.675	2
Tolterodine	Oc1ccc(cc1C(c2ccccc2)CCN(C(C)C)C(C)C)C	CC(C)[NH+](CCC(C1=CC=CC=C1)C1=CC(C)=CC=C1O)C(C)C	0.192353841	0.2842751354	TS		4.076	134.133	0.986	134.133	12.5	18	39.3	1.85	2.807	14	12	1.976	0.521	3.475	1.8	1	1	1	3.761	8
Propafenone	O=C(c1ccccc1(OCC(O)CNCCC))CCc2ccccc2	CCC[NH2+]CC(O)COC1=CC=CC=C1C(=O)CCC1=CC=CC=C1	0.194935887	0.3224861053	TS		2.443	127.267	-0.689	127.267	14	15	39.6	2.213	3	13	12	1.92	0.56	3.445	1.9	1	1	1	3.813	9
Buprenorphine	Oc7ccc6c2c7(OC3C1(OC)(CCC4(CC1(C(O)(C)C(C)(C)C))(C(N(CCC234)CC5CC5)C6)))	COC12CCC3(CC1C(C)(O)C(C)(C)C)C1CC4=CC=C(O)C5=C4C3(CC[NH+]1CC1CC1)C2O5	0.2	0.3762242863	TS		2.337	98.704	0.122	98.704	7	20	38.2	1.27	2	17	6	2.092	0.206	3.903	1.3	1	1	1	3.8	2
Isradipine	O=C(OC)C3=C(N=C(C)C(C(=O)OC(C)C)C3(c2cccc1nonc12))C	COC(=O)C1=C(C)N=C(C)C(C1C1=CC=CC2=NON=C12)C(=O)OC(C)C	0.2	0.3055834996	TS		2.083	105.168	1.72	105.168	14	11	39.6	2.863	3.322	6	6	1.973	0.519	3.941	6.3	0	0	0	3.839	3
Docetaxel	O=C(OC(C)(C)C)NC(c1ccccc1)C(O)C(=O)OC3CC4(O)(C(OC(=O)c2ccccc2)C5C6(OC(=O)C)(COC6(CC(O)C5(C(=O)C(=O)C(C3(C))C4(C)(C))(C))))	CC1C(CC2(O)C(OC(=O)C3=CC=CC=C3)C3C4(COC4CC(O)C3(C)C(=O)C(=O)C1C2(C)C)OC(C)=O)OC(=O)C(O)C(NC(=O)OC(C)(C)C)C1=CC=CC=C1	0.2	0.3393217014	TS		2.684	220	1.271	220	21	27	38.7	1.181	3.7	19	12	2.017	0.362	3.813	0.9	0	0	0	3.882	10
Lovastatin (acid)	O=C(O)CC(O)CC(O)CCC2C(C=CC1=CC(C)CC(OC(=O)C(C)CC)C12)C	CCC(C)C(=O)OC1CC(C)C=C2C=CC(C)C(CCC(O)CC(O)CC([O-])=O)C12	0.207364414	0.3079695483	TS		2.931	96.028	3.025	96.028	6	19	35.8	0.859	2.322	16	0	1.982	0.2	3.073	0	0	-1	0	3.671	0
Flucloxacillin	O=C(O)C4N3C(=O)C(NC(=O)c1c(noc1C)c2c(F)cccc2Cl)C3SC4(C)(C)	CC1=C(C(=O)NC2C3SC(C)(C)C(N3C2=O)C([O-])=O)C(=NO1)C1=C(F)C=CC=C1Cl	0.207364414	0.3434125519	TS		2.016	98.227	3.093	169.595	14.5	10	41.3	2.296	3.248	2	9	1.886	0.483	3.809	6.5	0	-1	0	4.067	3
Indocyanine Green	O=S(=O)([O-])CCCCN6c2ccc1ccccc1c2C(C6(=CC=CC=CC=CC5=[N+](c4ccc3ccccc3c4C5(C)C)CCCCS(=O)(=O)[O-]))(C)C	CC1(C)C(=CC=CC=CC=CC2=[N+](CCCCS([O-])(=O)=O)C3=CC=C4C=CC=CC4=C3C2(C)C)N(CCCCS([O-])(=O)=O)C2=CC=C3C=CC=CC3=C12	0.223606798	0.1514308807	TS		5.433	259.188	5.284	273.715	34	35	43	7.851	4.392	32	20	2.061	0.642	4.61	2	1	-1	1	4.724	12
Metolazone	O=C1c3cc(c(cc3(NC(N1c2ccccc2C)C))Cl)S(=O)(=O)N	CC1NC2=CC(Cl)=C(C=C2C(=O)N1C1=CC=CC=C1C)S(N)(=O)=O	0.223606798	0.2414822463	TS		2.587	96.149	2.13	141.105	17.5	11	40	2.43	3.322	6	12	1.997	0.729	4.029	7.5	0	0	1	3.986	6
Omeprazole	O=S(c1nc2cc(OC)ccc2([nH]1))Cc3ncc(c(OC)c3C)C	COC1=CC=C2NC(=NC2=C1)S(=O)CC1=NC=C(C)C(OC)=C1C	0.223606798	0.2304752865	TS		3.118	102.388	1.126	121.521	16.5	7	39.5	3.089	3.322	3	12	1.885	0.687	4.14	7	0	0	0	3.946	3
Vardenafil	O=C1NC(=Nn2c(nc(c12)C)CCC)c3cc(ccc3(OCC))S(=O)(=O)N4CCN(CC)CC4	CCCC1=NC(C)=C2N1N=C(NC2=O)C1=CC(=CC=C1OCC)S(=O)(=O)N1CCN(CC)CC1	0.223606798	0.369433433	TS		2.873	108.773	2.537	114.581	17	10	34.8	2.707	3.392	4	9	1.991	0.5	4.361	9.1	0	0	0	4.033	3
Imatinib	O=C(Nc3ccc(c(N=C1N=C(C=CN1)c2cnccc2)c3)C)c4ccc(cc4)CN5CCN(C)CC5	C[NH+]1CCN(CC2=CC=C(C=C2)C(=O)NC2=CC=C(C)C(NC3=NC(=CC=N3)C3=CN=CC=C3)=C2)CC1	0.223606798	0.3467164161	TS		2.66	177.271	-0.777	177.271	26.5	15	42	4.413	3.807	11	21	1.929	0.716	3.87	10.1	1	1	1	3.893	10
Trimetrexate	N=C3NC(=N)c1c(ccc(c1C)CNc2cc(OC)c(OC)c(OC)c2)N3	COC1=CC(NCC2=C(C)C3=C(NC(=[NH2+])N=C3N)C=C2)=CC(OC)=C1OC	0.223606798	0.4786719953	TS		1.262	116.513	1.966	116.513	17.5	8	37.3	2.721	3.17	5	12	1.957	0.648	4.103	9.8	1	1	2	3.885	4
Delorazepam (Chlordesmethyldiazepam)	O=C1C=NC(c2cc(ccc2(N1))Cl)c3ccccc3Cl	ClC1=CC=C2NC(=O)C=NC(C3=CC=CC=C3Cl)C2=C1	0.225831796	0.2632800569	TS		3.703	96.215	3.087	174.512	15.5	11	50	2.673	3.17	6	12	1.944	0.775	3.736	6.7	0	0	0	3.949	7
Trimipramine	c1ccc3c(c1)N(c2ccccc2CC3)CC(C)CN(C)C	CC(CN1C2=CC=CC=C2CCC2=CC=CC=C12)C[NH+](C)C	0.225831796	0.3309755163	TS		3.276	122.593	0.42	122.593	12.5	14	40.8	2.436	2.807	12	12	1.908	0.568	3.665	4.1	1	1	1	3.728	8
Ceftriaxone	O=C(O)C4=C(CSC1=NC(=O)C(=O)NN1C)CSC3N4(C(=O)C3(NC(=O)C(=NOC)C2=CSC(=N)N2))	CON=C(C(=O)NC1C2SCC(CSC3=NC(=O)C([O-])=NN3C)=C(N2C1=O)C([O-])=O)C1=CSC(N)=N1	0.228035085	0.580359095	TS		-0.862	66.544	1.404	162.261	16.5	4	34.6	1.664	3.524	0	3	1.867	0.458	3.923	15.4	0	-2	1	4.126	0
Clozapine	N=2c4cc(ccc4(Nc1ccccc1C=2N3CCN(C)CC3))Cl	C[NH+]1CCN(CC1)C1=NC2=CC(Cl)=CC=C2NC2=CC=CC=C12	0.234520788	0.3497408245	TS		2.387	100.437	-0.719	139.586	14.5	9	41.9	2.86	3	5	12	1.888	0.63	3.77	9.3	1	1	1	3.858	7
Bupivacaine	O=C(Nc1c(cccc1C)C)C2N(CCCC)CCCC2	CCCC[NH+]1CCCCC1C(=O)NC1=C(C)C=CC=C1C	0.236643191	0.5894841443	TS		2.856	85.621	-0.569	85.621	8	13	36	1.16	2.322	10	6	1.918	0.381	3.183	4	1	1	1	3.801	3
R-Apomorphine	Oc1ccc4c(c1(O))c2cccc3c2C(N(C)CC3)C4	C[NH+]1CCC2=C3C1CC1=CC=C(O)C(O)=C1C3=CC=C2	0.238746728	0.4873729163	TS		1.505	78.88	-1.113	78.88	13	12	44.7	2.531	2.807	12	12	2.072	0.65	3.848	2.6	1	1	1	3.744	5
Azimilide	O=C3N(N=Cc1oc(cc1)c2ccc(cc2)Cl)C=C(O)N3CCCCN4CCN(C)CC4	CN1CC[NH+](CCCCN2C(=O)CN(N=CC3=CC=C(O3)C3=CC=C(Cl)C=C3)C2=O)CC1	0.244948974	0.4038142523	TS		2.157	120.675	-1.283	159.823	14.5	10	37.7	2.619	3.248	6	10	1.883	0.453	3.534	8.2	1	1	1	3.867	6
Clindamycin	O=C(NC(C1OC(C(O)C(O)C1(O))SC)C(C)Cl)C2N(C)CC(CCC)C2	CCCC1CC([NH+](C)C1)C(=O)NC(C(C)Cl)C1OC(SC)C(O)C(O)C1O	0.244948974	0.7732806688	TS		-0.178	47.651	-3.437	119.019	1.5	8	29.5	0.051	1	4	0	1.792	0.056	3.172	3.3	1	1	1	3.873	0
Prazosin	O=C(c1occc1)N4CCN(C2=NC(=N)c3cc(OC)c(OC)cc3(N2))CC4	COC1=C(OC)C=C2C(N)=NC(=[NH+]C2=C1)N1CCN(CC1)C(=O)C1=CC=CO1	0.244948974	0.336968295	TS		2.004	109.418	1.241	109.418	16.5	5	38	2.919	3.322	2	12	2	0.589	3.74	10	1	1	2	3.887	4
Diazoxide	O=S2(=O)(N=C(Nc1ccc(cc12)Cl)C)	CC1=NS(=O)(=O)C2=CC(Cl)=CC=C2N1	0.244948974	0.5565080396	TS		1.669	47.39	1.901	92.346	11	5	38.1	1.824	2.807	1	6	1.996	0.786	3.569	9.5	0	0	0	3.914	3
Flavopiridol	O=C1C=C(Oc2c1c(O)cc(O)c2C3CCN(C)CC3(O))c4ccccc4Cl	C[NH+]1CCC(C(O)C1)C1=C2OC(=CC(O)=C2C([O-])=CC1=O)C1=CC=CC=C1Cl	0.244948974	0.4405231887	TS		-0.91	105.444	-1.963	144.593	13.5	12	43.8	2.6	3.17	6	6	1.973	0.482	3.914	2.1	1	0	1	3.931	4
Piritramide	N#CC(c1ccccc1)(c2ccccc2)CCN4CCC(C(=O)N)(N3CCCCC3)CC4	NC(=O)C1(CC[NH+](CCC(C#N)(C2=CC=CC=C2)C2=CC=CC=C2)CC1)N1CCCCC1	0.246981781	0.3257250384	TS		1.955	148.176	-0.818	148.176	16.5	19	40.3	1.362	3.322	17	12	1.985	0.516	3.722	6	1	1	2	3.873	10
Digitoxin	Oc1occ(c1)C6CCC7(O)(C8CCC5CC(OC4OC(C)C(OC3OC(C)C(OC2OC(C)C(O)C(O)C2)C(O)C3)C(O)C4)CCC5(C)C8(CCC67(C)))	CC1OC(CC(O)C1O)OC1C(O)CC(OC2C(O)CC(OC3CCC4(C)C(CCC5C4CCC4(C)C(CCC54O)C4=COC(=O)C4)C3)OC2C)OC1C	0.256904652	0.3568687123	TS		2.603	100.065	1.662	100.065	2.5	25	34.7	0.3	1.585	19	0	2.018	0.046	3.581	0	0	0	0	3.851	0
Cyclosporine	O=C1NC(C(=O)N(C)C(C(=O)N(C)C(C(=O)N(C)C(C(=O)N(C)C(C(=O)NC(C(=O)N(C)CC(=O)N(C)C(C(=O)NC(C(=O)N(C)C(C(=O)NC1C)CC(C)C)C(C)C)CC(C)C)CC)C(O)C(C)CC=CC)C(C)C)CC(C)C)CC(C)C)C	CCC1NC(=O)C(C(O)C(C)CC=CC)N(C)C(=O)C(C(C)C)N(C)C(=O)C(CC(C)C)N(C)C(=O)C(CC(C)C)N(C)C(=O)C(C)NC(=O)C(C)NC(=O)C(CC(C)C)N(C)C(=O)C(NC(=O)C(CC(C)C)N(C)C(=O)CN(C)C1=O)C(C)C	0.260768096	0.4095996031	TS		5.614	296.82	-0.321	296.82	17.5	32	31.6	0.281	3.7	22	0	1.812	0.206	3.453	5.6	0	0	0	3.823	0
Cefoperazone	O=C(O)C5=C(CSc1nnnn1C)CSC4N5(C(=O)C4(NC(=O)C(NC(=O)N2C(=O)C(=O)N(CC)CC2)c3ccc(O)cc3))	CCN1CCN(C(=O)NC(C(=O)NC2C3SCC(CSC4=NN=NN4C)=C(N3C2=O)C([O-])=O)C2=CC=C(O)C=C2)C(=O)C1=O	0.264575131	0.5422698973	TS		-0.958	102.873	0.872	167.312	21.5	9	35.7	1.659	3.755	4	7	1.899	0.489	3.811	12.9	0	-1	0	3.982	4
Amitriptyline	c1ccc3c(c1)C(=CCCN(C)C)c2ccccc2CC3	C[NH+](C)CCC=C1C2=CC=CC=C2CCC2=CC=CC=C12	0.264575131	0.3168391876	TS		3.211	127.716	1.077	127.716	13.5	17	44.4	2.793	3	19	12	1.96	0.643	3.665	2.2	1	1	1	3.728	8
Papaverine	n2ccc1cc(OC)c(OC)cc1c2Cc3ccc(OC)c(OC)c3	COC1=CC=C(CC2=NC=CC3=CC(OC)=C(OC)C=C23)C=C1OC	0.270185122	0.2315530788	TS		3.504	144.034	2.443	144.034	18	10	43.5	3.426	3.248	8	15	2.04	0.72	3.911	2.2	0	0	0	3.859	6
Idarubicin	O=C(C)C3(O)(C=C(OC1OC(C)C(O)C(N)C1)c2c(O)c4c(O)c5ccccc5(c(O)c4(c(O)c2C3)))	CC1OC(CC([NH3+])C1O)OC1=CC(O)(CC2=C1C(O)=C1C(O)=C3C=CC=CC3=C(O)C1=C2O)C(C)=O	0.275680975	0.5029233049	TS		-0.238	97.5	-3.772	97.5	19	15	40.6	3.998	3.459	9	14	2.146	0.528	4.246	1.6	1	1	1	3.879	4
Haloperidol	O=C(c1ccc(F)cc1)CCCN3CCC(O)(c2ccc(cc2)Cl)CC3	OC1(CC[NH+](CCCC(=O)C2=CC=C(F)C=C2)CC1)C1=CC=C(Cl)C=C1	0.282842712	0.3071474037	TS		2.327	116.391	0.322	155.54	13.5	15	42	1.865	3	9	12	1.938	0.519	3.756	2	1	1	1	3.893	8
Terazosin	O=C(N3CCN(C1=NC(=N)c2cc(OC)c(OC)cc2(N1))CC3)C4OCCC4	COC1=C(OC)C=C2C(N)=NC(=[NH+]C2=C1)N1CCN(CC1)C(=O)C1CCCO1	0.282842712	0.6330926865	TS		1.384	82.938	1.399	82.938	12.5	5	35.2	2.342	2.907	2	8	2	0.446	3.57	9.3	1	1	2	3.801	2
Daptomycin	O=C(O)CC3NC(=O)C(NC(=O)C(NC(=O)C(NC(=O)CNC(=O)C(NC(=O)C(NC(=O)C(NC(=O)C(NC(=O)CCCCCCCCC)Cc2c[nH]c1ccccc12)CC(=O)N)CC(=O)O)C(OC(=O)C(NC(=O)C(NC(=O)C(NC(=O)CNC3(=O))CO)C(C)CC(=O)O)CC(=O)c4ccccc4(N))C)CCCN)CC(=O)O)C	CCCCCCCCCC(=O)NC(CC1=CNC2=CC=CC=C12)C(=O)NC(CC(N)=O)C(=O)NC(CC([O-])=O)C(=O)NC1C(C)OC(=O)C(CC(=O)C2=CC=CC=C2N)NC(=O)C(NC(=O)C(CO)NC(=O)CNC(=O)C(CC([O-])=O)NC(=O)C(C)NC(=O)C(CC([O-])=O)NC(=O)C(CCC[NH3+])NC(=O)CNC1=O)C(C)CC([O-])=O	0.288097206	0.5003498913	TS		-7.633	288.456	-9.272	288.456	44.5	33	33.8	1.764	4.858	21	14	1.919	0.387	3.919	8	1	-3	3	3.947	8
Valproic Acd	O=C(O)C(CCC)CCC	CCCC(CCC)C([O-])=O	0.289827535	0.5867332016	TS		2.047	34.503	2.06	34.503	1.5	7	32	0.149	1	6	0	1.756	0.15	1.689	0	0	-1	0	3.279	0
Alfentanil	O=C1N(N=NN1CCN3CCC(N(C(=O)CC)c2ccccc2)(COC)CC3)CC	CCN1N=NN(CC[NH+]2CCC(COC)(CC2)N(C(=O)CC)C2=CC=CC=C2)C1=O	0.293257566	0.7219113834	TS		0.685	110.376	-1.153	110.376	10.5	10	33.3	1.159	2.807	5	6	1.909	0.35	3.41	9.5	1	1	1	3.792	5
Mebendazole	O=C(N=C1Nc2ccc(cc2(N1))C(=O)c3ccccc3)OC	COC(=O)NC1=NC2=CC(=CC=C2N1)C(=O)C1=CC=CC=C1	0.293257566	0.28027039	TS		3.055	111.148	2.417	111.148	17.5	10	45.7	3.09	3.459	9	13	1.954	0.795	3.794	8.6	0	0	0	3.836	8
Folinic acid	O=CN1C=3C(=O)NC(=N)NC=3(NCC1CNc2ccc(cc2)C(=O)NC(C(=O)O)CCC(=O)O)	NC1=NC(=O)C2=C(NCC(CNC3=CC=C(C=C3)C(=O)NC(CCC([O-])=O)C([O-])=O)N2C=O)N1	0.294957624	0.5827632662	TS		-2.717	93.946	0.167	93.946	17	7	36.4	1.978	3.459	5	6	1.893	0.5	3.771	12.7	0	-2	1	3.866	4
Gefitinib	Fc4ccc(N=C2N=CNc3cc(OC)c(OCCCN1CCOCC1)cc23)cc4Cl	COC1=C(OCCCN2CCOCC2)C=C2C(NC3=CC=C(F)C(Cl)=C3)=NC=NC2=C1	0.298328678	0.2504330078	TS		4.203	122.422	2.907	161.571	17.5	8	40	3.35	3.248	2	14	1.984	0.565	3.872	7.3	0	0	0	3.979	5
Lorazepam	O=C2Nc1ccc(cc1C(NC2(=O))c3ccccc3Cl)Cl	ClC1=CC=C2NC(=O)C(=O)NC(C3=CC=CC=C3Cl)C2=C1	0.3	0.2766004352	TS		2.999	91.872	2.685	170.169	15.5	11	48.4	2.389	3.17	6	12	1.945	0.738	3.737	6.5	0	0	0	3.949	7
Pancuronium	O=C(OC4CC6CCC1C(CCC2(C)(C(OC(=O)C)C(CC12)[N+]3(C)(CCCCC3)))C6(C)(CC4[N+]5(C)(CCCCC5)))C	CC(=O)OC1C(CC2C3CCC4CC(OC(C)=O)C(CC4(C)C3CCC12C)[N+]1(C)CCCCC1)[N+]1(C)CCCCC1	0.3	0.6212415783	TS		2.793	107.848	-2.029	107.848	3	23	34.7	0.082	1.585	20	0	2.027	0.073	3.636	2	2	2	2	3.901	0
Brotizolam	n1nc3n(c1C)c2c(cc(Br)s2)C(=NC3)c4ccccc4Cl	CC1=NN=C2CN=C(C3=C(SC(Br)=C3)N12)C1=CC=CC=C1Cl	0.303315018	0.3345128258	TS		4.081	123.708	4.697	194.134	15.5	11	46.9	3.343	3.322	5	12	1.894	0.705	3.97	12.5	0	0	0	4.219	5
Verapamil	N#CC(c1ccc(OC)c(OC)c1)(CCCN(C)CCc2ccc(OC)c(OC)c2)C(C)C	COC1=CC=C(CC[NH+](C)CCCC(C#N)(C(C)C)C2=CC=C(OC)C(OC)=C2)C=C1OC	0.304959014	0.2168803452	TS		3.974	182.198	-0.454	182.198	17	15	37.5	1.895	3.17	13	12	1.945	0.515	3.909	2.8	1	1	1	3.887	6
Pyrimethamine	N=C2NC(=N)C(c1ccc(cc1)Cl)=C(N2)CC	CCC1=[NH+]C(N)=NC(N)=C1C1=CC=C(Cl)C=C1	0.3082207	0.4005140436	TS		2.647	66.12	3.048	105.269	12	9	38.7	2.332	2.807	6	10	1.944	0.706	3.513	12.9	1	1	3	3.847	4
Finasteride	O=C1C=CC4(C)(C(N1)CCC2C4(CCC3(C)(C(C(=O)NC(C)(C)C)CCC23)))	CC(C)(C)NC(=O)C1CCC2C3CCC4NC(=O)C=CC4(C)C3CCC12C	0.3082207	0.2600565614	TS		3.174	87.695	3.652	87.695	4.5	19	36.5	0.48	2	17	0	2.002	0.167	3.623	3.2	0	0	0	3.803	0
Biperiden	OC(c1ccccc1)(CCN2CCCCC2)C4CC3C=CC4(C3)	OC(CC[NH+]1CCCCC1)(C1CC2CC1C=C2)C1=CC=CC=C1	0.31144823	0.4696749722	TS		2.088	91.044	0.275	91.044	7	17	39.6	1.036	2.322	16	6	1.935	0.304	3.157	1.9	1	1	1	3.795	5
Ertapenem	O=C(O)c1cccc(c1)NC(=O)C2NCC(C2)SC4=C(C(=O)O)N3C(=O)C(C(O)C)C3C4C	CC(O)C1C2C(C)C(SC3C[NH2+]C(C3)C(=O)NC3=CC(=CC=C3)C([O-])=O)=C(N2C1=O)C([O-])=O	0.316227766	0.6863244013	TS		-2.954	93.284	-2.267	125.504	14	11	38.6	1.549	3.17	5	6	1.885	0.424	3.799	5.3	1	-1	1	3.902	4
Erythromycin	O=C3OC(CC)C(O)(C)C(O)C(C(=O)C(C)CC(O)(C)C(OC1OC(C)CC(N(C)C)C1(O))C(C)C(OC2OC(C)C(O)C(OC)(C)C2)C3C)C	CCC1OC(=O)C(C)C(OC2CC(C)(OC)C(O)C(C)O2)C(C)C(OC2OC(C)CC(C2O)[NH+](C)C)C(C)(O)CC(C)C(=O)C(C)C(O)C1(C)O	0.316227766	0.704888266	TS		0.091	139.11	-3.823	139.11	3	18	31.1	0.063	1.585	6	0	1.866	0.059	3.485	0.8	1	1	1	3.798	0
Risperidone	O=C1C(=C(N=C2N1CCCC2)C)CCN5CCC(c4noc3cc(F)ccc34)CC5	CC1=C(CC[NH+]2CCC(CC2)C2=NOC3=CC(F)=CC=C23)C(=O)N2CCCCC2=N1	0.316227766	0.4704322225	TS		1.757	93.146	-0.071	93.146	12.5	13	39.7	2.814	3.17	7	7	1.931	0.417	3.928	6.9	1	1	1	3.919	3
Triazolam	n4nc1n(c3ccc(cc3(C(=NC1)c2ccccc2Cl))Cl)c4C	CC1=NN=C2CN=C(C3=CC=CC=C3Cl)C3=CC(Cl)=CC=C3N12	0.316227766	0.29483408	TS		4.391	100.806	4.972	179.104	17.5	12	48.6	3.612	3.392	6	14	1.945	0.761	3.971	11.4	0	0	0	3.965	7
Fluticasone propionate	O=C(OC3(C(=O)SCF)(C(C)CC2C4CC(F)=C1CC(=O)C=CC1(C)C4(F)(C(O)CC23(C))))CC	CCC(=O)OC1(C(C)CC2C3CC(F)=C4CC(=O)C=CC4(C)C3(F)C(O)CC12C)C(=O)SCF	0.316227766	0.2347151675	TS		3.462	101.891	3.412	134.111	7	18	38.5	0.928	2.585	14	0	2.017	0.206	4.059	0	0	0	0	3.941	0
Fluorescein	O=C4OC2(c3ccc(O)cc3(Oc1cc(O)ccc12))c5ccccc45	OC1=CC=C2C(OC3=CC(O)=CC=C3C22OC(=O)C3=CC=CC=C23)=C1	0.331662479	0.1764846079	TS		3.686	125.183	2.714	125.183	21	14	54.1	3.637	3.459	10	18	2.011	0.84	3.879	0	0	0	0	3.812	10
Promazine	c1ccc3c(c1)N(c2ccccc2S3)CCCN(C)C	C[NH+](C)CCCN1C2=CC=CC=C2SC2=CC=CC=C12	0.331662479	0.3413263285	TS		2.515	107.964	-0.422	140.183	13	10	41.5	2.452	2.807	6	12	1.964	0.65	3.58	4.9	1	1	1	3.686	8
Cocaine	O=C(OC2CC1N(C)C(CC1)C2(C(=O)OC))c3ccccc3	COC(=O)C1C2CCC(CC1OC(=O)C1=CC=CC=C1)[NH+]2C	0.346410162	0.722256868	TS		0.558	91.833	-1.27	91.833	9	10	38.6	1.032	2.585	7	6	1.881	0.409	3.379	2.3	1	1	1	3.834	5
Doxycycline	O=C(N)C3C(=O)C(N(C)C)C4C(O)C2C(C(=O)c1c(O)cccc1C2(C))C(=O)C4(O)(C3(=O))	CC1C2C(O)C3C([NH+](C)C)C([O-])=C(C(N)=O)C(=O)C3(O)C(O)=C2C(=O)C2=C(O)C=CC=C12	0.346410162	0.8003016535	TS		-3.206	86.527	-4.559	86.527	14	11	39.3	2.171	3.17	8	6	2.043	0.437	4.126	3.6	1	0	2	3.889	3
Drotaverine	N2=C(c1cc(OCC)c(OCC)cc1CC2)Cc3ccc(OCC)c(OCC)c3	CCOC1=CC=C(CC2=NCCC3=CC(OCC)=C(OCC)C=C23)C=C1OCC	0.346410162	0.1321608161	TS		4.934	141.514	2.996	141.514	15.5	14	40	2.627	3	8	12	1.973	0.534	3.913	1.7	0	0	0	3.857	5
Etoposide	O=C5OCC6C(OC1OC2COC(OC2(C(O)C1(O)))C)c3cc7OCOc7(cc3C(c4cc(OC)c(O)c(OC)c4)C56)	COC1=CC(=CC(OC)=C1O)C1C2C(COC2=O)C(OC2OC3COC(C)OC3C(O)C2O)C2=CC3=C(OCO3)C=C12	0.346410162	0.3809894994	TS		0.91	122.772	0.133	122.772	16	11	39.2	2.106	3	9	12	2.012	0.381	4.06	0	0	0	0	3.847	4
Hydralazine	N(N)=C1NN=Cc2ccccc12	NNC1=[NH+]N=CC2=CC=CC=C12	0.346410162	0.6035442967	TS		0.667	54.426	1.522	54.426	9.5	6	38.1	2.38	2.7	6	8	2.006	0.792	2.9	19	1	1	2	3.394	4
Lormetazepam	O=C1N(c3ccc(cc3(C(=NC1(O))c2ccccc2Cl))Cl)C	CN1C2=CC=C(Cl)C=C2C(=NC(O)C1=O)C1=CC=CC=C1Cl	0.346410162	0.1979129321	TS		3.709	98.321	3.597	176.618	15.5	11	47.1	2.593	3.17	6	12	1.94	0.705	3.771	5.9	0	0	0	3.95	7
