ID	CAS	NEUTRALIZED (Kekulized)_VEGA smiles	Set	Exp in Vivo MN
153	108-86-1	c1ccc(cc1)Br	Training	1
154	80-62-6	O=C(OC)C(=C)C	Training	0
155	598-55-0	O=C(OC)N	Training	0
156	96-33-3	O=C(OC)C=C	Training	1
157	88-19-7	O=S(=O)(N)c1ccccc1C	Training	0
158	100-41-4	c1ccc(cc1)CC	Training	0
159	78-84-2	O=CC(C)C	Training	0
160	938-73-8	O=C(N)c1ccccc1(OCC)	Training	0
161	20702-77-6	O=C(c3c(O)cc(OC2OC(CO)C(O)C(O)C2(OC1OC(C)C(O)C(O)C1(O)))cc3(O))CCc4ccc(OC)c(O)c4	Training	1
163	80-07-9	O=S(=O)(c1ccc(cc1)Cl)c2ccc(cc2)Cl	Training	1
164	35367-38-5	O=C(NC(=O)c1c(F)cccc1(F))Nc2ccc(cc2)Cl	Training	0
165	2921-88-2	n1c(OP(OCC)(OCC)=S)c(cc(c1Cl)Cl)Cl	Training	0
166	541-73-1	c1cc(cc(c1)Cl)Cl	Training	1
167	315-22-0	O=C1OC3CCN2CC=C(COC(=O)C(O)(C)C(O)(C)C1C)C23	Training	1
168	60-13-9	NC(C)Cc1ccccc1	Training	1
169	108-30-5	O=C1OC(=O)CC1	Training	0
170	62-56-6	NC(N)=S	Training	0
171	396-01-0	n1c(nc(N)c2nc(c(nc12)N)c3ccccc3)N	Training	0
172	107-18-6	OCC=C	Training	0
173	61-82-5	n1c[nH]nc1N	Training	0
174	69-09-0	c1ccc3c(c1)N(c2cc(ccc2S3)Cl)CCCN(C)C	Training	1
175	303-47-9	O=C(O)Cc2ccccc2(Nc1c(cccc1Cl)Cl)	Training	1
176	1912-24-9	n1c(nc(nc1NC(C)C)Cl)NCC	Training	1
177	128-37-0	Oc1c(cc(cc1C(C)(C)C)C)C(C)(C)C	Training	0
178	477-30-5	O=C1C=C3C(=CC=C1(OC))c2c(OC)c(OC)c(OC)cc2CCC3(NC)	Training	1
179	17924-92-4	O=C1OC(C)CCCC(=O)CCCC=Cc2cc(O)cc(O)c12	Training	1
180	79-01-6	C(=C(Cl)Cl)Cl	Training	0
181	592-62-1	O=C(OCN=[N+]([O-])C)C	Training	0
182	67-64-1	O=C(C)C	Training	0
183	124-48-1	C(Cl)(Br)Br	Training	0
185	111-92-2	N(CCCC)CCCC	Training	0
186	88-99-3	O=C(O)c1ccccc1(C(=O)O)	Training	0
187	55-21-0	O=C(N)c1ccccc1	Training	1
188	93-76-5	O=C(O)COc1cc(c(cc1Cl)Cl)Cl	Training	0
189	111-42-2	OCCNCCO	Training	0
190	1321-74-0	C=Cc1ccc(C=C)cc1	Training	0
191	630-20-6	C(C(Cl)(Cl)Cl)Cl	Training	1
192	1746-01-6	O1c3cc(c(cc3(Oc2cc(c(cc12)Cl)Cl))Cl)Cl	Training	0
193	92-52-4	c1ccc(cc1)c2ccccc2	Training	1
194	1143-38-0	O=C2c1c(O)cccc1Cc3cccc(O)c23	Training	0
195	96346-61-1	O=C5C=C4C(=C3C(c1ccc(cc1)N(C)C)CC2(C)(C(CCC2(O)(CCCO))C3CC4))CC5	Training	0
196	2832-19-1	O=C(NCO)CCl	Training	1
197	57-83-0	O=C4C=C3CCC1C(CCC2(C)(C(C(=O)C)CCC12))C3(C)CC4	Training	0
198	120-82-1	c1cc(c(cc1Cl)Cl)Cl	Training	1
199	91-20-3	c1ccc2ccccc2(c1)	Training	0
200	95-63-6	c1cc(c(cc1C)C)C	Training	0
201	79-00-5	C(C(Cl)Cl)Cl	Training	0
204	57-50-1	OCC2OC(OC1(OC(CO)C(O)C1(O))(CO))C(O)C(O)C2(O)	Training	0
205	104-67-6	O=C1OC(CC1)CCCCCCC	Training	0
206	87-61-6	c1cc(c(c(c1)Cl)Cl)Cl	Training	1
207	633-65-8	O(c3ccc2cc4c1cc5OCOc5(cc1CC[n+]4(cc2c3(OC))))C	Training	0
208	116355-83-0	O=C(O)CC(C(=O)O)CC(=O)OC(CC(C)CC(O)CCCCC(O)CC(O)C(N)C)C(OC(=O)CC(C(=O)O)CC(=O)O)C(C)CCCC	Training	1
209	103-84-4	O=C(Nc1ccccc1)C	Training	1
210	140-88-5	O=C(OCC)C=C	Training	0
211	930-68-7	O=C1C=CCCC1	Training	0
212	105-87-3	O=C(OC=C(C)CCC=C(C)C)C	Training	0
213	17804-35-2	O=C(OC)Nc2nc1ccccc1n2(C(=O)NCCCC)	Training	1
214	127-47-9	O=C(OCC=C(C=CC=C(C=CC1=C(C)CCCC1(C)C)C)C)C	Training	1
215	98-82-8	c1ccc(cc1)C(C)C	Training	1
216	353-59-3	FC(F)(Cl)Br	Training	0
217	83-79-4	O=C3c5ccc1OC(C(=C)C)Cc1c5(OC4COc2cc(OC)c(OC)cc2C34)	Training	1
