ID	CAS	NEUTRALIZED (Kekulized)_VEGA smiles	Set	Exp in Vivo MN
700	121-79-9	O=C(OCCC)c1cc(O)c(O)c(O)c1	Training	1
701	122008-85-9	N#Cc2ccc(Oc1ccc(OC(C(=O)OCCCC)C)cc1)c(F)c2	Training	0
702	126633-45-2	O=C(O)c1c(O)cccc1CCCCCCCCCCCCCCCCCCC	Training	0
703	127244-29-5	O=[N+]([O-])c1cc(ccc1(O))C(c2ccc(O)c(c2)[N+](=O)[O-])(C)C	Training	1
704	129-73-7	c1ccc(cc1)C(c2ccc(cc2)N(C)C)c3ccc(cc3)N(C)C	Training	1
705	13010-20-3	O=NNC(=O)N	Training	1
706	135158-54-2	O=C(c2cccc1nnsc12)SC	Training	0
707	14252-80-3	O=C(Nc1c(cccc1C)C)C2N(CCCC)CCCC2	Training	0
708	143491-57-0	O=C1N=C(N)C(F)=CN1C2OC(CO)SC2	Training	1
709	147127-20-6	O=P(O)(O)COC(C)Cn2cnc1c(ncnc12)N	Training	1
710	15481-70-6	Nc1cccc(N)c1C	Training	1
711	16655-82-6	O=C(Oc2cccc1c2(OC(C)(C)C1(O)))NC	Training	1
712	1717-00-6	FC(C)(Cl)Cl	Training	1
713	1747-60-0	n2c1ccc(OC)cc1sc2N	Training	1
714	1786-81-8	O=C(Nc1ccccc1C)C(NCCC)C	Training	0
715	183506-66-3	O=C1NC(C(=O)NC(C(=O)N2CCCCC2(C(=O)NC1CCCCCC(=O)CC))C(C)CC)CC3=CN(OC)C4C=CC=CC34	Training	1
716	20525-20-6	O=C1C=C(Oc2ccccc12)c3ccc(cc3)Br	Training	0
717	2095-06-9	O1CC1CN(c2ccccc2)CC3OC3	Training	1
718	22839-47-0	O=C(O)CC(N)C(=O)NC(C(=O)OC)Cc1ccccc1	Training	1
719	23110-15-8	O=C(O)C=CC=CC=CC=CC(=O)OC2CCC1(OC1)C(C2(OC))C3(OC3(CC=C(C)C))(C)	Training	1
720	24346-00-7	O=C(O)C(N)CC[S+](C)CC3OC(n2cnc1c(ncnc12)N)C(O)C3(O)	Training	0
721	2956-58-3	O=C(C=C)NCCNC(=O)C=C	Training	1
722	3056-17-5	O=C1NC(=O)N(C=C1C)C2OC(C=C2)CO	Training	1
723	32536-52-0	O(c1cc(c(cc1Br)Br)Br)c2c(c(c(c(c2Br)Br)Br)Br)Br	Training	1
724	3296-90-0	OCC(CO)(CBr)CBr	Training	1
725	3380-34-5	Oc2cc(ccc2(Oc1ccc(cc1Cl)Cl))Cl	Training	0
726	3524-68-3	O=C(OCC(CO)(COC(=O)C=C)COC(=O)C=C)C=C	Training	1
727	3544-94-3	O=C(O)CCC(=O)OCC(NC(=O)C(Cl)Cl)C(O)c1ccc(cc1)[N+](=O)[O-]	Training	0
728	3710-84-7	ON(CC)CC	Training	0
729	37319-17-8	O=S(=O)(O)OC2C(OC)OCC(COCC1OCC(OC)C(OS(=O)(=O)O)C1(OS(=O)(=O)O))C2(OS(=O)(=O)O)	Training	0
730	41941-56-4	O=P3(O)(OCC4OC(n1c2ncnc(N)c2(nc1Cl))C(O)C4(O3))	Training	1
731	4418-26-2	O=C1OC(=CC(=O)C1C(=O)C)C	Training	1
732	452-86-8	Oc1ccc(cc1(O))C	Training	0
733	50-50-0	O=C(Oc1ccc2c(c1)CCC3C2CCC4(C)(C(O)CCC34))c5ccccc5	Training	0
734	50647-08-0	O=C(OC1OC(CO)C(O)C(O)C1(O))C7(C)(C(O)C(O)CC6(C)(C7(CCC4(C)(C6(CC=C3C5CC(C)(C)CCC5(C(=O)OC2OC(CO)C(O)C(O)C2(O))(CCC34(CO)))))))	Training	0
735	50-99-7	OCC1OC(O)C(O)C(O)C1(O)	Training	0
736	518-47-8	O=C4OC2(c3ccc(O)cc3(Oc1cc(O)ccc12))c5ccccc45	Training	0
737	520-52-5	O=P(O)(O)Oc1cccc2[nH]cc(c12)CCN(C)C	Training	0
738	538-75-0	C(=NC1CCCCC1)=NC2CCCCC2	Training	1
739	545-55-1	O=P(N1CC1)(N2CC2)N3CC3	Training	1
741	569-64-2	c1ccc(cc1)C(c2ccc(cc2)N(C)C)=C3C=CC(C=C3)=[N+](C)C	Training	0
744	57966-95-7	N#CC(=NOC)C(=O)NC(=O)NCC	Training	0
745	58-55-9	O=C2c1[nH]cnc1N(C(=O)N2C)C	Training	1
746	590-00-1	O=C(O)C=CC=CC	Training	0
747	591-87-7	O=C(OCC=C)C	Training	1
748	59277-89-3	O=C2NC(=Nc1c2(ncn1COCCO))N	Training	0
749	598-50-5	O=C(N)NC	Training	0
750	557-34-6	O=C(O)C	Training	1
752	632-68-8	O=C4OC2(c3cc(c(O)c(c3(Oc1c2(cc(c(O)c1I)I)))I)I)c5c4c(c(c(c5Cl)Cl)Cl)Cl	Training	0
753	63-68-3	O=C(O)C(N)CCSC	Training	0
754	65907-30-4	O=C(Oc2cccc1c2(OC(C)(C)C1))N(C)SN(C(=O)OCCCC)C	Training	1
755	67-66-3	C(Cl)(Cl)Cl	Training	1
756	68228-20-6	O=C(O)CNc1nc(nc(n1)Cl)NC(C)C	Training	0
757	68359-37-5	N#CC(OC(=O)C1C(C=C(Cl)Cl)C1(C)(C))c3ccc(F)c(Oc2ccccc2)c3	Training	0
758	693-13-0	C(=NC(C)C)=NC(C)C	Training	1
759	693-98-1	n1cc[nH]c1C	Training	1
760	66422-95-5	OCCOc1ccc(N)cc1(N)	Training	0
761	71277-78-6	O=C(O)C7OC(OC2CCC3(C)(C4C(=O)C=C1C5CC(C(=O)O)(C)CCC5(C)(CCC1(C)C4(C)(CCC3(C2(C)(C))))))C(OC6CC(C(=O)O)C(O)C(O)C6(O))C(O)C7(O)	Training	0
762	76-43-7	O=C3C=C2CCC1C4CCC(O)(C)C4(C)(CC(O)C1(F)C2(C)CC3)	Training	1
763	7689-03-4	O=C3OCC=2C(=O)N4c1cc5ccccc5(nc1CC4(=CC=2C3(O)CC))	Training	1
764	8002-72-0	CCCSSCCC	Training	0
765	8003-69-8	O=S(=O)(O)c6ccc7c(N)ccc(N=Nc5ccc(N=Nc3c(O)c4cc(N=Nc1c(O)c2cc(N)ccc2(cc1S(=O)(=O)O))ccc4(cc3S(=O)(=O)O))cc5)c7(c6)	Training	0
766	81334-34-1	O=C(O)c2cccnc2(C1=NC(C(=O)N1)(C)C(C)C)	Training	0
767	83-88-5	O=C3N=C2C(=Nc1cc(c(cc1N2CC(O)C(O)C(O)CO)C)C)C(=O)N3	Training	0
768	84697-22-3	O=C(OCC)Nc1ccc(cc1)SCC2OC(OC2)(c3ccc(cc3Cl)Cl)Cn4cncc4	Training	1
769	93957-55-2	O=C(O)CC(O)CC(O)C=CC3=C(c1ccc(F)cc1)C2=CCCC=C2N3C(C)C	Training	0
770	636-21-5	Nc1ccccc1C	Training	1
771	95-70-5	Nc1ccc(N)c(c1)C	Training	0
772	95-88-5	Oc1ccc(c(O)c1)Cl	Training	0
773	No CAS number	O=C(O)COc2c(c(c1OC(C)(CCc1c2C)CCCC(C)CCCC(C)CCCC(C)C)C)C	Training	0
774	100-47-0	N#Cc1ccccc1	Training	0
775	10138-46-2	O=C(NCC)CC(=O)C	Training	0
776	106-95-6	C=CCBr	Training	0
778	1071-83-6	O=C(O)CNCP(=O)(O)O	Training	0
779	108-13-4	O=C(N)CC(=O)N	Training	0
780	108-42-9	Nc1cccc(c1)Cl	Training	0
781	108-99-6	n1cccc(c1)C	Training	0
782	109-09-1	n1ccccc1Cl	Training	0
783	109-89-7	N(CC)CC	Training	0
784	110-54-3	CCCCCC	Training	0
785	11097-69-1	c2cc(c1ccc(c(c1Cl)Cl)Cl)c(c(c2)Cl)Cl	Training	0
787	115-11-7	C=C(C)C	Training	0
788	116-14-3	FC(F)=C(F)F	Training	0
789	119-64-2	c1ccc2c(c1)CCCC2	Training	0
791	120-40-1	O=C(N(CCO)CCO)CCCCCCCCCCC	Training	0
792	121-92-6	O=C(O)c1cccc(c1)[N+](=O)[O-]	Training	0
793	123-35-3	C=CC(=C)CCC=C(C)C	Training	0
794	123-72-8	O=CCCC	Training	0
795	126-00-1	O=C(O)CCC(c1ccc(O)cc1)(c2ccc(O)cc2)C	Training	0
796	126-33-0	O=S1(=O)(CCCC1)	Training	0
797	1260-17-9	O=C(O)c2c(O)cc1C(=O)c3c(O)c(O)c(c(O)c3(C(=O)c1c2C))C4OC(CO)C(O)C(O)C4(O)	Training	0
798	129-79-3	O=C3c1cc(ccc1c2c3(cc(cc2[N+](=O)[O-])[N+](=O)[O-]))[N+](=O)[O-]	Training	0
799	130-17-6	O=S(=O)(O)c3c(ccc2nc(c1ccc(N)cc1)sc23)C	Training	0
800	131-11-3	O=C(OC)c1ccccc1(C(=O)OC)	Training	0
801	131-57-7	O=C(c1ccccc1)c2ccc(OC)cc2(O)	Training	0
802	1319-77-3	Oc1ccc(cc1)C	Training	0
803	1338-23-4	OOC(OOC(OO)(C)CC)(C)CC	Training	0
804	13674-84-5	O=P(OC(C)CCl)(OC(C)CCl)OC(C)CCl	Training	1
807	1478-61-1	FC(F)(F)C(c1ccc(O)cc1)(c2ccc(O)cc2)C(F)(F)F	Training	0
808	156-60-5	C(=CCl)Cl	Training	0
811	1763-23-1	O=S(=O)(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F	Training	1
812	1948-33-0	Oc1ccc(O)c(c1)C(C)(C)C	Training	0
813	20306-75-6	O=C(NC)CC(=O)C	Training	0
814	2044-64-6	O=C(N(C)C)CC(=O)C	Training	0
816	90-41-5/ 2185-92-4	Nc1ccccc1c2ccccc2	Training	0
817	21850-44-2	O(c1c(cc(cc1Br)C(c2cc(c(OCC(CBr)Br)c(c2)Br)Br)(C)C)Br)CC(CBr)Br	Training	0
818	24072-75-1	n2c1cc(c(cc1sc2N)Cl)Cl	Training	0
819	25013-16-5	Oc1ccc(OC)cc1C(C)(C)C	Training	0
820	23214-92-8	O=C1c5cccc(OC)c5(C(=O)c2c(O)c4c(c(O)c12)CC(O)(C(=O)CO)CC4(OC3OC(C)C(O)C(N)C3))	Training	1
822	286-20-4	O1C2CCCCC12	Training	0
825	32534-81-9	O(c1ccc(cc1Br)Br)c2cc(c(cc2Br)Br)Br	Training	0
826	335-67-1	O=C(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F	Training	1
827	335-76-2	O=C(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F	Training	0
828	34885-03-5	OCC1CCC(C)CC1	Training	0
829	35691-65-7	N#CCCC(C#N)(CBr)Br	Training	0
830	375-73-5	O=S(=O)(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F	Training	0
831	375-95-1	O=C(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F	Training	0
832	3871-99-6	O=S(=O)(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F	Training	0
833	39236-46-9	O=C(NCNC(=O)NC1C(=O)NC(=O)N1(CO))NC2C(=O)NC(=O)N2(CO)	Training	0
834	123-73-9	O=CC=CC	Training	0
835	42971-09-5	O=C(OCC)C2=CC5(CC)(CCCN4CCc3c1ccccc1n2c3C45)	Training	0
836	458-37-7	O=C(C=Cc1ccc(O)c(OC)c1)CC(=O)C=Cc2ccc(O)c(OC)c2	Training	0
837	479500-35-1	CCCC[N+]1(C)(CCCC1)	Training	1
838	496-46-8	O=C1NC2NC(=O)NC2(N1)	Training	0
839	501-36-0	Oc1ccc(cc1)C=Cc2cc(O)cc(O)c2	Training	0
840	50471-44-8	O=C1OC(C=C)(C(=O)N1c2cc(cc(c2)Cl)Cl)C	Training	0
841	505-22-6	O1COCCC1	Training	0
842	50892-23-4	O=C(O)CSc1nc(cc(n1)Cl)Nc2cccc(c2C)C	Training	0
843	513-86-0	O=C(C)C(O)C	Training	0
844	5205-93-6	O=C(NCCCN(C)C)C(=C)C	Training	0
845	521-31-3	O=C1NNC(=O)c2c(N)cccc12	Training	0
846	5392-40-5	O=CC=C(C)CCC=C(C)C	Training	0
847	542-40-5	O=C(O)C=CC(=CC=CC(=CC=CC=C(C=CC=C(C=CC(=O)O)C)C)C)C	Training	0
848	54464-57-2	O=C(C)C2(C)(CC1=C(CCCC1(C)C)CC2(C))	Training	1
849	5466-77-3	O=C(OCC(CC)CCCC)C=Cc1ccc(OC)cc1	Training	0
850	55268-75-2	O=C(O)C3=C(COC(=O)N)CSC2N3(C(=O)C2(NC(=O)C(=NOC)c1occc1))	Training	0
851	55589-62-3	O=C1C=C(OS(=O)(=O)N1)C	Training	1
852	56-53-1	Oc1ccc(cc1)C(=C(c2ccc(O)cc2)CC)CC	Training	1
853	576-55-6	Oc1c(c(c(c(c1Br)Br)Br)Br)C	Training	0
854	583-39-1	c1ccc2NC(Nc2(c1))=S	Training	0
855	5977-14-0	O=C(N)CC(=O)C	Training	0
856	600-14-6	O=C(C(=O)CC)C	Training	0
857	6055-52-3	NCCCCCCN	Training	0
858	608-25-3	Oc1cccc(O)c1C	Training	0
859	608-93-5	c1c(c(c(c(c1Cl)Cl)Cl)Cl)Cl	Training	0
860	614-45-9	O=C(OOC(C)(C)C)c1ccccc1	Training	0
865	6317-18-6	N#CSCSC#N	Training	0
866	637-92-3	O(CC)C(C)(C)C	Training	0
867	64091-91-4	O=NN(C)CCCC(=O)c1cnccc1	Training	0
870	67-47-0	O=Cc1oc(cc1)CO	Training	0
871	6959-47-3	n1ccccc1CCl	Training	0
872	69655-05-6	O=C3NC=Nc1c3(ncn1C2OC(CO)CC2)	Training	0
873	6983-79-5	O=C(O)C=CC(=CC=CC(=CC=CC(=CC=CC(=CC=CC(=O)OC)C)C)C)C	Training	0
874	70-55-3	O=S(=O)(N)c1ccc(cc1)C	Training	0
875	71133-14-7	O=C(O)C(Cl)(Cl)Br	Training	0
876	75-12-7	O=CN	Training	0
877	76-22-2	O=C1CC2CCC1(C)C2(C)(C)	Training	0
878	76231-76-0	O=C1CC2(CC2(C1C))(C(C)C)	Training	1
879	770-35-4	OC(C)COc1ccccc1	Training	0
880	7790-98-9	[O-][Cl+3]([O-])([O-])O	Training	0
881	78-44-4	O=C(OCC(C)(COC(=O)NC(C)C)CCC)N	Training	0
882	79-94-7	Oc1c(cc(cc1Br)C(c2cc(c(O)c(c2)Br)Br)(C)C)Br	Training	0
883	79917-90-1	c1c[n+](cn1C)CCCC	Training	0
884	80-15-9	OOC(c1ccccc1)(C)C	Training	0
885	80-56-8	C1=C(C)C2CC(C1)C2(C)(C)	Training	0
886	8013-11-4	O=C(O)c3cc(O)c4C(=O)c2c(OC1OC(CO)C(O)C(O)C1(O))cccc2C(c4(c3))C7c8cccc(OC5OC(CO)C(O)C(O)C5(O))c8(C(=O)c6c(O)cc(cc67)C(=O)O)	Training	0
887	8024-48-4	O=C3c1c(O)cccc1C(OC2OC(CO)C(O)C(O)C2(O))c4cc(cc(O)c34)CO	Training	0
888	83-46-5	OC4CC3=CCC1C(CCC2(C)(C(CCC12)C(C)CCC(CC)C(C)C))C3(C)CC4	Training	0
889	84-74-2	O=C(OCCCC)c1ccccc1(C(=O)OCCCC)	Training	0
890	84603-60-1	O(c1ccc4c(c1(OC))CN3CCc2cc5OCOc5(cc2C3C4))C	Training	0
891	84604-20-6	O=C4c5c(O)cc(O)cc5(OC(c1ccc2OC(CO)C(Oc2(c1))c3ccc(O)c(OC)c3)C4(O))	Training	0
892	88-21-1	O=S(=O)(O)c1ccccc1(N)	Training	0
893	89-57-6	O=C(O)c1cc(N)ccc1(O)	Training	0
894	89-78-1	OC1CC(C)CCC1(C(C)C)	Training	0
895	89-82-7	O=C1C(=C(C)C)CCC(C)C1	Training	0
896	9000-38-8	O=C2OC(C=CC=1C=CCCC=1)CC(OC)=C2	Training	0
898	92-84-2	c1ccc3c(c1)Nc2ccccc2S3	Training	0
899	93-83-4	O=C(N(CCO)CCO)CCCCCCCC=CCCCCCCCC	Training	0
900	95-48-7	Oc1ccccc1C	Training	0
901	95-94-3	c1c(c(cc(c1Cl)Cl)Cl)Cl	Training	0
902	96-23-1	OC(CCl)CCl	Training	0
903	98-00-0	OCc1occc1	Training	0
904	98-29-3	Oc1ccc(cc1(O))C(C)(C)C	Training	0
905	98-56-6	FC(F)(F)c1ccc(cc1)Cl	Training	1
906	99-97-8	c1cc(ccc1N(C)C)C	Training	0
907	99-99-0	O=[N+]([O-])c1ccc(cc1)C	Training	0
908	NO CAS	n1cc(cc2c1nc(N)n2C)c3ccccc3	Training	1
910	119-93-7	Nc1ccc(cc1C)c2ccc(N)c(c2)C	Training	0
911	79-44-7	O=C(N(C)C)Cl	Training	0
912	64-17-5	OCC	Training	0
913	50-00-0	O=C	Training	0
914	13552-44-8	Nc1ccc(cc1)Cc2ccc(N)cc2	Training	1
915	50-06-6	O=C2NC(=O)C(c1ccccc1)(C(=O)N2)CC	Training	1
916	59-88-1	NNc1ccccc1	Training	1
917	137-30-4	C(N(C)C)(=S)S	Training	1
918	65501-25-9	O=C(O)CN(CC(=O)O)CCN(CC(=O)O)CC(=O)O	Training	0
919	298-00-0	O=[N+]([O-])c1ccc(OP(OC)(OC)=S)cc1	Training	1
920	590-00-1	O=C(O)C=CC=CC	Training	0
922	92-67-1	Nc1ccc(cc1)c2ccccc2	Training	1
923	226940-14-3	N(=Nc1cc(OC)c(N)cc1(OC))c2cccc(c2)[N+](C)(C)C	Training	0
925	106-47-8	Nc1ccc(cc1)Cl	Training	1
926	571-58-4	c1ccc2c(c1)c(ccc2C)C	Training	0
927	3100-04-7	C1=C(C)C1	Training	0
928	86-86-2	O=C(N)Cc2cccc1ccccc12	Training	0
930	1214-39-7	n2cnc(NCc1ccccc1)c3[nH]cnc23	Training	0
931	57960-19-7	O=C(OC=1C(=O)c2ccccc2(C(=O)C=1CCCCCCCCCCCC))C	Training	0
932	74070-46-5	O=[N+]([O-])c2ccc(Oc1ccccc1)c(c2(N))Cl	Training	0
933	101007-06-1	N#CC(OC(=O)C1C(C=CC(=O)OC(C(F)(F)F)C(F)(F)F)C1(C)(C))c3cccc(Oc2ccccc2)c3	Training	0
934	120923-37-7	O=C(Nc1nc(OC)cc(n1)OC)NS(=O)(=O)N(C)S(=O)(=O)C	Training	0
935	150114-71-9	O=C(O)c1nc(cc(N)c1Cl)Cl	Training	0
936	348635-87-0	O=S(=O)(c1ncn(n1)S(=O)(=O)N(C)C)n3c2cc(F)ccc2c(c3C)Br	Training	0
937	131860-33-8	N#Cc3ccccc3(Oc2ncnc(Oc1ccccc1C(=COC)C(=O)OC)c2)	Training	0
939	1861-40-1	O=[N+]([O-])c1cc(cc(c1N(CC)CCCC)[N+](=O)[O-])C(F)(F)F	Training	0
940	82560-54-1	O=C(Oc2cccc1c2(OC(C)(C)C1))N(C)SN(CCC(=O)OCC)C(C)C	Training	0
941	94-82-6	O=C(O)CCCOc1ccc(cc1Cl)Cl	Training	0
942	177406-68-7	O=C(OC(C)C)NC(C(=O)NC(c2nc1ccc(F)cc1s2)C)C(C)C	Training	0
943	55179-31-2	OC(C(Oc1ccc(cc1)c2ccccc2)n3ncnc3)C(C)(C)C	Training	0
944	581809-46-3	O=C(Nc2ccc(F)cc2(c1ccc(c(c1)Cl)Cl))c3cn(nc3C(F)F)C	Training	0
945	116255-48-2	n1cnn(c1)CC2(OCC(C2)Br)(c3ccc(cc3Cl)Cl)	Training	0
946	41483-43-6	O=S(=O)(Oc1nc(nc(c1CCCC)C)NCC)N(C)C	Training	0
947	69327-76-0	O=C2N(c1ccccc1)CSC(=NC(C)(C)C)N2C(C)C	Training	0
948	16118-49-3	O=C(OC(C(=O)NCC)C)Nc1ccccc1	Training	0
949	120162-55-2	O=C(Nc1nc(OC)cc(n1)OC)NS(=O)(=O)c2c(cnn2C)c3nnn(n3)C	Training	0
950	25057-89-0	O=C1c2ccccc2(NS(=O)(=O)N1C(C)C)	Training	0
951	65731-84-2	N#CC(OC(=O)C1C(C=C(Cl)Cl)C1(C)(C))c3cccc(Oc2ccccc2)c3	Training	0
952	42576-02-3	O=C(OC)c2cc(Oc1ccc(cc1Cl)Cl)ccc2[N+](=O)[O-]	Training	0
953	105512-06-9	O=C(OCC#C)C(Oc2ccc(Oc1ncc(cc1(F))Cl)cc2)C	Training	0
954	81777-89-1	O=C1N(OCC1(C)C)Cc2ccccc2Cl	Training	0
955	51338-27-3	O=C(OC)C(Oc2ccc(Oc1ccc(cc1Cl)Cl)cc2)C	Training	0
956	64902-72-3	O=C(Nc1nc(nc(n1)C)OC)NS(=O)(=O)c2ccccc2Cl	Training	0
957	1702-17-6	O=C(O)c1nc(ccc1Cl)Cl	Training	0
958	5234-68-4	O=C(Nc1ccccc1)C2=C(OCCS2)C	Training	0
959	15165-67-0	O=C(O)C(Oc1ccc(cc1Cl)Cl)C	Training	0
960	83164-33-4	O=C(Nc1ccc(F)cc1(F))c3cccnc3(Oc2cccc(c2)C(F)(F)F)	Training	0
961	66215-27-8	n1c(nc(nc1N)NC2CC2)N	Training	0
962	99-30-9	O=[N+]([O-])c1cc(c(N)c(c1)Cl)Cl	Training	0
963	7173-51-5	CCCCCCCCCC[N+](C)(C)CCCCCCCCCC	Training	0
964	74115-24-5	n1nc(nnc1c2ccccc2Cl)c3ccccc3Cl	Training	0
965	85-00-7	c1cc[n+]3c(c1)c2cccc[n+]2CC3	Training	0
966	31717-87-0	O1C(C)CN(CC1C)C2CCCCCCCCCCC2	Training	0
967	2439-10-3	N=C(N)NCCCCCCCCCCCC	Training	0
968	106325-08-0	Fc1ccc(cc1)C3(OC3(c2ccccc2Cl))(Cn4ncnc4)	Training	0
969	1918-00-9	O=C(O)c1c(OC)c(ccc1Cl)Cl	Training	0
971	2593-15-9	n1c(nsc1OCC)C(Cl)(Cl)Cl	Training	0
972	180409-60-3	O=C(N=C(NOCC1CC1)c2c(F)c(F)ccc2C(F)(F)F)Cc3ccccc3	Training	0
973	94361-06-5	OC(c1ccc(cc1)Cl)(Cn2ncnc2)C(C)C3CC3	Training	0
974	121552-61-2	n1c(nc(cc1C)C2CC2)Nc3ccccc3	Training	0
975	50563-36-5	O=C(N(c1c(cccc1C)C)CCOC)CCl	Training	0
976	87130-20-9	O=C(OC(C)C)Nc1ccc(OCC)c(OCC)c1	Training	0
977	80844-07-1	O(c1ccccc1)c2cccc(c2)COCC(c3ccc(OCC)cc3)(C)C	Training	0
978	149961-52-4	O=C(NC)C(=NOC)c1ccccc1COc2cc(ccc2C)C	Training	0
979	82657-04-3	O=C(OCc2cccc(c1ccccc1)c2C)C3C(C=C(C(F)(F)F)Cl)C3(C)(C)	Training	0
980	122-39-4	c1ccc(cc1)Nc2ccccc2	Training	0
981	125401-92-5	O=C(O)c3c(Oc1nc(OC)cc(n1)OC)cccc3(Oc2nc(OC)cc(n2)OC)	Training	0
982	97780-06-8	O=C(OC)c1ccccc1S(=O)(=O)NC(=O)Nc2nc(nc(n2)NC)OCC	Training	0
983	13194-48-4	O=P(OCC)(SCCC)SCCC	Training	1
984	3347-22-6	N#CC2=C(C#N)SC=1C(=O)c3ccccc3(C(=O)C=1S2)	Training	0
985	1861-32-1	O=C(OC)c1c(c(c(C(=O)OC)c(c1Cl)Cl)Cl)Cl	Training	0
986	98243-83-5	O=C(OC)C(N(C(=O)Cc1ccccc1)c2c(cccc2C)C)C	Training	0
987	736994-63-1	N#Cc3cc(C(=O)NC)c(NC(=O)c2cc(nn2(c1ncccc1Cl))Br)c(c3)C	Training	0
988	500008-45-7	O=C(Nc1c(cc(cc1C)Cl)C(=O)NC)c3cc(nn3(c2ncccc2Cl))Br	Training	0
989	1563-66-2	O=C(Oc2cccc1c2(OC(C)(C)C1))NC	Training	0
990	1698-60-8	O=C1C(=C(N)C=NN1c2ccccc2)Cl	Training	0
991	143807-66-3	O=C(NN(C(=O)c1cc(cc(c1)C)C)C(C)(C)C)c3ccc2OCCCc2c3C	Training	0
992	999-81-5	C[N+](C)(C)CCCl	Training	0
993	400882-07-7	N#CC(C(=O)OCCOC)(C(=O)c1ccccc1C(F)(F)F)c2ccc(cc2)C(C)(C)C	Training	0
994	128639-02-1	O=C(OCC)C(Cc1cc(c(F)cc1Cl)N2N=C(N(C2(=O))C(F)F)C)Cl	Training	0
995	330-54-1	O=C(Nc1ccc(c(c1)Cl)Cl)N(C)C	Training	0
996	101205-02-1	O=C1C(=C(O)CC(C1)C2CCCSC2)C(=NOCC)CCC	Training	0
997	26225-79-6	O=S(=O)(Oc1ccc2OC(OCC)C(c2(c1))(C)C)C	Training	1
998	120928-09-8	n1cnc3ccccc3(c1OCCc2ccc(cc2)C(C)(C)C)	Training	0
999	134098-61-6	O=C(OC(C)(C)C)c1ccc(cc1)CON=Cc3c(nn(c3(Oc2ccccc2))C)C	Training	0
1000	533-74-4	C1(N(C)CN(C)CS1)(=S)	Training	1
1001	79241-46-6	O=C(OCCCC)C(Oc2ccc(Oc1ncc(cc1)C(F)(F)F)cc2)C	Training	0
1002	131341-86-1	N#Cc1c[nH]cc1c3cccc2OC(F)(F)Oc23	Training	0
1003	101463-69-8	O=C(NC(=O)c1c(F)cccc1(F))Nc3ccc(Oc2ccc(cc2Cl)C(F)(F)F)cc3(F)	Training	0
1004	119446-68-3	n1cnn(c1)CC2(OCC(O2)C)c4ccc(Oc3ccc(cc3)Cl)cc4Cl	Training	0
1005	83121-18-0	O=C(NC(=O)c1c(F)cccc1(F))Nc2cc(c(F)c(c2(F))Cl)Cl	Training	0
1006	77182-82-2	O=C(O)C(N)CCP(=O)(O)C	Training	0
1007	100784-20-1	O=C(OC)c1c(nn(c1S(=O)(=O)NC(=O)Nc2nc(OC)cc(n2)OC)C)Cl	Training	0
1008	112281-77-3	FC(F)C(F)(F)OCC(c1ccc(cc1Cl)Cl)Cn2ncnc2	Training	0
1009	239110-15-7	O=C(NCc1ncc(cc1Cl)C(F)(F)F)c2c(cccc2Cl)Cl	Training	0
1010	335104-84-2	O=C(c1ccc(c(c1Cl)COCC(F)(F)F)S(=O)(=O)C)C2C(=O)CCCC2(=O)	Training	0
1011	907204-31-3	O=C(Nc2ccccc2(c1cc(F)c(F)c(F)c1))c3cn(nc3C(F)F)C	Training	0
1012	79277-27-3	O=C(OC)c1c(ccs1)S(=O)(=O)NC(=O)Nc2nc(nc(n2)C)OC	Training	0
1013	133-07-3	O=C1c2ccccc2(C(=O)N1SC(Cl)(Cl)Cl)	Training	0
1014	145701-23-1	O=S(=O)(Nc1c(F)cccc1(F))c2nc3c(F)cnc(OC)n3(n2)	Training	0
1015	35554-44-0	n1ccn(c1)CC(OCC=C)c2ccc(cc2Cl)Cl	Training	0
1016	81335-37-7	O=C(O)c2cc3ccccc3(nc2(C1=NC(C(=O)N1)(C)C(C)C))	Training	0
1017	125225-28-7	OC3(Cn1ncnc1)(C(Cc2ccc(cc2)Cl)CCC3(C(C)C))	Training	0
1018	143390-89-0	O=C(OC)C(=NOC)c1ccccc1COc2ccccc2C	Training	0
1019	NO CAS	O=C(OC(C)C)NC(C(=O)NC(c1ccc(cc1)C)C)C(C)C	Training	0
1020	82558-50-7	O=C(Nc1onc(c1)C(C)(CC)CC)c2c(OC)cccc2(OC)	Training	1
1021	2164-08-1	O=C1NC3=C(C(=O)N1C2CCCCC2)CCC3	Training	0
1022	133-32-4	O=C(O)CCCc2c[nH]c1ccccc12	Training	0
1023	108-62-3	O1C(OC(OC(OC1C)C)C)C	Training	0
1024	3060-89-7	O=C(Nc1ccc(cc1)Br)N(OC)C	Training	0
1025	137641-05-5	O=C(Nc1ccc(F)cc1)c3nc(Oc2cccc(c2)C(F)(F)F)ccc3	Training	0
