id		smiles	status	exp values
138		O=C5C=CC3(C(=CCC2C4CC1OC(OC1(C(=O)CO)C4(C)(CC(O)C23))CCC)C5)(C)	Training	0.3606
139		O=C(O)C4N3C(=O)C(NC(=O)c2c(OCC)ccc1ccccc12)C3SC4(C)(C)	Training	0.3606
140		O=C2C=NC(c1ccccc1)c3cc(ccc3(N2))[N+](=O)[O-]	Test	0.3606
141		O=C(O)c1ccc(cc1)S(=O)(=O)N(CCC)CCC	Training	0.3606
142		OC(COc1cccc2ccccc12)CNC(C)C	Training	0.3606
143		C#CCN(C)C(C)Cc1ccccc1	Training	0.3606
144		N(=C1c3ccc(cc3(Nc2ccc(OC)cc12))Cl)C(C)CCCN(CC)CC	Training	0.3606
145		O=C(O)C(N)Cc1ccc(cc1)N(CCCl)CCCl	Training	0.3742
146		OC(COc1cccc2c1CC(O)C(O)C2)CNC(C)(C)C	Test	0.9274
147		O=C(OC2C(O)(C(=O)OC)C5N(c1cc(OC)c(cc1C45(CCN3CC=CC2(CC)C34))C9(C(=O)OC)(c7[nH]c6ccccc6c7CCN8CC(CC(O)(C8)CC)C9))C)C	Training	0.3742
148		O=C1C=NC(c2cc(ccc2(N1))[N+](=O)[O-])c3ccccc3Cl	Test	0.3873
149		O=S(=O)(c1ccccc1)CCc2ccc3[nH]cc(c3(c2))CC4N(C)CCC4	Training	0.3873
150		O=C(OCC)NC=2C=CC(=NCc1ccc(F)cc1)NC=2(N)	Test	0.3873
151		O=C(N(c1ccc(cc1)Cl)C2CCN(CC2)C(C)C)Cc3ccccc3	Test	0.3873
152		n1cccc3c1N4CCN(C)CC4(c2ccccc2C3)	Test	0.3873
153		OC1C(OCC(O)(C)C1(NC))OC3C(O)C(OC2OC(=CCC2(N))CN)C(N)CC3(N)	Training	0.3873
