ID	CAS	SMILES	Status	Exp_class
321	297-76-7	O=C(OC4C=C3CCC2C(CCC1(C)(C2(CCC1(C#C)(OC(=O)C))))C3CC4)C	Training	0
322	41340-25-4	O=C(O)CC2(OCCc1c3cccc(c3([nH]c12))CC)CC	Training	0
323	97-53-0	Oc1ccc(cc1(OC))CC=C	Test	0
324	55-38-9	O(c1ccc(c(c1)C)SC)P(OC)(OC)=S	Training	0
325	51630-58-1	N#CC(OC(=O)C(c1ccc(cc1)Cl)C(C)C)c3cccc(Oc2ccccc2)c3	Training	0
326	86386-73-4	Fc1ccc(c(F)c1)C(O)(Cn2ncnc2)Cn3ncnc3	Training	1
327	2164-17-2	O=C(Nc1cccc(c1)C(F)(F)F)N(C)C	Training	0
328	363-17-7	O=C(Nc2ccc3c1ccccc1Cc3(c2))C(F)(F)F	Training	1
329	398-32-3	O=C(Nc1ccc(cc1)c2ccc(F)cc2)C	Training	1
330	69112-98-7	O=NN(C(=O)N)CCF	Training	1
331	51-21-8	O=C1NC=C(F)C(=O)N1	Test	0
332	93957-54-1	O=C(O)CC(O)CC(O)C=Cc3c(c1ccc(F)cc1)c2ccccc2n3C(C)C	Training	1
333	50-00-0	O=C	Test	1
334	31873-81-1	O=CNNc1nc(cs1)c2occc2	Training	0
335	32852-21-4	O=CNNc1nc(cs1)C	Test	1
336	3570-75-0	O=CNNc1nc(cs1)c2oc(cc2)[N+](=O)[O-]	Training	1
337	2302-84-3	O=CNNC(N)=S	Training	0
338	116355-83-0	O=C(O)CC(C(=O)O)CC(=O)OC(CC(C)CCC)C(OC(=O)CC(C(=O)O)CC(=O)O)CC(C)CC(O)CCCCC(O)CC(O)C(N)C	Training	1
339	2411-74-7	O=C(N)NN=Cc1occc1	Test	0
340	110-00-9	o1cccc1	Training	1
341	98-01-1	O=Cc1occc1	Test	1
