ID	CAS	SMILES VEGA	Status	Exp. endpoint
108	000072-55-9	c1cc(ccc1C(c2ccc(cc2)Cl)=C(Cl)Cl)Cl	Training	4.8806
109	000072-69-5	C=1C=CC=3C(C=1)=CCc2ccccc2C=3CCCNC	Training	1.4771
110	000073-31-4	O=C(NCCc2c[nH]c1ccc(OC)cc12)C	Training	-0.1498
111	000073-48-3	O=S(=O)(N)c1cc2c(cc1C(F)(F)F)NC(NS2(=O)(=O))Cc3ccccc3	Training	0.9294
112	000074-55-5	OCC(NCCNC(CO)CC)CC	Training	0.4914
113	000075-01-4	C=CCl	Training	-1
114	000075-69-4	FC(Cl)(Cl)Cl	Training	0.1761
115	000075-71-8	FC(F)(Cl)Cl	Training	0.1761
116	000076-25-5	O=C1C=CC4(C(=C1)CCC3C5CC2OC(OC2(C(=O)CO)C5(C)(CC(O)C34(F)))(C)C)(C)	Training	0.3802
117	000076-41-5	O=C1CCC5(O)(C4N(C)CCC25(c3c(OC12)c(O)ccc3C4))	Training	0.1139
118	000076-42-6	O=C1CCC5(O)(C4N(C)CCC25(c3c(OC12)c(OC)ccc3C4))	Training	0.7404
119	000076-43-7	O=C3C=C2CCC1C4CCC(O)(C)C4(C)(CC(O)C1(F)C2(C)CC3)	Training	0.9638
120	000076-57-3	O=C1CCC5C4N(C)CCC25(c3c(OC12)c(OC)ccc3C4)	Training	0.6021
121	000076-74-4	O=C1NC(=O)C(C(=O)N1)(CC)C(C)CCC	Training	1.3424
122	000076-75-5	O=C1NC(NC(=O)C1(CC)C(C)CCC)=S	Training	0.301
123	000076-99-3	O=C(CC)C(c1ccccc1)(c2ccccc2)CC(N(C)C)C	Training	1.4914
124	000077-07-6	Oc1ccc2c(c1)C34(CCN(C)C(C2)C4(CCCC3))	Training	1.1303
125	000077-10-1	c1ccc(cc1)C3(N2CCCCC2)(CCCCC3)	Training	1.2041
126	000077-21-4	O=C2NC(=O)C(c1ccccc1)(CC)CC2	Training	1.0414
127	000077-26-9	O=C1NC(=O)C(C(=O)N1)(CC=C)CC(C)C	Training	1.5441
128	000077-28-1	O=C1NC(=O)C(C(=O)N1)(CC)CCCC	Training	1.5682
129	000077-36-1	O=C2NC(O)(c1ccc(c(c1)S(=O)(=O)N)Cl)c3ccccc23	Training	1.5563
130	000077-37-2	OC(c1ccccc1)(CCN2CCCC2)C3CCCCC3	Training	1.0792
131	000077-41-8	O=C2N(C(=O)C(c1ccccc1)(C)C2)C	Training	0.301
132	000077-67-8	O=C1NC(=O)C(C)(C1)CC	Training	1.7243
133	000078-44-4	O=C(OCC(C)(COC(=O)NC(C)C)CCC)N	Training	0.9031
134	000078-93-3	O=C(C)CC	Training	0.0792
135	000079-01-6	C(=C(Cl)Cl)Cl	Training	1.6021
136	000079-43-6	O=C(O)C(Cl)Cl	Training	-0.1871
137	000079-94-7	Oc1c(cc(cc1Br)C(c2cc(c(O)c(c2)Br)Br)(C)C)Br	Training	2.3283
138	000080-05-7	Oc1ccc(cc1)C(c2ccc(O)cc2)(C)C	Training	0.301
139	000080-08-0	O=S(=O)(c1ccc(N)cc1)c2ccc(N)cc2	Training	1.3424
140	000083-43-2	O=C4C=CC2(C(=C(C)CC1C3CCC(O)(C(=O)CO)C3(C)(CC(O)C12))C4)(C)	Training	0.3617
141	000083-89-6	n2c1ccc(OC)cc1c(NC(C)CCCN(CC)CC)c3ccc(cc23)Cl	Training	2.0792
142	000083-98-7	O(CCN(C)C)C(c1ccccc1)c2ccccc2C	Training	1.2175
143	000085-68-7	O=C(OCc1ccccc1)c2ccccc2(C(=O)OCCCC)	Training	-0.6021
144	000086-35-1	O=C2NC(c1ccccc1)=C(O)N2CC	Training	0.7782
145	000086-42-0	Oc1ccc(cc1CN(CC)CC)Nc3ccnc2cc(ccc23)Cl	Training	0.8129
146	000086-50-0	O=C1c2ccccc2(N=NN1CSP(OC)(OC)=S)	Training	1.4771
147	000086-54-4	n1nc(NN)c2ccccc2(c1)	Training	-0.0177
148	000087-08-1	O=C(O)C3N2C(=O)C(NC(=O)COc1ccccc1)C2SC3(C)(C)	Training	-0.0757
149	000087-33-2	O=[N+]([O-])OC1COC2C(O[N+](=O)[O-])COC12	Training	0.227
150	000087-61-6	c1cc(c(c(c1)Cl)Cl)Cl	Training	1.6812
151	000087-86-5	Oc1c(c(c(c(c1Cl)Cl)Cl)Cl)Cl	Training	1.4771
152	000089-57-6	O=C(O)c1cc(N)ccc1(O)	Training	-0.2147
153	000090-34-6	n1cccc2cc(OC)cc(NC(C)CCCN)c12	Training	0.8513
154	000090-82-4	OC(c1ccccc1)C(NC)C	Training	1.0969
155	000090-89-1	O=C(N(CC)CC)N1CCN(C)CC1	Training	0.9031
156	000091-80-5	n1ccccc1N(Cc2cccs2)CCN(C)C	Training	0.2041
157	000092-52-4	c1ccc(cc1)c2ccccc2	Training	0.2782
158	000093-14-1	OCC(O)COc1ccccc1(OC)	Training	0
159	000094-20-2	O=C(NCCC)NS(=O)(=O)c1ccc(cc1)Cl	Training	1.6628
160	000094-75-7	O=C(O)COc1ccc(cc1Cl)Cl	Training	1.5185
161	000095-47-6	c1ccc(c(c1)C)C	Training	1.5855
162	000096-88-8	O=C(Nc1c(cccc1C)C)C2N(C)CCCC2	Training	0.301
163	000098-95-3	O=[N+]([O-])c1ccccc1	Training	1.7782
164	000098-96-4	O=C(N)c1nccnc1	Training	0.9777
165	000099-66-1	O=C(O)C(CCC)CCC	Training	1.0792
166	000100-00-5	O=[N+]([O-])c1ccc(cc1)Cl	Training	2.3345
167	000100-01-6	O=[N+]([O-])c1ccc(N)cc1	Training	0.301
168	000100-33-4	N=C(N)c2ccc(OCCCCCOc1ccc(cc1)C(=N)N)cc2	Training	1.3979
169	000100-92-5	c1ccc(cc1)CC(NC)(C)C	Training	1.243
170	000101-84-8	O(c1ccccc1)c2ccccc2	Training	1.9243
171	000103-90-2	O=C(Nc1ccc(O)cc1)C	Training	0.3979
172	000104-29-0	OCC(O)COc1ccc(cc1)Cl	Training	0.5623
