id 	cas	smiles	status	exp value
348		n1n[nH]c(n1)c5ccccc5(c2ccc(cc2)Cn3c4ncccc4(nc3CCCC))	Training	1
349		O=C(O)Cn2c(cc1cc(cc(c12)C)C)C(=O)Nc5nc(c3cc(OC)c(cc3(OC))Cl)c(CCC4CCCCC4)s5	Training	1
350		O=C1c5ccccc5(C(=O)N1CCc2noc(n2)c4ccc(CN3CCCCCC3)s4)	Test	1
351		OC(C)CN(CCN(CC(O)C)CC(O)C)CC(O)C	Training	1
352		O=S(=O)(N)c1ccc(cc1)n3nc(cc3(c2ccc(cc2)C))C(F)(F)F	Training	1
353		C=CCCCCCCCCCCCC	Training	1
354		O(c1ccc(cc1)C(c2ccccc2)=C(c3ccccc3)Cl)CCN(CC)CC	Training	1
355		O=C1C=C3C(=CC=C1(OC))c2c(OC)c(OC)c(OC)cc2CCC3(NC(=O)C)	Training	1
356		O=[N+]([O-])C(CO)(CO)Br	Training	1
357		O=C(O)C2(C(=O)Nc1ccc(cc1Cl)Cl)(CC2)	Training	1
358		O=C1C=C(Cl)SN1C	Training	1
359		O=C(Oc1cccc2ccccc12)NC	Training	1
360		O=[N+]([O-])c1ccc(c(N)c1)C	Training	1
361		O=C1N(C(=O)C2CC=CCC12)SC(Cl)(Cl)Cl	Training	1
362		N#Cc1cccc(F)c1c2cc(ccc2(F))c4cnc3nc(cnn34)C(O)(C)C	Training	1
363		O=C(O)COc1ccc(cc1CC)SCc3c(nc(c2ccc(cc2)C(F)(F)F)s3)CN5CCN(c4ccc(OC)cc4)CC5	Training	1
364		N#Cc2nc(c(c1ccc(cc1)C)n2S(=O)(=O)N(C)C)Cl	Training	1
365		O=C5OC2CC(OC1(OC(C(C=C1)C)C(C)CC)C2)CC=C(C)C(OC4OC(C)C(OC3OC(C)C(O)C(OC)C3)C(OC)C4)C(C=CC=C6COC7C(O)C(=CC5C67(O))C)C	Training	1
366		OCCCCCCCCCCCCCCCC	Training	1
367		O=C(Nn2cc(c1cc(F)ccc12)C)c3cnc(nc3C)c4ncccc4	Training	1
368		O=C(O)CCCCn3c1ccccc1c(c2cnccc2)c3C	Test	1
369		N#CC(c1ccc(cc1)Cl)(Cn2ncnc2)CCCC	Training	1
370		O=C1c3ccccc3(C(=O)c2cc(N)ccc12)	Training	1
371		O=C2N(c1nc(ncc1CN2c3ccccc3Br)Nc4ccc5OC(CO)COc5(c4))C	Test	1
372		O=C(N)CN2C(=O)C=C(c1ccc(F)cc12)CCN5CCN(c4nccc3c4(ccs3))CC5	Test	1
373		n1cccc2cc(ccc12)C	Test	1
374		Oc1ccccc1C	Training	1
375		O=C(OCCCC)c1ccc(O)cc1	Training	1
376		O=C(N)c1nc(n[nH]1)c2cccc(c2)c3cc(F)ccc3(OCC(F)(F)C(F)(F)F)	Training	1
377		O=[N+]([O-])c1ccc(N)cc1	Training	1
