Id	CAS number	VEGA SMILES	Status	Exp
1167	645-09-0	O=C(N)c1cccc(c1)[N+](=O)[O-]	Training	0
1168	55-21-0	O=C(N)c1ccccc1	Training	0
1169	88-96-0	O=C(N)c1ccccc1(C(=O)N)	Training	0
1170	88-68-6	O=C(N)c1ccccc1(N)	Training	0
1171	65-45-2	O=C(N)c1ccccc1(O)	Training	0
1172	938-73-8	O=C(N)c1ccccc1(OCC)	Training	0
1173	53370-90-4	O=C(N)c1ccccc1(OCCCCCC)	Training	0
1174	527-85-5	O=C(N)c1ccccc1C	Training	0
1175	610-15-1	O=C(N)c1ccccc1[N+](=O)[O-]	Training	0
1176	1453-82-3	O=C(N)c1ccncc1	Training	0
1177	98-92-0	O=C(N)c1cnccc1	Training	0
1178	98-96-4	O=C(N)c1nccnc1	Training	0
1179	2627-69-2	O=C(N)c1ncn(c1(N))C2OC(CO)C(O)C2(O)	Training	0
1180	50924-49-7	O=C(N)c1ncn(c1(O))C2OC(CO)C(O)C2(O)	Training	0
1181	85622-93-1	O=C(N)c1ncn2C(=O)N(N=Nc12)C	Training	0
1182	106308-44-5	O=C(N)c1nnn(c1)Cc2c(F)cccc2(F)	Training	0
1183	38103-61-6	O=C(N)c2ccc(OCCNCC(O)COc1ccccc1C)cc2	Training	0
1184	68377-91-3	O=C(N)c2ccc(c1nc(sc1)SCC(O)CNC(C)(C)C)s2	Training	0
1186	31224-92-7	O=C(N1CCCCC1)COc2ccc(cc2)C(=NO)C	Training	0
1187	2212-67-1	O=C(N1CCCCCC1)SCC	Training	0
1188	54-91-1	O=C(N1CCN(C(=O)CCBr)CC1)CCBr	Training	0
1189	10001-13-5	O=C(N1CCN(C)CC1)C2CCCCC2	Training	0
1190	35941-71-0	O=C(N1CCN(CCO)CC1)CN3c2cc(ccc2SC3(=O))Cl	Training	0
1191	105219-56-5	O=C(N1CCOCC1)CCc4cc3C(=NCc2nnc(n2c3s4)C)c5ccccc5Cl	Training	0
1192	63074-08-8	O=C(N3CCN(c1nc(N)c2cc(OC)c(OC)cc2(n1))CC3)C4OCCC4	Training	0
1193	52712-76-2	O=C(N3CCN(c1nc(N)c2cc(OC)c(OC)cc2(n1))CCC3)CCC	Training	0
1194	554-57-4	O=C(N=C1N(N=C(S1)S(=O)(=O)N)C)C	Training	0
1195	123-77-3	O=C(N=NC(=O)N)N	Training	0
1196	2449-05-0	O=C(N=NC(=O)OCc1ccccc1)OCc2ccccc2	Training	0
1197	29520-14-7	O=C(NC(=N)N)Cc1c(cccc1Cl)Cl	Training	0
1198	66871-56-5	O=C(NC(=N)NC)Nc1c(cccc1C)C	Training	0
1199	13402-08-9	O=C(NC(=O)C)NC(=O)C(c1ccccc1)CC	Training	0
1200	5663-71-8	O=C(NC(=O)C)c1ccccc1(O)	Training	0
1201	83121-18-0	O=C(NC(=O)c1c(F)cccc1(F))Nc2cc(c(F)c(c2(F))Cl)Cl	Training	0
1202	103055-07-8	O=C(NC(=O)c1c(F)cccc1(F))Nc2cc(c(OC(F)(F)C(F)C(F)(F)F)cc2Cl)Cl	Training	0
1203	86479-06-3	O=C(NC(=O)c1c(F)cccc1(F))Nc2cc(c(OC(F)(F)C(F)F)c(c2)Cl)Cl	Training	0
1204	116714-46-6	O=C(NC(=O)c1c(F)cccc1(F))Nc2ccc(OC(F)(F)C(F)OC(F)(F)F)c(c2)Cl	Training	0
1205	35367-38-5	O=C(NC(=O)c1c(F)cccc1(F))Nc2ccc(cc2)Cl	Training	0
1206	86811-58-7	O=C(NC(=O)c1c(F)cccc1(F))Nc3ccc(c(Oc2ncc(cc2Cl)C(F)(F)F)c3)Cl	Training	0
1207	64628-44-0	O=C(NC(=O)c1ccccc1Cl)Nc2ccc(OC(F)(F)F)cc2	Training	0
1208	23950-58-5	O=C(NC(C#C)(C)C)c1cc(cc(c1)Cl)Cl	Training	0
1209	1264-72-8	O=C(NC(C(=O)NC(C(=O)NC(C(=O)NC1C(=O)NC(C(=O)NC(C(=O)NC(C(=O)NC(C(=O)NC(C(=O)NC(C(=O)NCC1)C(O)C)CCN)CCN)CC(C)C)CC(C)C)CCN)CCN)C(O)C)CCN)CCCCC(C)CC	Training	0
1210	859-18-7	O=C(NC(C(O)C)C1OC(C(O)C(O)C1(O))SC)C2N(C)CC(CCC)C2	Training	0
1211	36734-19-7	O=C(NC(C)C)N2C(=O)N(c1cc(cc(c1)Cl)Cl)C(=O)C2	Training	0
1212	4128-37-4	O=C(NC(C)C)NC(C)C	Training	0
1213	56211-40-6	O=C(NC(C)C)NS(=O)(=O)c2cnccc2(Nc1cccc(c1)C)	Training	0
1214	366-70-1	O=C(NC(C)C)c1ccc(cc1)CNNC	Training	0
1215	30391-89-0	O=C(NC(C)C)c1ccccc1(N)	Training	0
1217	60-79-7	O=C(NC(C)CO)C4C=C3c2cccc1[nH]cc(c12)CC3N(C)C4	Training	0
1218	32295-18-4	O=C(NC(C)Cc1ccccc1)NS(=O)(=O)c2ccc(cc2)C	Training	0
1219	60668-24-8	O=C(NC(C)P(=O)(O)O)C(N)C	Training	0
1220	21462-39-5	O=C(NC(C1OC(C(O)C(O)C1(O))SC)C(C)Cl)C2N(C)CC(CCC)C2	Training	0
1221	24729-96-2	O=C(NC(C1OC(C(OP(=O)(O)O)C(O)C1(O))SC)C(C)Cl)C2N(C)CC(CCC)C2	Training	0
1222	518048-05-0	O=C(NC(C2=NC(C(=O)NCc1ccc(F)cc1)=C(O)C(=O)N2C)(C)C)c3nnc(o3)C	Training	0
1223	73231-34-2	O=C(NC(CF)C(O)c1ccc(cc1)S(=O)(=O)C)C(Cl)Cl	Training	0
1224	15318-45-3	O=C(NC(CO)C(O)c1ccc(cc1)S(=O)(=O)C)C(Cl)Cl	Training	0
1225	56-75-7	O=C(NC(CO)C(O)c1ccc(cc1)[N+](=O)[O-])C(Cl)Cl	Training	0
1226	361-37-5	O=C(NC(CO)CC)C4C=C3c1cccc2c1c(cn2C)CC3N(C)C4	Training	0
1227	113-42-8	O=C(NC(CO)CC)C4C=C3c2cccc1[nH]cc(c12)CC3N(C)C4	Training	0
1228	60166-93-0	O=C(NC(CO)CO)c1c(c(NC(=O)C(O)C)c(c(C(=O)NC(CO)CO)c1I)I)I	Training	0
1229	85468-01-5	O=C(NC(O)C(=O)NCCCCNCCCN)CCCCCCNC(=N)N	Training	0
1230	116-52-9	O=C(NC(O)C(Cl)(Cl)Cl)NC(O)C(Cl)(Cl)Cl	Training	0
1231	111686-79-4	O=C(NC(c1ccccc1)(C)Cc2ccccc2)CN	Training	0
1232	14417-88-0	O=C(NC(c1ccccc1)C)CCCCCCCC=CCC=CCCCCC	Training	0
1233	478263-98-8	O=C(NC(c1ccccc1)CC)c4cc(F)ccc4(NS(=O)(=O)c3cccc2cccnc23)	Training	0
1234	376348-65-1	O=C(NC(c1ccccc1)CCN2C4CCC2CC(n3c(nnc3C(C)C)C)C4)C5CCC(F)(F)CC5	Training	0
1235	79-16-3	O=C(NC)C	Training	0
1236	954-21-2	O=C(NC)C(c1ccccc1)c2ccccc2	Training	0
1237	NOCAS_47305	O=C(NC)C5OC(n2cnc1c(ncnc12)NCc4cc(ccc4(OCc3onc(c3)C))Cl)C(O)C5(N)	Training	0
1238	1113-02-6	O=C(NC)CSP(=O)(OC)OC	Training	0
1239	60-51-5	O=C(NC)CSP(OC)(OC)=S	Training	0
1240	13114-72-2	O=C(NC)N(c1ccccc1)c2ccccc2	Training	0
1241	34014-18-1	O=C(NC)N(c1nnc(C(C)(C)C)s1)C	Training	0
1242	18691-97-9	O=C(NC)N(c2nc1ccccc1s2)C	Training	0
1243	96-31-1	O=C(NC)NC	Training	0
1244	1954-79-6	O=C(NC)NC(O)C(Cl)(Cl)Cl	Training	0
1245	613-93-4	O=C(NC)c1ccccc1	Training	0
1246	319460-85-0	O=C(NC)c1ccccc1Sc2ccc3c(n[nH]c3(c2))C=Cc4ncccc4	Training	0
1247	50528-97-7	O=C(NC1=CCCN1C)Nc2c(cccc2C)C	Training	0
1248	83150-76-9	O=C(NC1C(=O)NC(C(=O)NC(C(=O)NC(C(=O)NC(C(=O)NC(C(=O)NC(CO)C(O)C)CSSC1)C(O)C)CCCCN)Cc3c[nH]c2ccccc23)Cc4ccccc4)C(N)Cc5ccccc5	Training	0
1249	1195-16-0	O=C(NC1C(=O)SCC1)C	Training	0
1250	31112-62-6	O=C(NC1C(O)OC(CO)C(O)C1(O))c2c(c(NC(=O)C)c(c(c2I)N(C(=O)C)C)I)I	Training	0
1251	93479-97-1	O=C(NC1CCC(C)CC1)NS(=O)(=O)c2ccc(cc2)CCNC(=O)N3C(=O)C(=C(C)C3)CC	Training	0
1252	1027-87-8	O=C(NC1CCCC1)NS(=O)(=O)c2ccc(cc2)C	Training	0
1253	64204-55-3	O=C(NC1CCCCC1)CN2CCNCC2	Training	0
1254	664-95-9	O=C(NC1CCCCC1)NS(=O)(=O)c2ccc(cc2)C	Training	0
1255	968-81-0	O=C(NC1CCCCC1)NS(=O)(=O)c2ccc(cc2)C(=O)C	Training	0
1256	33342-05-1	O=C(NC1CCCCC1)NS(=O)(=O)c2ccc(cc2)CCN4C(=O)c3cc(OC)ccc3C(C4(=O))(C)C	Training	0
1257	10238-21-8	O=C(NC1CCCCC1)NS(=O)(=O)c2ccc(cc2)CCNC(=O)c3cc(ccc3(OC))Cl	Training	0
1258	29094-61-9	O=C(NC1CCCCC1)NS(=O)(=O)c2ccc(cc2)CCNC(=O)c3ncc(nc3)C	Training	0
1260	1038-59-1	O=C(NC1CCCCCCC1)NS(=O)(=O)c2ccc(cc2)C	Training	0
1261	184653-84-7	O=C(NC1c2cc(ccc2(OC(C)(C)C1(O)))C(=O)C)c3ccc(F)cc3	Training	0
1265	107007-99-8	O=C(NC2CC1N(C)C(CCC1)C2)c3nn(c4ccccc34)C	Training	0
1266	99617-34-2	O=C(NC2CN1CCC2(CC1))c3cc(c(N)cc3(OC))Cl	Training	0
1267	527680-56-4	O=C(NC2CN1CCC2(CC1))c3ccc4OCCOc4(c3)	Training	0
1268	478149-53-0	O=C(NC2CN1CCC2(CC1))c3ncc4occc4(c3)	Training	0
1269	51022-98-1	O=C(NC3CC(N)C(OC1OC(CN)C(O)C(O)C1(N))C(OC2OC(CO)C(O)C2(O))C3(O))C(O)CCN	Training	0
1270	37517-28-5	O=C(NC3CC(N)C(OC1OC(CN)C(O)C(O)C1(O))C(O)C3(OC2OC(CO)C(O)C(N)C2(O)))C(O)CCN	Training	0
1271	67814-76-0	O=C(NC3CC(N)C(OC1OC(CN)C(O)C(O)C1(O))C(O)C3(OC2OCC(O)(C)C(NC)C2(O)))C(O)CN	Training	0
1272	104931-87-5	O=C(NC3CC(N)C(OC1OC(CN)CCC1(N))C(O)C3(OC2OC(CO)C(O)C(N)C2(O)))C(O)CCN	Training	0
1273	37686-84-3	O=C(NC3CN(C)C4Cc2c[nH]c1cccc(c12)C4(C3))N(CC)CC	Training	0
1274	NOCAS_47291	O=C(NC3N=C(c1ccccc1)c2cc(N)cc4c2N(C3(=O))CC4)c5cnccc5	Training	0
1275	NOCAS_47248	O=C(NC3N=C(c1ccccc1)c2cc(cc4c2N(C3(=O))CC4)C)c5ccncc5	Training	0
1276	159701-44-7	O=C(NC4C=C3c2cccc1[nH]cc(c12)CC3N(C)C4)N(CC)CC	Training	0
1277	2139-47-1	O=C(NC=2C(=O)N(c1ccccc1)N(C=2C)C)c3cnccc3	Training	0
1278	25439-20-7	O=C(NCC(=O)N(C)C)Cc1ccccc1	Training	0
1279	79455-30-4	O=C(NCC(NC(=O)c1cnccc1)C)c2cnccc2	Training	0
1280	92339-11-2	O=C(NCC(O)CO)c1c(c(C(=O)NCC(O)CO)c(c(c1I)N(C(=O)C)CC(O)CN(C(=O)C)c2c(c(C(=O)NCC(O)CO)c(c(C(=O)NCC(O)CO)c2I)I)I)I)I	Training	0
1281	66108-95-0	O=C(NCC(O)CO)c1c(c(C(=O)NCC(O)CO)c(c(c1I)N(C(=O)C)CC(O)CO)I)I	Training	0
1282	78649-41-9	O=C(NCC(O)CO)c1c(c(C(=O)NCC(O)CO)c(c(c1I)N(C(=O)CO)C)I)I	Training	0
1283	87771-40-2	O=C(NCC(O)CO)c1c(c(C(=O)NCC(O)CO)c(c(c1I)N(C(=O)CO)CCO)I)I	Training	0
1284	73334-07-3	O=C(NCC(O)CO)c1c(c(NC(=O)COC)c(c(C(=O)N(C)CC(O)CO)c1I)I)I	Training	0
1285	3092-17-9	O=C(NCC(O)c1cc(OC)ccc1(OC))CN	Training	0
1286	39711-79-0	O=C(NCC)C1CC(C)CCC1(C(C)C)	Training	0
1287	120958-90-9	O=C(NCC)NCCCOc1cccc(c1)CN2CCCCC2	Training	0
1288	84225-95-6	O=C(NCC1N(CC)CCC1)c2c(O)c(cc(c2(OC))Cl)Cl	Training	0
1289	80125-14-0	O=C(NCC1N(CC)CCC1)c2c(OC)ccc(c2(OC))Br	Training	0
1290	71675-85-9	O=C(NCC1N(CC)CCC1)c2cc(c(N)cc2(OC))S(=O)(=O)CC	Training	0
1291	23694-17-9	O=C(NCC1N(CC)CCC1)c2cc(ccc2(OC))S(=O)(=O)CC	Training	0
1292	15676-16-1	O=C(NCC1N(CC)CCC1)c2cc(ccc2(OC))S(=O)(=O)N	Training	0
1293	66644-81-3	O=C(NCC1N(CC=C)CCC1)c2cc(cc(OC)c2(OC))S(=O)(=O)N	Training	0
1294	118288-08-7	O=C(NCC=CCOc1nccc(c1)CN2CCCCC2)CS(=O)Cc3occc3	Training	0
1295	94-20-2	O=C(NCCC)NS(=O)(=O)c1ccc(cc1)Cl	Training	0
1296	196597-26-9	O=C(NCCC3c2c(ccc1OCCc12)CC3)CC	Training	0
1297	1792-17-2	O=C(NCCCC)NCCCC	Training	0
1298	339-43-5	O=C(NCCCC)NS(=O)(=O)c1ccc(N)cc1	Training	0
1299	64-77-7	O=C(NCCCC)NS(=O)(=O)c1ccc(cc1)C	Training	0
1300	162408-66-4	O=C(NCCCCN2CCN(c1ccccc1(OC))CC2)c3ccc(cc3)c4ccc(cc4)C(=O)C	Training	0
1301	5205-93-6	O=C(NCCCN(C)C)C(=C)C	Training	0
1302	81403-68-1	O=C(NCCCN(c1nc(N)c2cc(OC)c(OC)cc2(n1))C)C3OCCC3	Training	0
1303	87940-60-1	O=C(NCCCN1CCOCC1)c2ccc(cc2)Cl	Training	0
1304	16485-10-2	O=C(NCCCO)C(O)C(C)(C)CO	Training	0
1305	51410-72-1	O=C(NCCC[N+](C)(C)C)C(=C)C	Training	0
1306	3413-64-7	O=C(NCCN(CC)CC)COc1ccc(OC)cc1	Training	0
1307	1223-36-5	O=C(NCCN(CC)CC)COc1ccc(cc1)Cl	Training	0
1308	4093-35-0	O=C(NCCN(CC)CC)c1cc(c(N)cc1(OC))Br	Training	0
1309	364-62-5	O=C(NCCN(CC)CC)c1cc(c(N)cc1(OC))Cl	Training	0
1310	51012-33-0	O=C(NCCN(CC)CC)c1cc(ccc1(OC))S(=O)(=O)C	Training	0
1311	614-39-1	O=C(NCCN(CC)CC)c1ccc(N)cc1	Training	0
1312	34118-92-8	O=C(NCCN(CC)CC)c1ccc(cc1)NC(=O)C	Training	0
1313	101526-62-9	O=C(NCCN(CC)CC)c1ccc(cc1)NS(=O)(=O)C	Training	0
1314	103878-83-7	O=C(NCCN)c1ncc(cc1)Cl	Training	0
1315	71320-77-9	O=C(NCCN1CCOCC1)c2ccc(cc2)Cl	Training	0
1316	81801-12-9	O=C(NCCNCC(O)COc1ccc(O)cc1)N2CCOCC2	Training	0
1317	142-26-7	O=C(NCCO)C	Training	0
1318	544-31-0	O=C(NCCO)CCCCCCCCCCCCCCC	Training	0
1319	22668-01-5	O=C(NCCO)Cn1ccnc1[N+](=O)[O-]	Training	0
1320	107793-72-6	O=C(NCCO)c1c(c(C(=O)NCC(O)CO)c(c(c1I)N(C(=O)C)CC(O)CO)I)I	Training	0
1321	26750-81-2	O=C(NCCO)c1cc(cc(OC)c1(O))CC=C	Training	0
1322	23696-28-8	O=C(NCCO)c2c([n+]([O-])c1ccccc1[n+]2([O-]))C	Training	0
1323	65141-46-0	O=C(NCCO[N+](=O)[O-])c1cnccc1	Training	0
1324	102778-59-6	O=C(NCCS)CCNC(=O)C(O)C(C)(C)COP(=O)(O)OP(=O)(O)OCC3OC(n2cnc1c(ncnc12)N)C(O)C3(OP(=O)(O)O)	Training	0
1325	16816-67-4	O=C(NCCSSCCNC(=O)CCNC(=O)C(O)C(C)(C)CO)CCNC(=O)C(O)C(C)(C)CO	Training	0
1326	115-79-7	O=C(NCC[N+](Cc1ccccc1Cl)(CC)CC)C(=O)NCC[N+](Cc2ccccc2Cl)(CC)CC	Training	0
1327	73-31-4	O=C(NCCc2c[nH]c1ccc(OC)cc12)C	Training	0
1328	29876-14-0	O=C(NCCc2c[nH]c1ccccc12)c3cnccc3	Training	0
1329	68060-64-0	O=C(NCN1CCCC1)C=4C(=O)C5(O)(C(O)=C3C(=O)c2c(O)cccc2C(O)(C)C3CC5(C(C=4(O))N(C)C))	Training	0
1330	952-54-5	O=C(NCN1CCOCC1)c2nccnc2	Training	0
1331	39236-46-9	O=C(NCNC(=O)NC1C(=O)NC(=O)N1(CO))NC2C(=O)NC(=O)N2(CO)	Training	0
1332	2832-19-1	O=C(NCO)CCl	Training	0
1333	78491-02-8	O=C(NCO)N(CO)C1C(=O)N(C(=O)N1(CO))CO	Training	0
1334	140-95-4	O=C(NCO)NCO	Training	0
1335	404-86-4	O=C(NCc1ccc(O)c(OC)c1)CCCCC=CC(C)C	Training	0
1336	554-92-7	O=C(NCc1ccc(OCCN(C)C)cc1)c2cc(OC)c(OC)c(OC)c2	Training	0
1337	122892-31-3	O=C(NCc1ccc(OCCN(C)C)cc1)c2ccc(OC)c(OC)c2	Training	0
1338	214535-77-0	O=C(NCc1ccc(cc1)C(O)(C)C)c3cccnc3(Oc2ccc(F)cc2)	Training	0
1339	353280-07-6	O=C(NCc1ccc(cc1)C(O)(C)C)c4cccnc4(Oc2ccc3nonc3(c2))	Training	0
1340	71475-35-9	O=C(NCc1cccc(c1)Cl)NCC	Training	0
1341	220860-50-4	O=C(NCc1ccccc1)C2=CNc3ccc(nc3(C2(=O)))OCC	Training	0
1342	22994-85-0	O=C(NCc1ccccc1)Cn2ccnc2[N+](=O)[O-]	Training	0
1343	112410-23-8	O=C(NN(C(=O)c1cc(cc(c1)C)C)C(C)(C)C)c2ccc(cc2)CC	Training	0
1344	161050-58-4	O=C(NN(C(=O)c1cc(cc(c1)C)C)C(C)(C)C)c2cccc(OC)c2C	Training	0
1345	112226-61-6	O=C(NN(C(=O)c1ccccc1)C(C)(C)C)c2ccc(cc2)Cl	Training	0
1346	1071-93-8	O=C(NN)CCCCC(=O)NN	Training	0
1347	32687-77-7	O=C(NN)CCc1cc(c(O)c(c1)C(C)(C)C)C(C)(C)C	Training	0
1348	16543-10-5	O=C(NN)CP(=O)(c1ccccc1)c2ccccc2	Training	0
1349	2760-98-7	O=C(NN)c1cccc(c1)C(=O)NN	Training	0
1350	613-94-5	O=C(NN)c1ccccc1	Training	0
1351	54-85-3	O=C(NN)c1ccncc1	Training	0
1352	553-53-7	O=C(NN)c1cnccc1	Training	0
1353	636-54-4	O=C(NN1C(C)CCCC1C)c2ccc(c(c2)S(=O)(=O)N)Cl	Training	0
1354	21187-98-4	O=C(NN1CC2CCCC2(C1))NS(=O)(=O)c3ccc(cc3)C	Training	0
1355	631-27-6	O=C(NN1CCCC1)NS(=O)(=O)c2ccc(cc2)Cl	Training	0
1356	1156-19-0	O=C(NN1CCCCCC1)NS(=O)(=O)c2ccc(cc2)C	Training	0
1357	25046-79-1	O=C(NN1CCCCCC1)NS(=O)(=O)c2ccc(cc2)CCNC(=O)c3noc(c3)C	Training	0
1358	26807-65-8	O=C(NN2c1ccccc1CC2C)c3ccc(c(c3)S(=O)(=O)N)Cl	Training	0
1359	7007-96-7	O=C(NN=CC=CC)c1ccncc1	Training	0
1360	93-47-0	O=C(NN=Cc1ccc(OC)c(OC)c1)c2ccncc2	Training	0
1361	16915-70-1	O=C(NN=Cc1oc(cc1)[N+](=O)[O-])c2cc(cc(c2(O))[N+](=O)[O-])[N+](=O)[O-]	Training	0
1362	965-52-6	O=C(NN=Cc1oc(cc1)[N+](=O)[O-])c2ccc(O)cc2	Training	0
1363	3148-73-0	O=C(NNC(=O)C)C	Training	0
1364	36504-56-0	O=C(NNC(C)C)c1ccncc1	Training	0
1365	1707-15-9	O=C(NNCNNC(=O)c1ccncc1)c2ccncc2	Training	0
1366	3804-89-5	O=C(NNCS(=O)(=O)O)c1ccncc1	Training	0
1367	14919-77-8	O=C(NNCc1ccc(O)c(O)c1(O))C(N)CO	Training	0
1368	59-63-2	O=C(NNCc1ccccc1)c2noc(c2)C	Training	0
1369	546-88-3	O=C(NO)C	Training	0
1370	230954-09-3	O=C(NO)C3(NS(=O)(=O)c2ccc(Oc1ccc(F)cc1)cc2)(CCOCC3)	Training	0
1371	142880-36-2	O=C(NO)CC(C(=O)NC(C(=O)NC)Cc2c[nH]c1ccccc12)CC(C)C	Training	0
1372	2259-85-0	O=C(NO)CCCCCCCCC	Training	0
1373	63547-13-7	O=C(NO)CS(=O)C(c1ccccc1)c2ccccc2	Training	0
1374	2438-72-4	O=C(NO)Cc1ccc(OCCCC)cc1	Training	0
1375	495-18-1	O=C(NO)c1ccccc1	Training	0
1376	391210-10-9	O=C(NOCC(O)CO)c2ccc(F)c(F)c2(Nc1ccc(cc1(F))I)	Training	0
1377	606143-52-6	O=C(NOCCO)c3cc1c(ncn1C)c(F)c3(Nc2ccc(cc2Cl)Br)	Training	0
1378	70788-28-2	O=C(NP(=O)(N)N)c1ccc(F)cc1	Training	0
1379	30560-19-1	O=C(NP(=O)(OC)SC)C	Training	0
1380	266359-83-5	O=C(NS(=O)(=O)C)C(c1ccc(cc1)CC(C)C)C	Training	0
1381	60325-46-4	O=C(NS(=O)(=O)C)CCCC=CCC2C(=O)CC(O)C2(C=CC(O)COc1ccccc1)	Training	0
1382	72178-02-0	O=C(NS(=O)(=O)C)c2cc(Oc1ccc(cc1Cl)C(F)(F)F)ccc2[N+](=O)[O-]	Training	0
1383	NOCAS_48514	O=C(NS(=O)(=O)C=Cc1ccc(OC)cc1)c2ccc(cc2Cl)C	Training	0
1384	NOCAS_48516	O=C(NS(=O)(=O)C=Cc1ccccc1)c2ccc(F)cc2Cl	Training	0
1385	NOCAS_48518	O=C(NS(=O)(=O)C=Cc1cccs1)c2ccc(F)cc2Br	Training	0
1386	144-80-9	O=C(NS(=O)(=O)c1ccc(N)cc1)C	Training	0
1387	127-71-9	O=C(NS(=O)(=O)c1ccc(N)cc1)c2ccccc2	Training	0
1388	198470-85-8	O=C(NS(=O)(=O)c1ccc(cc1)c2c(noc2C)c3ccccc3)CC	Training	0
1389	181274-17-9	O=C(NS(=O)(=O)c1ccccc1(OC(F)(F)F))N2N=C(OC)N(C2(=O))C	Training	0
1390	146011-65-6	O=C(Nc1c(F)cc(F)cc1(F))N(Cc2ccccc2)Cc5oc3ccc(cc3c5(c4ccc(cc4)Cl))C	Training	0
1391	30103-44-7	O=C(Nc1c(cc(cc1C)C)C)C2N(CCCC)CCC2	Training	0
1392	1027-14-1	O=C(Nc1c(cc(cc1C)C)C)CN(CC)CC	Training	0
1393	NOCAS_47255	O=C(Nc1c(cccc1C(C)C)C(C)C)NS(=O)(=O)c2occ(c2)C(O)(C)C	Training	0
1394	36637-18-0	O=C(Nc1c(cccc1C)C)C(N(CC)CCC)CC	Training	0
1395	35891-93-1	O=C(Nc1c(cccc1C)C)C(N)C	Training	0
1396	1722-62-9	O=C(Nc1c(cccc1C)C)C2N(C)CCCC2	Training	0
1397	98717-15-8	O=C(Nc1c(cccc1C)C)C2N(CCC)CCCC2	Training	0
1398	27262-48-2	O=C(Nc1c(cccc1C)C)C2N(CCCC)CCCC2	Training	0
1399	88069-67-4	O=C(Nc1c(cccc1C)C)CC23(N(CCC2)CCC3)	Training	0
1400	137-58-6	O=C(Nc1c(cccc1C)C)CN(CC)CC	Training	0
1401	77191-36-7	O=C(Nc1c(cccc1C)C)CN2C(=O)CCC2	Training	0
1402	2210-77-7	O=C(Nc1c(cccc1C)C)CN2CCCC2	Training	0
1403	83471-41-4	O=C(Nc1c(cccc1C)C)CN2CCCCCC2	Training	0
1404	95635-55-5	O=C(Nc1c(cccc1C)C)CN2CCN(CC2)CC(O)COc3ccccc3(OC)	Training	0
1405	14293-44-8	O=C(Nc1c(cccc1C)C)c2cc(c(cc2(O))Cl)S(=O)(=O)N	Training	0
1406	210826-40-7	O=C(Nc1c3c(cc2c1CCC2)CCC3)NS(=O)(=O)c4occ(c4)C(O)(C)C	Training	0
1407	4433-79-8	O=C(Nc1cc(OC)c(cc1(OC))Cl)CC(=O)C	Training	0
1408	6375-27-5	O=C(Nc1cc(OC)ccc1(OC))CC(=O)C	Training	0
1409	97-44-9	O=C(Nc1cc(ccc1(O))[As](=O)(O)O)C	Training	0
1410	104-06-3	O=C(Nc1ccc(C=NNC(N)=S)cc1)C	Training	0
1411	83164-33-4	O=C(Nc1ccc(F)cc1(F))c3cccnc3(Oc2cccc(c2)C(F)(F)F)	Training	0
1412	122-80-5	O=C(Nc1ccc(N)cc1)C	Training	0
1413	785-30-8	O=C(Nc1ccc(N)cc1)c2ccc(N)cc2	Training	0
1414	103-90-2	O=C(Nc1ccc(O)cc1)C	Training	0
1415	1693-37-4	O=C(Nc1ccc(O)cc1)CC	Training	0
1416	526-18-1	O=C(Nc1ccc(O)cc1)c2ccccc2(O)	Training	0
1417	6375-47-9	O=C(Nc1ccc(OC)c(N)c1)C	Training	0
1418	51-66-1	O=C(Nc1ccc(OC)cc1)C	Training	0
1419	5437-98-9	O=C(Nc1ccc(OC)cc1)CC(=O)C	Training	0
1420	57470-78-7	O=C(Nc1ccc(OCC(O)CNC(C)(C)C)c(c1)C(=O)C)N(CC)CC	Training	0
1421	34381-68-5	O=C(Nc1ccc(OCC(O)CNC(C)C)c(c1)C(=O)C)CCC	Training	0
1422	6673-35-4	O=C(Nc1ccc(OCC(O)CNC(C)C)cc1)C	Training	0
1423	17026-81-2	O=C(Nc1ccc(OCC)c(N)c1)C	Training	0
1424	62-44-2	O=C(Nc1ccc(OCC)cc1)C	Training	0
1425	122-82-7	O=C(Nc1ccc(OCC)cc1)CC(=O)C	Training	0
1426	1083-57-4	O=C(Nc1ccc(OCC)cc1)CC(O)C	Training	0
1427	13360-45-7	O=C(Nc1ccc(c(c1)Cl)Br)N(OC)C	Training	0
1428	7149-79-3	O=C(Nc1ccc(c(c1)Cl)C)C	Training	0
1429	2759-71-9	O=C(Nc1ccc(c(c1)Cl)Cl)C2CC2	Training	0
1430	330-54-1	O=C(Nc1ccc(c(c1)Cl)Cl)N(C)C	Training	0
1431	330-55-2	O=C(Nc1ccc(c(c1)Cl)Cl)N(OC)C	Training	0
1432	17526-94-2	O=C(Nc1ccc(c(c1)NC(=O)N(C)C)C)N(C)C	Training	0
1433	3060-89-7	O=C(Nc1ccc(cc1)Br)N(OC)C	Training	0
1434	34123-59-6	O=C(Nc1ccc(cc1)C(C)C)N(C)C	Training	0
1435	103-89-9	O=C(Nc1ccc(cc1)C)C	Training	0
1436	194098-25-4	O=C(Nc1ccc(cc1)CNC)c2c[nH]c3c2C(=O)CCC3	Training	0
1437	150-68-5	O=C(Nc1ccc(cc1)Cl)N(C)C	Training	0
1438	3766-60-7	O=C(Nc1ccc(cc1)Cl)N(C)C(C#C)C	Training	0
1439	1746-81-2	O=C(Nc1ccc(cc1)Cl)N(OC)C	Training	0
1440	121-60-8	O=C(Nc1ccc(cc1)S(=O)(=O)Cl)C	Training	0
