Id	CAS	SMILES	STATUS	EXP Class
236		CCCCC(CC)C(=O)OOC(C)(C)CCC(C)(C)OOC(=O)C(CC)CCCC	Training	0
237		CCCCC(CC)C1OCCN1CCOC(=O)NCCCCCCNC(=O)OCCN1CCOC1C(CC)CCCC	Training	0
238		CCCCC(CC)CN(CC(CC)CCCC)CC(CC)CCCC	Test	0
239		CCCCC(CC)CNC(=O)CCCCCC(C)C	Training	0
240		CCCCC(CC)CO	Training	1
241		CCCCC(CC)COC(=O)C(C#N)=C(C1=CC=CC=C1)C1=CC=CC=C1	Training	0
242		CCCCC(CC)COC(=O)C(C)=C	Training	0
243		CCCCC(CC)COC(=O)C1=C(C(=O)OCC(CC)CCCC)C(Br)=C(Br)C(Br)=C1Br	Training	0
244		CCCCC(CC)COC(=O)C1=C(O)C=CC=C1	Training	0
245		CCCCC(CC)COC(=O)C1=CC=C(C(=O)OCC(CC)CCCC)C(=C1)C(=O)OCC(CC)CCCC	Training	0
246		CCCCC(CC)COC(=O)C1=CC=C(C=C1)[N+]([O-])=O	Training	0
247		CCCCC(CC)COC(=O)C1=CC=CC=C1	Test	0
248		CCCCC(CC)COC(=O)C1CCC(CC1)C(=O)OCC(CC)CCCC	Training	0
249		CCCCC(CC)COC(=O)CC#N	Training	0
250		CCCCC(CC)COC(=O)CC(CC(=O)OCC(CC)CCCC)(OC(C)=O)C(=O)OCC(CC)CCCC	Test	0
251		CCCCC(CC)COC(=O)CCCCCCCCC(=O)OCC(CC)CCCC	Training	0
252		CCCCC(CC)COC(=O)CSCC(=O)OCC(CC)CCCC	Training	0
253		CCCCC(CC)COC(=O)OCC(CC)CCCC	Training	0
254		CCCCC(CC)COC(=O)OOC(=O)OCC(CC)CCCC	Training	1
255		CCCCC(CC)COC(=O)OOC(C)(C)CC	Training	0
256		CCCCC(CC)COC(C)=O	Test	0
257		CCCCC(CC)COCOCC(CC)CCCC	Training	0
258		CCCCC(CC)COP(=O)(OC1=CC=CC=C1)OC1=CC=CC=C1	Training	1
259		CCCCC(CC)COP(OC1=CC=CC=C1)OC1=CC=CC=C1	Training	0
260		CCCCC(CC1=CC(=C(O)C(=C1)C(C)(C)C)C(C)(C)C)(C(=O)OC1CC(C)(C)N(C)C(C)(C)C1)C(=O)OC1CC(C)(C)N(C)C(C)(C)C1	Training	0
261		CCCCC(O)CO	Training	1
262		CCCCC1=NC(C=O)=C(Cl)N1	Training	0
263		CCCCC=C	Training	0
264		CCCCCC(=O)OC	Training	0
265		CCCCCC(=O)OCC=C	Test	0
266		CCCCCC(C)=O	Training	1
267		CCCCCC(C)OC(=O)COC1=CC=C(Cl)C2=CC=CN=C12	Test	0
268		CCCCCC(CCC)COC(=O)C1=C(C=CC=C1)C(=O)OCC(CCC)CCCCC	Training	0
269		CCCCCC(CCC)COC(=O)C=C	Training	0
270		CCCCCC1C(CC(=O)OC)CCC1=O	Training	0
271		CCCCCC1CCC(=O)O1	Training	0
272		CCCCCCC(=O)OCC(CC)(COC(=O)CCCCCC)COC(=O)CCCCCC	Training	0
273		CCCCCCC(=O)OCC(COC(=O)CCCCCC)OC(=O)CCCCCC	Training	0
274		CCCCCCC(CO)CCCC	Training	1
275		CCCCCCC=CC	Test	0
276		CCCCCCCC#N	Training	0
277		CCCCCCCC(O)=O	Training	1
278		CCCCCCCC1CCC(=O)O1	Training	0
279		CCCCCCCCC1CO1	Training	0
280		CCCCCCCCCC(=O)N(C)C	Training	1
281		CCCCCCCCCC(C)C=O	Training	0
282		CCCCCCCCCCBr	Training	1
283		CCCCCCCCCCC(CCCCCCCC)COC(=O)CCCCCCCCCCCCCCC(C)C	Test	0
284		CCCCCCCCCCC=C	Test	0
285		CCCCCCCCCCCC(=O)OC	Test	0
286		CCCCCCCCCCCC(=O)OC=C	Test	0
287		CCCCCCCCCCCC(=O)OCC(C)(C)C=O	Training	0
288		CCCCCCCCCCCC(=O)OCC(O)CO	Training	0
289		CCCCCCCCCCCC(=O)OCC(OCCOCCOCCOCCOCCO)C1OCC(OCCOCCOCCOCCOCCO)C1OCCOCCOCCOCCOCCO	Training	0
290		CCCCCCCCCCCC(=O)O[Sn](CCCC)(CCCC)OC(=O)CCCCCCCCCCC	Test	1
291		CCCCCCCCCCCC=CC	Training	0
292		CCCCCCCCCCCCC(CO)CCCCCCCCCC	Test	1
293		CCCCCCCCCCCCC=C	Training	0
294		CCCCCCCCCCCCCC	Training	0
295		CCCCCCCCCCCCCC(=O)OC(C)C	Test	0
296		CCCCCCCCCCCCCCC1CO1	Test	0
297		CCCCCCCCCCCCCCCC(=O)OC	Training	0
298		CCCCCCCCCCCCCCCC(=O)OC(C)C	Training	0
299		CCCCCCCCCCCCCCCC(=O)OC(CO)CO	Test	0
300		CCCCCCCCCCCCCCCC(=O)OC1CC(N(C1)C(=O)CCCCCCCCCCCCCCC)C(O)=O	Training	1
301		CCCCCCCCCCCCCCCC(=O)OCC(CC)CCCC	Test	0
302		CCCCCCCCCCCCCCCC(=O)OCC(COC(=O)CCCCCCCCCCCCC)OC(=O)CCCCCCCCCCC	Test	0
303		CCCCCCCCCCCCCCCC(O)=O	Training	0
304		CCCCCCCCCCCCCCCCCC(=O)OCC(COC(=O)CCCCCCCCCCCCCCCCC)OC(=O)CCCCCCCCCCCCCCCCC	Test	0
305		CCCCCCCCCCCCCCCCCC(=O)OCCOC(=O)CCCCCCCCCCCCCCCCC	Training	0
306		CCCCCCCCCCCCCCCCCC(Cl)=O	Training	0
307		CCCCCCCCCCCCCCCCCC(O)=O	Training	0
308		CCCCCCCCCCCCCCCCCCC(CCCCCCCCCCCCCCC)[N+](C)(C)C(CCCCCCCCCCCCCCC)CCCCCCCCCCCCCCCCCC	Training	1
309		CCCCCCCCCCCCCCCCCCCCCC(=O)OCC(O)CO	Training	0
310		CCCCCCCCCCCCCCCCCCCC[N+](C)(C)CC	Test	1
311		CCCCCCCCCCCCCCCCCCN	Test	1
312		CCCCCCCCCCCCCCCCCCOC(=O)CCC1=CC(=C(O)C(=C1)C(C)(C)C)C(C)(C)C	Training	0
313		CCCCCCCCCCCCCCCCCCOC=C	Training	0
314		CCCCCCCCCCCCCCCCCCOP1OCC2(CO1)COP(OCCCCCCCCCCCCCCCCCC)OC2	Training	0
315		CCCCCCCCCCCCCCCCOC(=O)C(CC)CCCC	Training	0
316		CCCCCCCCCCCCCCCCOC(=O)OC1=C(Cl)C=C(C=C1Cl)C(=O)OCC	Training	0
317		CCCCCCCCCCCCCCCC[N+](C)(C)C	Training	1
318		CCCCCCCCCCCCCCN(C)(C)=O	Training	0
319		CCCCCCCCCCCCCC[N+](C)(C)C	Training	1
320		CCCCCCCCCCCCCOC(=O)CCCCC(=O)OCCCCCCCCCCCCC	Training	0
321		CCCCCCCCCCCCN(C)C	Training	1
322		CCCCCCCCCCCCN(CCC#N)CCC#N	Training	0
323		CCCCCCCCCCCCOC(=O)CCSCCC(=O)OCCCCCCCCCCCC	Training	0
324		CCCCCCCCCCCCS[Sn](CCCC)(CCCC)SCCCCCCCCCCCC	Test	0
325		CCCCCCCCCCCO	Training	1
326		CCCCCCCCCOC(=O)C1=CC=CC=C1C(=O)OCCCCCCCC	Training	0
327		CCCCCCCO	Test	1
328		CCCCCCCOCC(COCCCCCCC)(COCCCCCCC)COCCCCCCC	Training	0
329		CCCCCCOC(=O)CCCCC(=O)OCCCCCC	Test	0
330		CCCCCCOCCO	Training	0
331		CCCCN(CCCC)C(=O)N(CCCC)CCCC	Training	0
332		CCCCN(CCCC)C(=S)SCSC(=S)N(CCCC)CCCC	Training	0
333		CCCCN(CCO)CCCC	Training	1
334		CCCCOC(=O)C(C)=C	Test	1
335		CCCCOC(=O)C1=CC=C(C=C1)C(=O)OCCCC	Training	0
336		CCCCOC(=O)C1=CC=CC=C1C(=O)OCCCC	Training	0
337		CCCCOC(=O)CCCCCCCCC(=O)OCCCC	Test	0
338		CCCCOC(=O)CO	Training	1
339		CCCCOC(=O)CSCSCC(=O)OCCCC	Training	0
340		CCCCOCCCC	Test	0
341		CCCCOCCOCCOC(=O)C(C)=C	Training	0
342		CCCCOCCOCCOC(=O)CCCCC(=O)OCCOCCOCCCC	Training	0
