no.	cas	SMILES	Status	Experimental
200	4635-87-4	CC=CCC#N	Training	0
201	96-22-0	CCC(=O)CC	Training	1
202	106006-84-2	CCC(=O)N[C@H]1CCC2=C(C1)SC(N)=N2	Training	0
203	68912-13-0	CCC(=O)OC1C=CC2C3CCC(C3)C12	Training	0
204	236391-76-7	CCC(=O)OCC(=O)OC(C)C1CCCC(C)(C)C1	Test	0
205	141773-73-1	CCC(=O)OCC(C)(C)OC(C)C1CCCC(C)(C)C1	Test	0
206	25973-55-1	CCC(C)(C)C1=CC(=C(O)C(=C1)N1N=C2C=CC=CC2=N1)C(C)(C)CC	Test	0
207	75-85-4	CCC(C)(C)O	Training	1
208	10508-09-5	CCC(C)(C)OOC(C)(C)CC	Training	0
209	13472-08-7	CCC(C)(N=NC(C)(CC)C#N)C#N	Test	0
210	77-75-8	CCC(C)(O)C#C	Training	1
211	26760-64-5	CCC(C)=C	Training	0
212	24199-46-0	CCC(C)=CCCC(C)=O	Training	0
213	2224-33-1	CCC(C)=NO[Si](ON=C(C)CC)(ON=C(C)CC)C=C	Training	1
214	34206-40-1	CCC(C)=NO[Si](ON=C(C)CC)(ON=C(C)CC)ON=C(C)CC	Training	1
215	78-93-3	CCC(C)=O	Training	1
216	88-85-7	CCC(C)C1=CC(=CC(=C1O)N(=O)=O)N(=O)=O	Training	1
217	137-32-6	CCC(C)CO	Training	1
218	78-92-2	CCC(C)O	Test	1
219	623-40-5	CCC(CC)=NO	Test	1
220	119313-12-1	CCC(CC1=CC=CC=C1)(N(C)C)C(=O)C1=CC=C(C=C1)N1CCOCC1	Training	0
221	23235-61-2	CCC(CO)(CO)COCC(CC)(CO)CO	Training	0
222	682-09-7	CCC(CO)(COCC=C)COCC=C	Training	0
223	63449-39-8	CCC(Cl)CCC(Cl)C(Cl)CC(Cl)C(Cl)C(Cl)CCl	Training	0
224	5187-23-5	CCC1(CO)COCOC1	Test	1
225	66492-51-1	CCC1(COC(=O)C=C)COCOC1	Training	0
226	84-51-5	CCC1=CC2=C(C=C1)C(=O)C1=CC=CC=C1C2=O	Training	0
227	931-36-2	CCC1=NC(C)=CN1	Training	1
228	68920-66-1	CCC=CCCCCCCCCCCCCCCOCCOCCOCCOCCOCCO	Training	0
229	123-38-6	CCC=O	Training	1
230	107-87-9	CCCC(C)=O	Training	1
231	125643-61-0	CCCC(CC)COC(=O)CCC1=CC(=C(O)C(=C1)C(C)(C)C)C(C)(C)C	Training	0
232	5343-92-0	CCCC(O)CO	Training	1
233	123-72-8	CCCC=O	Training	1
234	94-04-2	CCCCC(CC)C(=O)OC=C	Training	0
235	3006-82-4	CCCCC(CC)C(=O)OOC(C)(C)C	Training	0
236	13052-09-0	CCCCC(CC)C(=O)OOC(C)(C)CCC(C)(C)OOC(=O)C(CC)CCCC	Training	0
237	140921-24-0	CCCCC(CC)C1OCCN1CCOC(=O)NCCCCCCNC(=O)OCCN1CCOC1C(CC)CCCC	Training	0
238	1860-26-0	CCCCC(CC)CN(CC(CC)CCCC)CC(CC)CCCC	Test	0
239	93820-33-8	CCCCC(CC)CNC(=O)CCCCCC(C)C	Training	0
240	104-76-7	CCCCC(CC)CO	Training	1
241	6197-30-4	CCCCC(CC)COC(=O)C(C#N)=C(C1=CC=CC=C1)C1=CC=CC=C1	Training	0
242	688-84-6	CCCCC(CC)COC(=O)C(C)=C	Training	0
243	26040-51-7	CCCCC(CC)COC(=O)C1=C(C(=O)OCC(CC)CCCC)C(Br)=C(Br)C(Br)=C1Br	Training	0
244	118-60-5	CCCCC(CC)COC(=O)C1=C(O)C=CC=C1	Training	0
