id	cas	smiles	status	exp
114		O=C2N(C(=O)C3C1C=CC(C1)C23)CC(CC)CCCC	Test	2.1139
115		O=[N+]([O-])c1cc(cc(c1N(CCC)CCC)[N+](=O)[O-])S(=O)(=O)N	Test	2.4414
116		O=C(NCc1ccc(cc1)C(C)(C)C)c2c(c(nn2C)CC)Cl	Training	0.8325
117		N#CC(OC(=O)C(Nc1ccc(cc1Cl)C(F)(F)F)C(C)C)c3cccc(Oc2ccccc2)c3	Training	1.699
118		O=[N+]([O-])c1cc(c(N)c(c1)Cl)Cl	Training	0.699
119		O=C1c3ccccc3(C(=O)c2c1c(N)c(cc2Br)Br)	Training	2.1761
120		O=[N+]([O-])c1cc(cc(c1N(CCC)CCC)[N+](=O)[O-])C(F)(F)F	Test	2.1875
121		N#Cc1nn(c(N)c1C(F)(F)F)c2c(cc(cc2Cl)C(F)(F)F)Cl	Test	0.3224
122		Oc1ccc(N)cc1(N)	Training	2.301
123		n1cnn(c1)CC2(OCC(O2)C)c4ccc(Oc3ccc(cc3)Cl)cc4Cl	Test	0
124		O=C2NN=C(C)CN2(N=Cc1cnccc1)	Test	1.5119
125		O=C(OC1C(=C(C(=O)C1)CC=C)C)C2C(C=C(C)C)C2(C)(C)	Training	2.7736
126		n1c(nc(nc1Cl)Cl)Nc2ccccc2Cl	Test	2.7782
127		O=C(O)c3c(Oc1nc(OC)cc(n1)OC)cccc3(Oc2nc(OC)cc(n2)OC)	Training	1.8567
128		n1c(nc(cc1C)C2CC2)Nc3ccccc3	Test	2.7292
129		O=[N+]([O-])c1cc(cc(c1(NC(C)CC))[N+](=O)[O-])C(C)(C)C	Training	1
130		O=C(Nc2ccccc2(c1ccc(cc1)Cl))c3cccnc3Cl	Training	3.0233
131		O=P(OC=C(Cl)Cl)(OC)OC	Test	1.1761
132		O=S(=O)(Oc1ccc2OC(OCC)C(c2(c1))(C)C)C	Training	2.2788
133		O=C(Oc1cccc(c1)NC(=O)OCC)Nc2ccccc2	Test	2.3802
134		O=C1N(N=C(N1C(F)F)C)c2cc(NS(=O)(=O)C)c(cc2Cl)Cl	Training	2.6067
135		O=S(=O)(NCCSP(OC(C)C)(OC(C)C)=S)c1ccccc1	Test	2
136		O=C(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F	Test	1.699
137		O=C(NC(C#C)(C)C)c1cc(cc(c1)Cl)Cl	Training	1.0899
138		O=C(OCCCCC)COc1cc(c(F)cc1Cl)N2C(=O)C3=C(C2(=O))CCCC3	Training	2.8222
139		O=C(Nc1cccc(OC(C)C)c1)c2ccccc2C(F)(F)F	Training	1.6435
140		N#Cc1nn(c(N)c1S(=O)C(F)(F)F)c2c(cc(cc2Cl)C(F)(F)F)Cl	Test	-0.4318
141		OC(C(n1ncnc1)Cc2ccc(cc2)Cl)C(C)(C)C	Test	1.0969
142		O=C(O)COc1nc(c(cc1Cl)Cl)Cl	Test	2.3979
143		N#Cc2c(c1ccc(cc1)Cl)n(c(c2Br)C(F)(F)F)COCC	Training	1.382
144		O=C1C(=NN=C(N1(N))SC)C(C)(C)C	Test	0.0969
145		O=C(O)C(Oc1ccc(cc1Cl)Cl)C	Training	1.5441
146		O=C1OC(C=C)(C(=O)N1c2cc(cc(c2)Cl)Cl)C	Training	2.301
147		O=C(N(c1c(csc1C)C)C(C)COC)CCl	Test	1.6031
148		O=C(OCCCCCC(C)C)COc1ccc(cc1C)Cl	Test	2.4166
149		N#CCNC(=O)c1cnccc1C(F)(F)F	Training	1.8591
150		O=C(O)C2CC2(C(=O)Nc1ccc(cc1Cl)Cl)	Training	1.7372
151		O=C(N(c1c(cccc1CC)CC)COCCCC)CCl	Training	1.243
152		O=C(Nc1ccccc1)Nc2cnns2	Training	1.5378
153		O=C1N=C(N(N1)C(C)C)Cl	Test	3.1609
154		n1cnn(c1)CC2(OCC(C2)Br)(c3ccc(cc3Cl)Cl)	Test	1.1386
155		OC(c1ccc(cc1)Cl)(c2ccc(cc2)Cl)C(Cl)(Cl)Cl	Training	1.9815
156		O=C(Nc1nc(OC)cc(n1)OC)NS(=O)(=O)c2ncccc2S(=O)(=O)CC	Training	3.1176
157		O=C(N(CCC)CCC)SCC	Test	2.0792
158		O=C(OC(C)CCCCCC)c1nc(c(c(N)c1Cl)Cl)Cl	Training	1.8633
159		O=C1N(N=C2N1CCCC2)c3cc(OCC#C)c(cc3Cl)Cl	Training	1.3838
160		O=[N+]([O-])c2cc(c(c(c2(Nc1ncc(cc1Cl)C(F)(F)F))[N+](=O)[O-])Cl)C(F)(F)F	Training	0.5798
161		N#Cc1c[nH]cc1c3cccc2OC(F)(F)Oc23	Training	1.8451
162		C(CCl)Cl	Test	1.2553
163		O=C2N(c1ccccc1)CSC(=NC(C)(C)C)N2C(C)C	Training	1.1139
164		O=C(OC)N(C(=O)N2N=C3c1ccc(cc1CC3(OC2)(C(=O)OC))Cl)c4ccc(OC(F)(F)F)cc4	Training	0.9294
165		O=C(NN(C(=O)c1cc(cc(c1)C)C)C(C)(C)C)c2ccc(cc2)CC	Test	1.1173
166		O=[N+]([O-])NC(=NC)NCC1COCC1	Test	3.4991
167		N#Cc1c(cccc1Cl)Cl	Training	0.699
168		O=C(OCc1c(F)c(F)c(c(F)c1(F))C)C2C(C=C(C(F)(F)F)Cl)C2(C)(C)	Training	0.3979
169		O=[N+]([O-])c1cc(c(N)c(c1N(CCC)CCC)[N+](=O)[O-])C(F)(F)F	Test	1.9036
170		O=C(O)COc1ccc(cc1)Cl	Training	2.1206
171		N#CN=C2N(Cc1cnc(cc1)Cl)CCS2	Training	2.0906
172		N#CN=C(N(C)Cc1cnc(cc1)Cl)C	Test	1.9996
173		O=[N+]([O-])c1cc(cc(c1N(CC)CCCC)[N+](=O)[O-])C(F)(F)F	Training	2.7179
174		O=C(OC)c1c(nn(c1S(=O)(=O)NC(=O)Nc2nc(OC)cc(n2)OC)C)Cl	Test	2.0645
175		N#Cc3ccccc3(Oc2ncnc(Oc1ccccc1C(=COC)C(=O)OC)c2)	Training	2.6472
176		Fc1ccc(cc1)[Si](c2ccc(F)cc2)(C)Cn3ncnc3	Test	1.7404
177		O=C(c1ccc(cc1[N+](=O)[O-])S(=O)(=O)C)C2C(=O)CCCC2(=O)	Test	1.0955
178		O=C(O)CCCOc1ccc(cc1Cl)Cl	Training	1.1987
179		O=C(Nc1ccccc1)Nc2ccnc(c2)Cl	Test	2.6021
180		O(c1cc(c(OC)cc1Cl)Cl)C	Test	1.3979
181		O=C(OC(C)(C)C)c1ccc(cc1)CON=Cc3c(nn(c3(Oc2ccccc2))C)C	Training	1.5468
182		O=C(N(c1c(cccc1CC)C)COCC)CCl	Test	2.2071
183		O=C(NC(=O)c1c(F)cccc1(F))Nc2ccc(cc2)CON=C(c3ccc(cc3)Cl)C4CC4	Training	2.301
184		O=C(OCCOCCCC)COc1ccc(cc1Cl)Cl	Training	2.6395
185		n1c(OP(OCC)(OCC)=S)cc(nc1C(C)C)C	Training	2.3263
186		N#Cc2ccc(Oc1ccc(OC(C(=O)OCCCC)C)cc1)c(F)c2	Training	1.7818
187		O=C1N(CCS1)P(=O)(OCC)SC(C)CC	Test	1.5607
188		O=C(OCN1C(=O)N(CC#C)CC1(=O))C2C(C=C(C)C)C2(C)(C)	Test	2.7862
189		O=[N+]([O-])c1c(c(c(c(c1Cl)Cl)Cl)Cl)Cl	Test	2
190		n1c(nc(nc1N)NC2CC2)N	Test	0.4771
191		O=C(OCC)C(Oc3ccc(Oc1nc2ccc(cc2(o1))Cl)cc3)C	Test	1.2041
192		O=C5OC(CC)CCCC(OC1OC(C)C(N(C)C)CC1)C(C(=O)C6CC4C(CCC3CC(OC2CC(C)C(OC)C(OC)C2(OC))CC34)C6(C5))C	Test	1.5888
193		O=C1NC(=O)SC1Cc4ccc(OCC3(Oc2c(c(c(O)c(c2CC3)C)C)C)(C))cc4	Test	3.3979
194		O=C(Oc1cccc(c1)NC(=O)OC)Nc2cccc(c2)C	Training	2.5641
195		N#CC(OC(=O)C(c1ccc(cc1)Cl)C(C)C)c3cccc(Oc2ccccc2)c3	Training	1.3979
196		O=C(N(C(=O)C)CCN(C(=O)C)C(=O)C)C	Training	1.3979
197		N#Cc1c([nH]c(c1Br)C(F)(F)F)c2ccc(cc2)Cl	Training	0.716
