no.	CAS	SMILES	Status	Experimental
287	74-99-7	C#CC	Training	0.94
288	75-00-3	CCCl	Training	1.43
289	75-03-6	CCI	Training	2
290	75-04-7	NCC	Training	-0.13
291	75-05-8	N#CC	Training	-0.34
292	75-07-0	O=CC	Training	-0.34
293	75-09-2	C(Cl)Cl	Training	1.25
294	75-10-5	FCF	Training	0.2
295	75-11-6	C(I)I	Training	2.3
296	75-12-7	O=CN	Training	-1.51
297	75-15-0	C(=S)=S	Training	1.94
298	75-19-4	C1CC1	Training	1.72
299	75-21-8	O1CC1	Training	-0.3
300	75-25-2	C(Br)(Br)Br	Training	2.4
301	75-26-3	CC(C)Br	Training	2.14
302	75-27-4	C(Cl)(Cl)Br	Training	2
303	75-28-5	CC(C)C	Training	2.76
304	75-30-9	CC(C)I	Training	2.89
305	75-31-0	NC(C)C	Training	0.26
306	75-34-3	CC(Cl)Cl	Training	1.79
307	75-35-4	C=C(Cl)Cl	Training	2.13
308	75-37-6	FC(F)C	Training	0.75
309	75-43-4	FC(Cl)Cl	Training	1.55
310	75-45-6	FC(F)Cl	Training	1.08
311	75-46-7	FC(F)F	Training	0.64
312	75-50-3	N(C)(C)C	Training	0.16
313	75-52-5	O=[N+]([O-])C	Training	-0.35
314	75-56-9	O1CC1C	Training	0.03
315	75-63-8	FC(F)(F)Br	Training	1.86
316	75-64-9	NC(C)(C)C	Training	0.4
317	75-65-0	OC(C)(C)C	Training	0.35
318	75-69-4	FC(Cl)(Cl)Cl	Training	2.53
319	75-72-9	FC(F)(F)Cl	Training	1.65
320	75-73-0	FC(F)(F)F	Training	1.18
321	75-74-1	C[Pb](C)(C)C	Training	2.97
322	75-76-3	C[Si](C)(C)C	Training	3.24
323	75-83-2	CCC(C)(C)C	Training	3.82
324	75-84-3	OCC(C)(C)C	Training	1.31
325	75-85-4	OC(C)(C)CC	Training	0.89
326	75-87-6	O=CC(Cl)(Cl)Cl	Training	0.99
327	75-89-8	FC(F)(F)CO	Training	0.41
328	75-97-8	O=C(C)C(C)(C)C	Training	1.2
329	75-98-9	O=C(O)C(C)(C)C	Training	1.48
330	76-01-7	C(C(Cl)(Cl)Cl)(Cl)Cl	Training	3.22
331	76-03-9	O=C(O)C(Cl)(Cl)Cl	Training	1.33
332	76-06-2	O=[N+]([O-])C(Cl)(Cl)Cl	Training	2.09
333	76-13-1	FC(F)(C(F)(Cl)Cl)Cl	Training	3.16
334	76-14-2	FC(F)(C(F)(F)Cl)Cl	Training	2.82
335	76-16-4	FC(F)(F)C(F)(F)F	Training	2
336	76-22-2	O=C1CC2CCC1(C)C2(C)(C)	Training	2.56
337	76-25-5	O=C1C=CC4(C(=C1)CCC3C5CC2OC(OC2(C(=O)CO)C5(C)(CC(O)C34(F)))(C)C)(C)	Training	2.53
338	76-38-0	FC(F)(OC)C(Cl)Cl	Training	2.21
339	76-41-5	O=C1CCC5(O)(C4N(C)CCC25(c3c(OC12)c(O)ccc3C4))	Training	0.83
340	76-43-7	O=C3C=C2CCC1C4CCC(O)(C)C4(C)(CC(O)C1(F)C2(C)CC3)	Training	2.38
341	76-44-8	C1=CC(C2C1C3(C(=C(C2(C3(Cl)Cl)Cl)Cl)Cl)Cl)Cl	Training	6.1
