ID	CAS	SMILES	STATUS	EXP_VALUE
236	N.A.	C=CC(=O)OCCCCCCOC(=O)C=C	TRAINING	0
237	N.A.	C=C(C)C(=O)OCCCCCCOC(=O)C(=C)C	TRAINING	0
238	N.A.	Cn1c(=O)[nH]c2ncn(C)c2c1=O	TRAINING	0
239	N.A.	CC1(N)CCC(C(C)(C)N)CC1	TRAINING	0
240	N.A.	C1CCC2=NCCCN2CC1	TRAINING	0
241	N.A.	O=c1ccc(=[N+]([O-])O)c2c(=O)c3c(=[N+]([O-])O)ccc(=O)c3c(=O)c12	TRAINING	1
242	N.A.	O=[N+]([O-])c1cccc2cccc([N+](=O)[O-])c12	TRAINING	1
243	N.A.	Oc1ccccc1O	TRAINING	0
244	N.A.	O=c1[nH]c2ccccc2n1C1CCN(CCCC(c2ccc(F)cc2)c2ccc(F)cc2)CC1	TRAINING	1
245	N.A.	NC(=S)Nc1cccc2ccccc12	TRAINING	0
246	N.A.	O=C(O)c1nn(Cc2ccc(Cl)cc2Cl)c2ccccc12	TRAINING	0
247	N.A.	CC(=O)c1sc(C)nc1C	TRAINING	0
248	N.A.	Oc1cc2ccccc2n1-c1c(Cl)cccc1Cl	TRAINING	1
249	N.A.	Clc1ccc(C(c2ccccc2Cl)C(Cl)Cl)cc1	TRAINING	1
250	N.A.	CCC(C)N(C)C(=O)c1cc2ccccc2c(-c2ccccc2Cl)n1	TRAINING	1
251	N.A.	CC=C(CC)C(=O)NC(N)=O	TRAINING	0
252	N.A.	C[n+]1ccn(CCO)c1	TRAINING	0
253	N.A.	O=C1CCCN1CCO	TRAINING	0
254	N.A.	COc1ccccc1N1CCNCC1	TRAINING	0
255	N.A.	CC(=O)OC1(c2ccccc2)CCN(CCc2ccccc2)CC1	TRAINING	0
256	N.A.	FC(F)(F)c1ccccc1-n1ccnc1	TRAINING	0
257	N.A.	Clc1cccc(N2CCNCC2)c1	TRAINING	0
258	N.A.	CC(C)(C)C(=O)C=Cc1ccc(Cl)cc1	TRAINING	0
259	N.A.	CNC(C)C(O)c1ccc(O)cc1	TRAINING	0
260	N.A.	CCC(=O)C=Cc1ccc(OC)cc1	TRAINING	0
261	N.A.	COc1ccc(C(=O)CC(=O)c2ccc(C(C)(C)C)cc2)cc1	TRAINING	1
262	N.A.	BrCc1cccc(Oc2ccccc2)c1	TRAINING	1
263	N.A.	Cc1ccccc1N=C(N)N=C(N)N	TRAINING	0
264	N.A.	COc1ccc2c(c1)c(CC(=O)O)c(C)n2C(=O)c1ccc(Cl)cc1	TRAINING	0
265	N.A.	CC(=O)NNc1ccccc1	TRAINING	0
266	N.A.	C=CCn1cc[n+](C)c1	TRAINING	0
267	N.A.	Nc1c(Br)cc(Br)c2c1C(=O)c1ccccc1C2=O	TRAINING	1
268	N.A.	Nc1c(Cl)cc([N+](=O)[O-])cc1Cl	TRAINING	1
269	N.A.	Cc1ccc2c(c1N)C(=O)c1ccccc1C2=O	TRAINING	1
270	N.A.	Nc1c(S(=O)(=O)O)cc(Br)c2c1C(=O)c1ccccc1C2=O	TRAINING	0
271	N.A.	CC(=O)CC(=O)c1ccccc1	TRAINING	0
272	N.A.	C[n+]1ccn(Cc2ccccc2)c1	TRAINING	0
