ID	CAS	SMILES	Status	LC50 exp [-log(mol/l)]
395	1214-39-7	C(NC1=C2NC=NC2=NC=N1)C1=CC=CC=C1	Training	4.33
396	77732-09-3	COCC(=O)N(N1CCOC1=O)C1=C(C)C=CC=C1C	Training	2.64
397	13171-21-6	CCN(CC)C(=O)C(\Cl)=C(\C)OP(=O)(OC)OC	Training	8.59
398	1918-02-1	NC1=C(Cl)C(Cl)=NC(C(O)=O)=C1Cl	Training	3.7
399	3478-94-2	CC1CCCCN1CCCOC(=O)C1=CC=C(Cl)C(Cl)=C1	Training	5.86
400	60207-90-1	CCCC1COC(CN2C=NC=N2)(O1)C1=C(Cl)C=C(Cl)C=C1	Training	5.37
401	114-26-1	CNC(=O)OC1=C(OC(C)C)C=CC=C1	Training	8.47
402	123312-89-0	CC1=NNC(=O)N(C1)\N=C\C1=CN=CC=C1	Training	3.51
403	175013-18-0	CON(C(=O)OC)C1=CC=CC=C1COC1=NN(C=C1)C1=CC=C(Cl)C=C1	Training	8.61
404	55512-33-9	CCCCCCCCSC(=O)OC1=C(N=NC(Cl)=C1)C1=CC=CC=C1	Test	6.26
405	95737-68-1	CC(COC1=CC=C(OC2=CC=CC=C2)C=C1)OC1=NC=CC=C1	Training	6.72
406	84087-01-4	OC(=O)C1=C(Cl)C=CC2=C1N=CC(Cl)=C2	Test	4.16
407	122931-48-0	CCS(=O)(=O)C1=C(N=CC=C1)S(=O)(=O)NC(=O)NC1=NC(OC)=CC(OC)=N1	Training	2.53
408	90-43-7	OC1=C(C=CC=C1)C1=CC=CC=C1	Test	5.17
409	57-92-1	[H][C@]1(O[C@@H]2O[C@@H](C)[C@](O)(C=O)[C@H]2O[C@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2NC)[C@H](O)[C@@H](O)[C@H](NC(N)=N)[C@@H](O)[C@@H]1NC(N)=N	Test	3.03
410	122836-35-5	CC1=NN(C(=O)N1C(F)F)C1=C(Cl)C=C(Cl)C(NS(C)(=O)=O)=C1	Training	4.04
411	4151-50-2	CCNS(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F	Training	7.03
412	21564-17-0	N#CSCSC1=NC2=CC=CC=C2S1	Training	8.14
413	22248-79-9	COP(=O)(OC)O\C(=C\Cl)C1=C(Cl)C=C(Cl)C(Cl)=C1	Training	9.76
414	7696-12-0	C\C(C)=C\[C@@H]1[C@@H](C(=O)OCN2C(=O)C3=C(CCCC3)C2=O)C1(C)C	Training	7.95
415	148-79-8	N1C(=NC2=C1C=CC=C2)C1=CSC=N1	Training	6.59
416	51707-55-2	O=C(NC1=CN=NS1)NC1=CC=CC=C1	Training	4.71
417	23564-05-8	COC(=O)NC(=S)NC1=C(NC(=S)NC(=O)OC)C=CC=C1	Training	5.3
418	27519-02-4	CCCCCCCCCCCCC\C=C/CCCCCCCC	Training	6.17
419	26644-46-2	ClC(Cl)(Cl)C(NC=O)N1CCN(CC1)C(NC=O)C(Cl)(Cl)Cl	Training	4.52
420	131983-72-7	CC1(C)CC\C(=C\C2=CC=C(Cl)C=C2)C1(O)CN1C=NC=N1	Training	5.07
421	50471-44-8	CC1(OC(=O)N(C1=O)C1=CC(Cl)=CC(Cl)=C1)C=C	Training	5.42
