Id	CAS 	SMILES	SET	 ave log1/LC50(mmol/L) 
333	000497-18-7	O=C(NN)NN	Training	0.239
334	000079-19-6	NC(=S)NN	Training	0.637
335	000106-91-2	O=C(OCC(O1)C1)C(=C)C	Training	1.706
336	000286-62-4	O(C1CCC2)C1CCC2	Test	-0.200
337	000106-87-6	O(C1C(CC(O2)C2C3)C3)C1	Test	0.971
338	002425-79-8	O(C1COCCCCOCC(O2)C2)C1	Training	1.192
339	000075-91-2	O(O)C(C)(C)C	Test	-0.018
340	000107-29-9	N(O)=CC	Training	-0.109
341	000096-29-7	N(O)=C(CC)C	Training	-0.986
342	000100-64-1	N(O)=C(CCCC1)C1	Training	-0.264
343	000051-79-6	O=C(OCC)N	Training	-1.770
344	031502-57-5	C1CCC(CC1)NC(=O)OCCCl	Training	0.765
345	003206-31-3	CCOC(=O)N(C(=O)OCC)C(=O)OCC	Training	1.244
346	001643-20-5	O=N(CCCCCCCCCCCC)(C)C	Test	0.883
347	025377-73-5	O=C1OC(=O)CC1C=CCCCCCCCCCC	Test	1.846
348	000113-48-4	CCCCC(CC)CN3C(=O)C2C1CC(C=C1)C2C3(=O)	Training	2.139
349	000075-08-1	SCC	Test	1.451
350	000110-66-7	SCCCCC	Training	1.904
351	000111-88-6	SCCCCCCCC	Training	2.647
352	025103-58-6	SC(CCC)(CCCC)CCCC	Training	2.726
353	000060-24-2	OCCS	Training	0.430
354	000068-11-1	O=C(O)CS	Test	0.362
355	000111-47-7	S(CCC)CCC	Training	0.738
356	000544-40-1	S(CCCC)CCCC	Training	1.611
357	000107-47-1	S(C(C)(C)C)C(C)(C)C	Test	0.700
358	050512-35-1	CC(C)OC(=O)C(C(=O)OC(C)C)=C1SCCS1	Training	1.495
359	005395-75-5	S(CC)CCSCC	Training	0.399
360	056348-40-4	CSCCCCCCSC	Training	1.247
361	022037-97-4	CCCSCCSCCC	Test	1.378
362	054576-32-8	S(CC)CCCCSCC	Test	1.470
363	na	CCCSCCCCSCCC	Training	1.839
364	000624-92-0	S(SC)C	Training	1.933
365	000110-81-6	S(SCC)CC	Test	1.008
366	004253-89-8	S(SC(C)C)C(C)C	Training	1.259
367	000629-19-6	S(SCCC)CCC	Training	1.760
368	000110-06-5	S(SC(C)(C)C)C(C)(C)C	Training	2.113
369	000067-68-5	O=S(C)C	Training	-2.640
370	000116-06-3	O=C(ON=CC(SC)(C)C)NC	Training	2.344
