no.	cas	SMILES	Status	Experimental
322	110-49-6	O=C(OCCOC)C	Test	0
323	5146-66-7	N#CC=C(C)CCC=C(C)C	Test	0
324	50-23-7	O=C3C=C2CCC1C4CCC(O)(C(=O)CO)C4(C)(CC(O)C1C2(C)CC3)	Test	0
325	125-12-2	O=C(OC1CC2CCC1(C)C2(C)(C))C	Test	0
326	134-20-3	O=C(OC)c1ccccc1(N)	Test	0
327	852379-28-3	N#Cc1ccc(cc1)NC(=O)C2CC(C)CCC2C(C)C	Test	0
328	122-59-8	O=C(O)COc1ccccc1	Test	0
329	103-60-6	O=C(OCCc1ccccc1)C(C)C	Test	0
330	60-12-8	OCCc1ccccc1	Test	0
331	83-42-1	O=[N+]([O-])c1cccc(c1C)Cl	Test	0
332	369-36-8	O=[N+]([O-])c1ccc(F)c(N)c1	Test	0
