id	cas	smiles	status	exp
136		O=C(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F	Test	1.699
137		O=C(NC(C#C)(C)C)c1cc(cc(c1)Cl)Cl	Training	1.7782
138		O=C(OCCCCC)COc1cc(c(F)cc1Cl)N2C(=O)C3=C(C2(=O))CCCC3	Training	3.1332
139		O=C(Nc1cccc(OC(C)C)c1)c2ccccc2C(F)(F)F	Test	2.5302
140		N#Cc1nn(c(N)c1S(=O)C(F)(F)F)c2c(cc(cc2Cl)C(F)(F)F)Cl	Training	0.3579
141		OC(C(n1ncnc1)Cc2ccc(cc2)Cl)C(C)(C)C	Test	1.7959
142		O=C(O)COc1nc(c(cc1Cl)Cl)Cl	Test	2.3979
143		N#Cc2c(c1ccc(cc1)Cl)n(c(c2Br)C(F)(F)F)COCC	Training	1.6848
144		O=C1C(=NN=C(N1(N))SC)C(C)(C)C	Test	0.4771
145		O=C(O)C(Oc1ccc(cc1Cl)Cl)C	Training	2.1584
146		O=C1OC(C=C)(C(=O)N1c2cc(cc(c2)Cl)Cl)C	Test	2.3522
147		O=C(N(c1c(csc1C)C)C(C)COC)CCl	Test	2.0755
148		O=C(OCCCCCC(C)C)COc1ccc(cc1C)Cl	Test	2.4166
149		N#CCNC(=O)c1cnccc1C(F)(F)F	Training	2.5316
150		O=C(O)C2CC2(C(=O)Nc1ccc(cc1Cl)Cl)	Training	2.0538
151		O=C(N(c1c(cccc1CC)CC)COCCCC)CCl	Training	1.7686
152		O=C(Nc1ccccc1)Nc2cnns2	Training	2.0086
153		O=C1N=C(N(N1)C(C)C)Cl	Test	3.1609
154		n1cnn(c1)CC2(OCC(C2)Br)(c3ccc(cc3Cl)Cl)	Test	1.8331
155		OC(c1ccc(cc1)Cl)(c2ccc(cc2)Cl)C(Cl)(Cl)Cl	Test	1.9815
156		O=C(Nc1nc(OC)cc(n1)OC)NS(=O)(=O)c2ncccc2S(=O)(=O)CC	Training	3.1176
157		O=C(N(CCC)CCC)SCC	Training	2.0792
158		O=C(OC(C)CCCCCC)c1nc(c(c(N)c1Cl)Cl)Cl	Training	2.3424
159		O=C1N(N=C2N1CCCC2)c3cc(OCC#C)c(cc3Cl)Cl	Training	1.8567
160		O=[N+]([O-])c2cc(c(c(c2(Nc1ncc(cc1Cl)C(F)(F)F))[N+](=O)[O-])Cl)C(F)(F)F	Test	1.5798
161		N#Cc1c[nH]cc1c3cccc2OC(F)(F)Oc23	Test	2.6646
162		C(CCl)Cl	Test	2.7118
163		O=C2N(c1ccccc1)CSC(=NC(C)(C)C)N2C(C)C	Training	1.8363
164		O=C(OC)N(C(=O)N2N=C3c1ccc(cc1CC3(OC2)(C(=O)OC))Cl)c4ccc(OC(F)(F)F)cc4	Training	0.9294
165		O=C(NN(C(=O)c1cc(cc(c1)C)C)C(C)(C)C)c2ccc(cc2)CC	Training	2.1235
166		O=[N+]([O-])NC(=NC)NCC1COCC1	Test	3.4991
167		N#Cc1c(cccc1Cl)Cl	Test	1.699
168		O=C(OCc1c(F)c(F)c(c(F)c1(F))C)C2C(C=C(C(F)(F)F)Cl)C2(C)(C)	Training	0.8751
169		O=[N+]([O-])c1cc(c(N)c(c1N(CCC)CCC)[N+](=O)[O-])C(F)(F)F	Test	2.4296
170		O=C(O)COc1ccc(cc1)Cl	Training	2.7135
171		N#CN=C2N(Cc1cnc(cc1)Cl)CCS2	Training	2.0906
172		N#CN=C(N(C)Cc1cnc(cc1)Cl)C	Training	1.9996
173		O=[N+]([O-])c1cc(cc(c1N(CC)CCCC)[N+](=O)[O-])C(F)(F)F	Training	2.7179
174		O=C(OC)c1c(nn(c1S(=O)(=O)NC(=O)Nc2nc(OC)cc(n2)OC)C)Cl	Test	2.6964
175		N#Cc3ccccc3(Oc2ncnc(Oc1ccccc1C(=COC)C(=O)OC)c2)	Training	2.6472
176		Fc1ccc(cc1)[Si](c2ccc(F)cc2)(C)Cn3ncnc3	Training	1.7404
177		O=C(c1ccc(cc1[N+](=O)[O-])S(=O)(=O)C)C2C(=O)CCCC2(=O)	Training	3.0457
178		O=C(O)CCCOc1ccc(cc1Cl)Cl	Training	1.699
179		O=C(Nc1ccccc1)Nc2ccnc(c2)Cl	Training	2.6021
180		O(c1cc(c(OC)cc1Cl)Cl)C	Test	2.574
181		O=C(OC(C)(C)C)c1ccc(cc1)CON=Cc3c(nn(c3(Oc2ccccc2))C)C	Test	1.5468
182		O=C(N(c1c(cccc1CC)C)COCC)CCl	Training	2.2071
183		O=C(NC(=O)c1c(F)cccc1(F))Nc2ccc(cc2)CON=C(c3ccc(cc3)Cl)C4CC4	Training	3.301
184		O=C(OCCOCCCC)COc1ccc(cc1Cl)Cl	Test	2.6395
185		n1c(OP(OCC)(OCC)=S)cc(nc1C(C)C)C	Test	2.3263
186		N#Cc2ccc(Oc1ccc(OC(C(=O)OCCCC)C)cc1)c(F)c2	Training	2.2776
187		O=C1N(CCS1)P(=O)(OCC)SC(C)CC	Test	1.5607
188		O=C(OCN1C(=O)N(CC#C)CC1(=O))C2C(C=C(C)C)C2(C)(C)	Test	2.7862
189		O=[N+]([O-])c1c(c(c(c(c1Cl)Cl)Cl)Cl)Cl	Test	2.9934
190		n1c(nc(nc1N)NC2CC2)N	Test	1.4771
191		O=C(OCC)C(Oc3ccc(Oc1nc2ccc(cc2(o1))Cl)cc3)C	Test	1.2041
192		O=C5OC(CC)CCCC(OC1OC(C)C(N(C)C)CC1)C(C(=O)C6CC4C(CCC3CC(OC2CC(C)C(OC)C(OC)C2(OC))CC34)C6(C5))C	Training	1.8927
193		O=C1NC(=O)SC1Cc4ccc(OCC3(Oc2c(c(c(O)c(c2CC3)C)C)C)(C))cc4	Test	3.3979
194		O=C(Oc1cccc(c1)NC(=O)OC)Nc2cccc(c2)C	Training	2.5641
195		N#CC(OC(=O)C(c1ccc(cc1)Cl)C(C)C)c3cccc(Oc2ccccc2)c3	Training	1.3979
196		O=C(N(C(=O)C)CCN(C(=O)C)C(=O)C)C	Test	2.699
197		N#Cc1c([nH]c(c1Br)C(F)(F)F)c2ccc(cc2)Cl	Training	1.2095
198		O=C(OCC=CCOC(=O)CBr)CBr	Test	1.5922
199		NCCCN(CCCN)CCCCCCCCCCCC	Test	1.9542
200		O=C(O)C(Cl)(Cl)Cl	Test	2.5502
201		O=C(O)C(CC)CCCC	Test	2.4814
202		O2CN1COCC1(C2)CC	Test	2.3979
203		O(c1cc(ccc1(N))c2ccc(N)c(OC)c2)C	Test	2.0792
204		Nc1c(cccc1C)C	Test	2.4914
205		O=C(OC)c1c(c(c(C(=O)OC)c(c1Cl)Cl)Cl)Cl	Training	3.3979
206		O=C1NC(=O)C(N1)(c2ccccc2)c3ccccc3	Training	2.37
207		O(c1ccc(N)cc1)c2ccc(N)cc2	Test	2.2253
208		O=C1C2(C3(C4(C1(C5(C2(C3(C(C45Cl)(Cl)Cl)Cl)Cl)Cl)Cl)Cl)Cl)Cl	Test	0.0969
209		OCCNCCO	Test	2.3838
210		Oc1ccc2c(c1)CCC3C2CCC4(C)(C(O)CCC34)	Training	0.4997
211		Oc1ccccc1C	Test	3.0073
212		Oc1ccc(cc1C)C	Test	2.7324
213		OCCOCC	Test	2.8987
214		OCCOCCOCC	Test	3.3979
215		OCCOCCOCCCC	Test	3
216		O=C(O)c1cc(O)c(O)c(O)c1	Training	3.3979
217		O=P(OCCCC)(OCCCC)OCCCC	Test	2.3979
218		CCCCCCCCCC[N+](C)(C)CCCCCCCCCC	Test	2.244
219		O=C(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F	Test	2.301
220		n1c(nc(nc1NCl)NCl)NCl	Test	2.1761
221		OCCN1CN(CN(C1)CCO)CCO	Training	2.3979
222		Oc1cc(c(c(c1)C)Cl)C	Test	3.3979
223		O=C2C1=C(CCC1)SN2C	Test	1.9191
224		OCC(c1ccccc1)C	Training	2.2041
225		OC(c2ccnc1ccc(OC)cc12)C4N3CCC(C=C)(CC3)C4	Training	2.301
226		O=C(OCCCCCCCC)C	Training	3
227		N#CC(Br)Br	Test	1.6532
228		N#CC(Cl)Cl	Test	1.8129
229		Fc2ccc(Oc1ccc(c(c1)Cl)Cl)c(c2)CNC	Training	2.1761
230		O=C3c5ccc1OC(C(=C)C)Cc1c5(OC4COc2cc(OC)c(OC)cc2C34)	Training	1.7782
231		N1C(NCC1)=S	Training	2.1761
232		O=C(C)CCc1ccc(O)cc1	Test	2.3802
233		O=C(OC(c1ccccc1)C)C	Test	2.1761
234		OC(Cc1ccccc1)CC(C)C	Test	2.2041
235		O(Cc1ccccc1)Cc2ccccc2	Test	2.7924
236		O=C(OCC(C)(C)C(OC(=O)C(C)C)C(C)C)C(C)C	Test	3
237		O=C(OC(C(=O)OCCCC)(CC(=O)OCCCC)CC(=O)OCCCC)C	Test	2.4771
238		NCCN	Test	2.301
239		O=C3OC(CC)C(O)(C)C(O)C(C(=O)C(C)CC(O)(C)C(OC1OC(C)CC(N(C)C)C1(O))C(C)C(OC2OC(C)C(O)C(OC)(C)C2)C3C)C	Training	2.5682
240		O=[N+]([O-])N1CN([N+](=O)[O-])CN([N+](=O)[O-])CN([N+](=O)[O-])C1	Test	2.1761
241		Oc1cccnc1(N)	Test	1.7782
242		n1c(nc(nc1NC(C)C)SC)NCC	Test	2
243		O=C2Oc1ccccc1CC2	Test	2.1761
244		Brc1cc(Oc2cc(Br)c(Br)c(Br)c2Br)c(Br)c(Br)c1Br	Test	0.699
245		Brc1ccc(Oc2cc(Br)c(Br)cc2Br)c(Br)c1	Test	0.5185
246		C(Br)(Br)Br	Test	1.699
247		c1cc(ccc1Br)Br	Training	1.301
248		OCP(CO)(CO)CO	Test	0.8751
249		C(=CCl)Cl	Test	2.243
250		c2cc1cccc3c1c(c2)CC3	Training	2.5441
251		O=C(OC)N	Test	2.301
252		O(CCN(C)C)C(c1ccccc1)c2ccccc2	Training	1.4914
